source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL12820833M,Ein Hund in Teufels Küche.,,Maria Benedickt,1,9783596137206,1998,"Fischer (Tb.), Frankfurt",Fiction,0,,
/books/OL21957491M,Der Deserteuer und Erzahler Alfred Andersch,,Maria E. Brunner,1,9783631318928,1997,Lang,,0,,
/books/OL12877635M,Verbotene Bilder,Heiligenfi Guren Aus Rußland,Marianne Stoal,1,9783777496801,2006,Hirmer Verlag GmbH,Arts,0,,
/books/OL12829672M,Der Tod Im Text Thomas Bernhards Grabschriften,"Dargestellt Anhand Von Fruhen Erzahlversuchen Aus Dem Nachlab, Der Lyrik Und Der Spaten Prosa (Regensburger ... Zur Deutschen Sprach- Und Literaturwis)",Markus Janner,1,9783631516607,2003,Peter Lang Publishing,,0,,
/books/OL12664715M,Sich Verzehrender Skeptizismus,"Lauterungen Bei Hegel Und Kierkegaard (Kieregaard Studies, Mongraph)",Markus Kleinert,1,9783110183184,2005,Walter De Gruyter Inc,Philosophie,0,,
/books/OL12705991M,Pop- Art.,,Martin Büsser,1,9783434535249,2001,Rotbuch Verlag,Histoire,0,,
/books/OL20158696M,"Politischer Diskurs und Hegemonie: das Projekt ""Soziale Marktwirtschaft""",,Martin Nonhoff,1,9783899424249,2006,Transcript Verlag Roswitha Gost,Politique,0,,
/books/OL12765517M,Schellings Und Hegels Verhaeltnis Zur Naturwissenschaft (1844) (Acta Humaniora: Schriften Zur Naturphilosophie),,Matthias Jakob Schleiden,1,9783527176670,1989,Wiley-VCH,Philosophie | Sciences,0,,
/books/OL12820229M,Menschenrechte bei Durkheim und Weber.,,Matthias König,1,9783593370132,2002,Campus Fachbuch,Philosophie | Sciences sociales,0,,
/books/OL12664645M,Theologie Und Gebet Bei Luther,Untersuchungen Zur Psalmenvorlesung 1532-1535 (Theologische Bibliothek Toepelmann),Matthias Mikoteit,1,9783110179798,2004,Walter De Gruyter Inc,Histoire,0,,
/books/OL12773779M,Strategische Personalentwicklung,Ein Programm in acht Etappen,Matthias T. Meifert,1,9783540295730,2008,Springer,Économie et entreprise,0,,
/books/OL12771546M,Erklärung - Begründung - Kausalität,,Matthias Varga von Kibed,1,9783540118046,1982,Springer,Philosophie | Sciences,0,,
/books/OL16696629M,"Nachfolge Christi, Nachahmung der Natur","himmlische und natürliche Magie bei Paracelsus, im Paracelsismus und in der Barockliteratur (Scheffler, Zesen, Grimmelshausen)",Maximilian Bergengruen,1,9783787317790,2007,Meiner,,0,,
/books/OL20367317M,"Leben und Schaffen der Künstlergruppe ""Brücke"" 1905 bis 1913",mit einem kommentierten Werkverzeichnis der Geschäfts- und Ausstellungsgrafik,Meike Hoffmann,1,9783496013310,2005,Reimer,Histoire,0,,
/books/OL12663991M,Das Nachrepublikanische Finanzsystem,Fiscus Und Fisci in Der Fruhen Kaiserzeit (Untersuchungen Zur Antiken Literatur Und Geschichte),Michael Alpers,1,9783110145625,1995,Walter De Gruyter Inc,Histoire | Économie et entreprise,0,,
/books/OL12664759M,Sodom als Symptom (Religionsgeschichtliche Versuche und Vorarbeiten 55) (Religionsgeschichtliche Versuche Und Vorarbeiten),,Michael Brinkschroder,1,9783110185270,2006,Walter de Gruyter,Histoire | Philosophie,0,,
/books/OL12819854M,"Naturwissenschaftliche Weltbilder in Managementtheorien. Chaostheorie, Selbstorganisation, Autopoiesis.",,Michael Flämig,1,9783593361253,1998,Campus Fachbuch,Sciences,0,,
/books/OL21189053M,Die Ästhetik als Antwort auf das kopernikanische Weltbild,die Beziehungen zwischen den Naturwissenschaften udn der Ästhetik Alexander Gottlieb Baumgartens und Georg Friedrich Meiers,Michael Jäger,1,9783487075655,1984,G. Olms,Philosophie | Sciences,0,,
/books/OL19528196M,Vom Ornament zum Nationalkunstwerk,zur Kunst- und Architekturtheorie Camillo Sittes,Michael Mönninger,1,9783528024239,1998,Vieweg,Arts | Histoire,0,,
/books/OL12964674M,Kontingenz und Dezision. Beiträge zur Analyse der politischen Gesellschaft.,,Michael Th. Greven,1,9783810026200,2000,Leske + Budrich Verlag,Politique,0,,
/books/OL19791525M,Eine Begegnung von Wissenschaft und Aufklärung,die Universität Trier im 18. Jahrhundert,Michael Trauth,1,9783877601600,2000,Spee,Histoire,0,,
/books/OL24611422M,Abenteuer Philosophie,Ein Schnellkurs für Einsteiger,Michael Wittschier,1,,1997,Piper,Philosophie,0,,
/books/OL12829963M,Naturhistoriker Und Zeitenseher,"Geologie Und Poesie Um 1800 Der Kreis Um Abraham Gottlob Werner, Goethe, A.v. Humboldt, Novalis, Steffens, G.h. Schubert ... Zur Deutschen Sprach- Und Literaturwis)",Michaela Haberkorn,1,9783631521717,2004,Peter Lang Publishing,Histoire,0,,
/books/OL19690595M,Alesia,vom nationalen Mythos zur Archäologie,Michel Reddé,1,9783805335317,2006,P. von Zabern,Histoire,0,,
/books/OL726912M,Miguel Rio Branco,von nirgendwoher,Miguel Rio Branco,1,,1995,Ifa-Galerie Stuttgart,,0,,
/books/OL12764014M,Das Siegel der Macht. Ein historischer Roman um das Jahr 1000.,,Monika Dettwiler,1,9783522716253,2000,Weitbrecht Verlag,Fiction,0,,
/books/OL12664866M,Aristophanes Und Eupolis,Zur Geschichte Einer Dichterischen Rivalitat (Untersuchungen Zur Antiken Literatur Und Geschichte 85,Natalia Kyriakidi,1,9783110191394,2006,Walter de Gruyter,,0,,
/books/OL12830954M,Der Bildtitel,"Struktur, Bedeutung, Referenz, Wirkung Und Funktion Eine Typologie",Natalie Bruch,1,9783631545294,2005,Peter Lang Publishing,Arts,0,,
/books/OL13741974M,Der mann mit dem goldenen arm.,,Nelson Algren,1,,1961,Bertelsmann Lesering,Fiction,0,,
/books/OL12681794M,"UT, Nr.99, Der Fluß dazwischen",,Ngũgĩ wa Thiongʼo,1,9783293200999,1997,Unionsverlag,Fiction | Histoire | Religion,0,,
