language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL2412075W,Hotel world,Ali Smith,1.0000,2001,/books/OL3951362M,Hotel world,,eng,1.0000,0385722109,Anchor Books,2002,,11566434,VALID_COVER,325,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL3951362M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL17063057W,How to Be Both,Ali Smith | Ali Smith,1.0000,2014,/books/OL28561350M,How to Be Both,,eng,1.0000,9780141025209,"Penguin Books, Limited",2015,,11566570,VALID_COVER,324,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL28561350M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL30230W,Introduction to symbolic logic,Karl J. Smith | Ali Smith,1.0000,1974,/books/OL5438351M,Introduction to symbolic logic,,eng,1.0000,0818501154,Brooks/Cole Pub. Co.,1974,,13555966,VALID_COVER,333,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL5438351M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL24436414W,Freedom,Amnesty International | Chimamanda Ngozi Adichie,1.0000,2009,/books/OL32366189M,Freedom,short stories celebrating the universal declaration of human rights,eng,1.0000,9781845964948,Mainstream,2009,,11014722,VALID_COVER,310,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL32366189M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL17377315W,Going Back,"John Freeman | Leila Aboulela | Nicholas Christopher | Janine Di Giovanni | Adrienne Rich | Peter Orner | Chimamanda Ngozi Adichie | Claire Vaye Watkins | Hal Crowther | Seamus Heaney | Iris Murdoch | O'Neill, Joseph. | Ian Teh | Elizabeth McCracken | Colin Grant | Richard Russo | Mark Twain",1.0000,2010,/books/OL25956572M,Going Back,,eng,1.0000,9781905881192,Granta,2010,,9164448,VALID_COVER,331,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL25956572M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL5731542W,Half of a Yellow Sun,Chimamanda Ngozi Adichie,1.0000,2006,/books/OL51310539M,Half of a Yellow Sun,,eng,1.0000,0007200285,Harper Perennial,2007,,14597881,VALID_COVER,291,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL51310539M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,Colm Tóibín,1,8,12,/works/OL20053648W,House of names,Colm Tóibín,1.0000,2017,/books/OL27233666M,House of names,a novel,eng,1.0000,9781501140211,Scribner,2017,,14476276,VALID_COVER,326,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL27233666M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,Colson Whitehead,1,7,10,/works/OL1822530W,John Henry Days,Colson Whitehead,1.0000,2001,/books/OL6787035M,John Henry Days,a novel,eng,1.0000,0385498195,Doubleday,2001,,241997,VALID_COVER,317,475,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL6787035M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,David Mitchell,1,7,10,/works/OL271981W,Ghostwritten,David Mitchell,1.0000,1999,/books/OL46035M,Ghostwritten,a novel,eng,1.0000,0679463046,Random House,1999,,419307,VALID_COVER,312,475,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL46035M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,George Saunders,1,6,9,/works/OL3288093W,"Honne, The Spirit Of The Chehalis",George Saunders,1.0000,2007,/books/OL11935282M,"Honne, The Spirit Of The Chehalis",The Indian Interpretation Of The Origin Of The People And Animals,eng,1.0000,9781432567767,"Kessinger Publishing, LLC","March 1, 2007",,2875963,VALID_COVER,333,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL11935282M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,George Saunders,1,6,9,/works/OL549670W,In persuasion nation,George Saunders,1.0000,2006,/books/OL3431854M,In persuasion nation,stories,eng,1.0000,159448922X,Riverhead Books,2006,,8296428,VALID_COVER,312,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL3431854M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
EN,CONTEMPORARY,Hilary Mantel,1,7,10,/works/OL464521W,Fludd,Hilary Mantel,1.0000,1989,/books/OL6795173M,Fludd,,eng,1.0000,0786229934,Chivers Press,2001,,11433160,VALID_COVER,308,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL6795173M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,
