language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason,page_count_state,page_count_source,cross_language_collision,cross_language_owner_count
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL19961617W,Artful,Ali Smith,1.0000,2012,/books/OL27141850M,Artful,,eng,1.0000,9781594204869,The Penguin Press,2013,237,11567006,VALID_COVER,323,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL27141850M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL17857316W,Autumn,Ali Smith,1.0000,1988,/books/OL37067268M,Autumn,,eng,1.0000,9781101870730,Pantheon Books,2016,,12638425,VALID_COVER,316,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL37067268M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,NO_PAGE_COUNT,,NO,1
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL18461417W,Brilliant careers,Sarah Wood | Kasia Boddy | Ali Smith,1.0000,2000,/books/OL3990336M,Brilliant careers,the Virago book of twentieth-century fiction,eng,1.0000,1860498426,Virago,2000,510,915391,VALID_COVER,301,475,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL3990336M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL25340957W,Companion Piece,Ali Smith,1.0000,2022,/books/OL35145434M,Companion Piece,A Novel,eng,1.0000,9780593316375,Knopf Doubleday Publishing Group,2022,230,12742245,VALID_COVER,325,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL35145434M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL27713516W,Entrusting the key,Ali Smith,1.0000,2010,/books/OL37807373M,Entrusting the key,from serial dating to joyful waiting,eng,1.0000,9789810859596,IMprint Edition,2010,197,12714811,VALID_COVER,305,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL37807373M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL2412069W,Free love and other stories,Ali Smith,1.0000,1995,/books/OL22221136M,Free love and other stories,,eng,1.0000,1860491901,Virago,1995,149,14054853,VALID_COVER,268,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL22221136M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL7986399W,Girl Meets Boy,Ali Smith,1.0000,2007,/books/OL32952108M,Girl Meets Boy,,eng,1.0000,9781847670919,Canongate,2008,,11566925,VALID_COVER,309,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL32952108M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,NO_PAGE_COUNT,,NO,1
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL37576243W,Gliff,Ali Smith,1.0000,2024,/books/OL50719875M,Gliff,A Novel,eng,1.0000,9780593701560,"Pantheon Books, a division of Penguin Random House",2024,273,14841804,VALID_COVER,139,220,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL50719875M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:pagination,NO,1
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL21126355W,Africa under the Prism,Joseph Gergel | Chimamanda Ngozi Adichie,1.0000,2016,/books/OL28597094M,Africa under the Prism,Contemporary African Photography from LagosPhoto Festival,eng,1.0000,9783775740883,Hatje Cantz Verlag GmbH & Co KG,2016,488,13552387,VALID_COVER,353,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL28597094M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL19992846W,Africa39,Ellah Wakatama Allfrey | Wole Soyinka | Chimamanda Ngozi Adichie | Ellah Wakatama Allfrey,1.0000,2014,/books/OL32075673M,Africa39,new writing from Africa South of the Sahara,eng,1.0000,9781408854662,Bloomsbury,2014,361,10727602,VALID_COVER,327,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL32075673M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
