source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL12798930M,African Charismatics,Current Developments Within Independent Indigenous Pentecostalism In Ghana (Studies of Religion in Africa),J. Kwabena Asamoah-Gyadu,1,9789004140899,2004,Brill Academic Publishers,Histoire,0,,
/books/OL15024663M,A new history of the Cold War,,J. Lukacs,1,9780385062763,1966,Anchor Books,,0,,
/books/OL12798193M,Calvinism and Scholasticism in Vermigli's Doctrine of Man and Grace,,J. P. Donnelly,1,9789004044821,1997,Brill Academic Pub,,0,,
/books/OL24211225M,"Jackie, Ethel, Joan",women of Camelot,J. Randy Taraborrelli,1,9780446609128,2000,Warner Books,Biographie | Politique,0,,
/books/OL12798367M,Man and His Destiny,The Release of the Human Mind (Asian Studies),J. T. Ergardt,1,9789004078789,1997,Brill Academic Pub,,0,,
/books/OL12808998M,Petroleum Bioventing,,J. van Eyk,1,9789054106869,1997,Taylor & Francis,Sciences | Technologie,0,,
/books/OL12801662M,E.W. Beth Memorial Colloquium,Logic and Foundations of Science,J.L. Destouches,1,9789027700766,1899,Springer,,0,,
/books/OL23039022M,Bamana,the art of existence in Mali,J.P. Colleyn,1,9789053493595,2001,Museum for African Art,,0,,
/books/OL23416129M,The philosophy of natural theology.,,"Jackson, William",1,,1874,Hodder and Stoughton,Philosophie | Religion,0,,
/books/OL13790859M,The ascent of man,a personal view,Jacob Bronowski,1,,1973,BBC,Histoire | Philosophie | Sciences,0,,
/books/OL12799054M,The Relationship between Roman and Local Law in the Babatha and Salome Komaise Archives (Studies on the Texts of the Desert of Judah),,Jacobine G. Oudshoornn,1,9789004149748,2007,BRILL,Histoire | Politique,0,,
/books/OL12651336M,Chenard & Walcker,Le Constructeur a L'Aigle,Jacques Dorizon,1,9782908182774,1998,Histoire & Collections,Histoire,0,,
/books/OL17405834M,Factor analysis,statistical methods and practical issues,Jae-On Kim,1,9780803911666,1978,Sage,,0,,
/books/OL12799116M,Vauban Under Siege,Engineering Efficiency and Martial Vigor in the War of the Spanish Succession (History of Warfare),Jamel Ostwald,1,9789004154896,2006,Brill Academic Publishers,Histoire,0,,
/books/OL40716488M,Malthus and His Work,,James Bonar,1,9781297924187,2015,"Creative Media Partners, LLC",,0,,
/books/OL28536951M,Theories of Population from Raleigh to Arthur Young,,James Bonar,1,9780714612744,1966,Taylor & Francis Group,Sciences sociales,0,,
/books/OL10123558M,"Living Geography, Book 3",Teacher's Homework & Assessment Book (Nelson Living Geography),James C. Dobson | Judith Woodfield | John Sander,3,9780174343288,2001,Nelson Thornes,,0,,
/books/OL10123556M,"Living Geography, Book One",Teacher's Homework & Assessment Book (Nelson Living Geography),James C. Dobson | Judith Woodfield | John Sander,3,9780174343264,2000,Nelson Thornes,,0,,
/books/OL10123557M,"Living Geography, Book Two",Teacher's Homework & Assessment Book (Nelson Living Geography),James C. Dobson | Judith Woodfield | John Sander,3,9780174343271,2001,Nelson Thornes,,0,,
/books/OL4886258M,Ensor,,James Ensor,1,9780807608401,1976,G. Braziller,Biographie,0,,
/books/OL16816480M,"James Ensor, 1860-1949",theatre of masks,James Ensor,1,9780946372362,1997,Barbican Art Gallery,Arts,0,,
/books/OL14003488M,"Descartes, Spinoza and the new philosophy",,James Iverach,1,9780790592305,1904,T. and T. Clark,,0,,
/books/OL17441244M,Social problems,a down-to-earth approach,James M. Henslin,1,9780205508044,2008,Pearson A and B,Sciences sociales,0,,
/books/OL7338717M,Social Problems (7th Edition) (MySocKit Series),,James M. Henslin,1,9780131930827,2005,Allyn & Bacon,,0,,
