source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL13144947M,Main Group Elements And Their Compounds,,V. G. Kumar Das,1,9788173190711,1996,Alpha Science Intl Ltd,,0,,
/books/OL12800553M,Mélanges offerts à Juraj Andrassy,Essays in International Law in Honour of Juraj Andrassy/Festschrift für Juraj Andrassy,V. Ibler,1,9789024702954,1981,Springer,,0,,
/books/OL13550464M,A history of Russian philosophy,,V. V. Zenʹkovskiĭ,1,,1953,Routledge & Kegan Paul,,0,,
/books/OL12852969M,"Early Christian, Viking and Romanesque Art (Early Christian, Viking & Romanesque Art)",,Vainin O'Meadhra,1,9789122002703,1979,Coronet Books,,0,,
/books/OL656396M,Biopiracy,the plunder of nature and knowledge,Vandana Shiva,1,9780896085565,1997,South End Press,,0,,
/books/OL10609053M,Scientific Perspectives,,Varadaraja V. Raman,1,9780738808239,2000,Xlibris Corporation,Sciences,0,,
/books/OL12805030M,"Aesthetics. (On the Boundary of Two Worlds: Identity, Freedom, & Moral Imagination in the Baltics)",,Vasily Sesemann,1,9789042022225,2007,Rodopi,,0,,
/books/OL12681430M,Jungfrau Express - With The Jungfrau Railway Up To The Glaciers,,"Verena; Translated by Heller, Paul L. Gurtner",1,9783280015438,1984,Orell Fussli,Voyage,0,,
/books/OL12808347M,The Immigrant Organising Process,,"Vermeulen, Floris",1,9789053568750,2007,Amsterdam University Press,,0,,
/books/OL141057M,A turn of the blade,,Veronica Geoghegan Sweeney,1,9780786005802,1998,Kensington Pub.,Fiction,0,,
/books/OL2531325M,The emancipist,an unforgettable epic of Australia,Veronica Geoghegan Sweeney,1,9780671602093,1985,Simon and Schuster,,0,,
/books/OL22420673M,An enquiry into the Social Science Research Council,,"Victor Rothschild, 3rd Baron Rothschild",1,9780101855402,1982,HMSO,,0,,
/books/OL12773413M,Data Analysis in Cosmology,,Vincent Martinez,1,9783540239727,2008,Springer,,0,,
/books/OL709655M,Digging up the past,,Vivian Sathre,1,9781570642753,1997,Big Red Chair Books,Fiction | Histoire,0,,
/books/OL49143M,Dog overboard!,,Vivian Sathre,1,9780836825909,2000,G. Stevens Pub.,Fiction,0,,
/books/OL24773295M,Stage invader,,Vivian Sathre,1,9781570645631,1999,Big Red Chair Books,Fiction,0,,
/books/OL23236048M,Spanish Marxism versus Soviet communism,a history of the P.O.U.M. in the Spanish Civil War,Víctor Alba,1,9781412807333,2009,Transaction Publishers,Histoire | Politique,0,,
/books/OL12845242M,"Quest for a Unified Theory of Information (World-Futures General Evolution Studies, Vol 13)",,W. Hofkirchner,1,9789057005312,1999,Routledge,Philosophie,0,,
/books/OL47062119M,"Philanthropy in England, 1480-1660",a study of the changing pattern of English social aspirations,W. K. Jordan,1,,1959,Russell Sage Foundation,Histoire | Politique,0,,
/books/OL12929448M,Smiling Spleen,Paracelsianism in Storm and Stress,W. Pagel,1,9783805537070,1984,S. Karger AG (Switzerland),Histoire | Philosophie | Sciences,0,,
/books/OL12627011M,The British in Bengal 1756-1773,,W.G.J. Kuiters,1,9782846540049,2002,"Les Indes Savantes,France",Histoire,0,,
/books/OL14646153M,Hegel's political philosophy,,Walter Arnold Kaufmann,1,,1970,Atherton Press,Politique,0,,
/books/OL12791959M,The Traditional Education of Korea,,Wan Gee Choi,1,9788973006755,2006,Ewha Womans University Press,Histoire | Philosophie | Éducation,0,,
/books/OL13168457M,Personal Agency Beliefs in Self-Regulation,"The Exercise of Personal Responsibility, Choice and Control in Learning (Teaching and Learning\)",Wan Har Chong,1,9789812103215,2005,Marshall Cavendish Corporation,,0,,
/books/OL13093693M,Kua Fu Races with the Sun (CHINESE TALE SERIES),,Wang Yangguang,1,9787801385352,2005,Dolphin Books,Jeunesse,0,,
/books/OL13093694M,Houyi Shoots down the Suns (CHINESE TALE SERIES),,Wang Zhiwei,1,9787801385376,2006,Dolphin Books,Jeunesse,0,,
/books/OL10094958M,Fifty-Fifty,An Intermediate Course in Communicative English,Warren Wilson | Roger Barnard,2,9780139200755,1999,Prentice Hall College Div,,0,,
/books/OL10072079M,Ultimate SOS CD Library Season 1,Morgan Kaufmann Systems on Silicon,Wayne Wolf,1,9780123742414,2007,Morgan Kaufmann,Technologie,0,,
/books/OL10072080M,Ultimate SOS CD Library Season 2,Morgan Kaufmann Systems on Silicon,Wayne Wolf,1,9780123742421,2007,Morgan Kaufmann,Technologie,0,,
/books/OL50999003M,Journey Into Light,The Story Of Louis Braille,Webb B. Garrison | Gary Webster,2,,1964,"New York, Hawthorn Books,",Jeunesse,0,,
