source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,audit_flags
/books/OL12664043M,"Was Leistel Die Lehre Von Den Strafzwecken? (Schriftenreihe Der Juristischen Gesellschaft Zu Berlin, Heft 139)",,Gunter Stratenwerth,1,9783110149029,1995,Walter De Gruyter Inc,Philosophie,0,,,FOREIGN_TITLE_DE_3
/books/OL12777457M,Progress In Botany Volume 58,"STRUCTURAL BOTANY, PHYSIOLOGY, GENETICS, TAXONOMY, GEOBOTANY (PROGRESS IN BOTANY)",H.D. BEHNKE,1,9783540613299,1997,SPRINGER-VERLAG,,0,,,SERIAL_OR_ACADEMIC_TITLE
/books/OL12799219M,"The Value of Victory in Pindar's Odes (Mnemosyne, Bibliotheca Classica Batava Supplementum)",,Hanna Boeke,1,9789004158481,2008,BRILL,,0,,,SERIAL_OR_ACADEMIC_TITLE
/books/OL10090289M,Lifelines (Lifelines (Prentice Hall)),,Harry Pomann | Barbara Foley,2,9780135359235,1982,Prentice Hall College Div,,2,,,DUPLICATE_LIKE_2
/books/OL10090291M,Lifelines (Lifelines (Prentice Hall)),,Harry Pomann | Barbara Foley,2,9780135359495,1983,Prentice Hall College Div,,2,,,DUPLICATE_LIKE_2
/books/OL12664119M,Sprache Und Sprachen in Den Wissenschaften,Geschichte Und Gegenwart Festschrift Fur Walter De Gruyter & Co. Anlalich Einer 25Ojahrigen Verlagstradition,Herausgegeben Von Herbert Ernst Wiegand,1,9783110155792,1999,Walter De Gruyter Inc,Sciences,0,,,FOREIGN_TITLE_DE_2
/books/OL12664385M,Gerechtigkeit Und Leben Im Hellenistischen Zeitalter,Symposion Anlablich Des 75. Geburtstages Von Otto Kaiser (Beiheft Zur Zeitschrift Fur Die Alttestamentliche Wissenschaft),Herausgegeben Von Jorg Jeremias,1,9783110168235,2001,Walter De Gruyter Inc,Histoire,0,,,FOREIGN_TITLE_DE_4
/books/OL5601630M,Henry Moore,,Herbert Edward Read | J. Hedgecoe | David Sylvester | Alan Bowness | Henry Moore | Ann Garrould,6,,1968,F. A. Praeger,Arts | Biographie,2,,,MULTI_AUTHOR_6 | DUPLICATE_LIKE_2
/books/OL12713585M,Burushaski-Texte Aus Hispar,"Materialien Zum Verstandnis Einer Archaischen Bergkultur in Nordpakistan (Beitrage Zur Indologie,)",Hugh Van Skyhawk,1,9783447046459,2003,Harrassowitz,,0,,,FOREIGN_TITLE_DE_2
/books/OL12830230M,Kolonialismus in Bildern,Bilder ALS Herrschaftssicherndes Instrument Mit Beispielen Aus Den Welt- Und Kolonialasstellungen (Beitrage Zur Dissidenz),Ines Caroline Zanella,1,9783631527290,2004,Peter Lang Publishing,Arts,0,,,FOREIGN_TITLE_DE_2
