language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL19961617W,Artful,Ali Smith,1.0000,2012,/books/OL27141850M,Artful,,eng,1.0000,9781594204869,The Penguin Press,2013,,11567006,VALID_COVER,323,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL27141850M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL17857316W,Autumn,Ali Smith,1.0000,1988,/books/OL37067268M,Autumn,,eng,1.0000,9781101870730,Pantheon Books,2016,,12638425,VALID_COVER,316,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL37067268M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL18461417W,Brilliant careers,Sarah Wood | Kasia Boddy | Ali Smith,1.0000,2000,/books/OL3990336M,Brilliant careers,the Virago book of twentieth-century fiction,eng,1.0000,1860498426,Virago,2000,,915391,VALID_COVER,301,475,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL3990336M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL25340957W,Companion Piece,Ali Smith,1.0000,2022,/books/OL35145434M,Companion Piece,A Novel,eng,1.0000,9780593316375,Knopf Doubleday Publishing Group,2022,,12742245,VALID_COVER,325,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL35145434M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL27713516W,Entrusting the key,Ali Smith,1.0000,2010,/books/OL37807373M,Entrusting the key,from serial dating to joyful waiting,eng,1.0000,9789810859596,IMprint Edition,2010,,12714811,VALID_COVER,305,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL37807373M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL2412069W,Free love and other stories,Ali Smith,1.0000,1995,/books/OL22221136M,Free love and other stories,,eng,1.0000,1860491901,Virago,1995,,14054853,VALID_COVER,268,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL22221136M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL7986399W,Girl Meets Boy,Ali Smith,1.0000,2007,/books/OL32952108M,Girl Meets Boy,,eng,1.0000,9781847670919,Canongate,2008,,11566925,VALID_COVER,309,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL32952108M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL37576243W,Gliff,Ali Smith,1.0000,2024,/books/OL50719875M,Gliff,A Novel,eng,1.0000,9780593701560,"Pantheon Books, a division of Penguin Random House",2024,,14841804,VALID_COVER,139,220,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL50719875M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL2412075W,Hotel world,Ali Smith,1.0000,2001,/books/OL3951362M,Hotel world,,eng,1.0000,0385722109,Anchor Books,2002,,11566434,VALID_COVER,325,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL3951362M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL17063057W,How to Be Both,Ali Smith | Ali Smith,1.0000,2014,/books/OL28561350M,How to Be Both,,eng,1.0000,9780141025209,"Penguin Books, Limited",2015,,11566570,VALID_COVER,324,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL28561350M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL30230W,Introduction to symbolic logic,Karl J. Smith | Ali Smith,1.0000,1974,/books/OL5438351M,Introduction to symbolic logic,,eng,1.0000,0818501154,Brooks/Cole Pub. Co.,1974,,13555966,VALID_COVER,333,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL5438351M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL2412072W,Like,Ali Smith,1.0000,1997,/books/OL689463M,Like,,eng,1.0000,0151003505,Harcourt Brace & Co.,1997,,8278762,VALID_COVER,328,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL689463M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL3090764W,Lotus 1-2-3 QUICK,Gaylord N. Smith | Ali Smith,1.0000,1986,/books/OL2203470M,Lotus 1-2-3 Quick,,eng,1.0000,087835543X,Boyd & Fraser,1990,,13644821,VALID_COVER,379,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL2203470M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL7986402W,Luke,Ali Smith,1.0000,1989,/books/OL10729932M,Luke,A Gospel for Today,eng,1.0000,9780745915036,Lion,June 1989,,10596018,VALID_COVER,341,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL10729932M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL21126355W,Africa under the Prism,Joseph Gergel | Chimamanda Ngozi Adichie,1.0000,2016,/books/OL28597094M,Africa under the Prism,Contemporary African Photography from LagosPhoto Festival,eng,1.0000,9783775740883,Hatje Cantz Verlag GmbH & Co KG,2016,,13552387,VALID_COVER,353,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL28597094M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL19992846W,Africa39,Ellah Wakatama Allfrey | Wole Soyinka | Chimamanda Ngozi Adichie | Ellah Wakatama Allfrey,1.0000,2014,/books/OL32075673M,Africa39,new writing from Africa South of the Sahara,eng,1.0000,9781408854662,Bloomsbury,2014,,10727602,VALID_COVER,327,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL32075673M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL16805415W,Americanah,Chimamanda Ngozi Adichie,1.0000,1969,/books/OL35696290M,Americanah,A Novel,eng,1.0000,9781594139550,Large Print Press,2016,,12993417,VALID_COVER,313,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL35696290M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL17640883W,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,1.0000,2017,/books/OL26881793M,"Dear Ijeawele, or A feminist manifesto in fifteen suggestions",,eng,1.0000,9781524733131,Alfred A. Knopf,2017,,12709855,VALID_COVER,342,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL26881793M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL42407991W,Dream Count,Chimamanda Ngozi Adichie,1.0000,2025,/books/OL57579073M,Dream Count,A Novel,eng,1.0000,9798217014361,Random House Large Print,2025,,15143740,VALID_COVER,331,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL57579073M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL453310W,Fiction,Nicholas Delbanco | Chimamanda Ngozi Adichie | Margaret Atwood | Jorge Luis Borges | Антон Павлович Чехов | Kate Chopin,1.0000,2009,/books/OL23070597M,Fiction,craft and voice,eng,1.0000,9780073104447,McGraw-Hill Higher Education,2010,,14631884,VALID_COVER,386,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL23070597M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL877060W,For love of Biafra,Chimamanda Ngozi Adichie,1.0000,1998,/books/OL114916M,For love of Biafra,,eng,1.0000,978029032X,Spectrum Books,1998,,3711057,VALID_COVER,128,212,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL114916M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL24436414W,Freedom,Amnesty International | Chimamanda Ngozi Adichie,1.0000,2009,/books/OL32366189M,Freedom,short stories celebrating the universal declaration of human rights,eng,1.0000,9781845964948,Mainstream,2009,,11014722,VALID_COVER,310,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL32366189M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL17377315W,Going Back,"John Freeman | Leila Aboulela | Nicholas Christopher | Janine Di Giovanni | Adrienne Rich | Peter Orner | Chimamanda Ngozi Adichie | Claire Vaye Watkins | Hal Crowther | Seamus Heaney | Iris Murdoch | O'Neill, Joseph. | Ian Teh | Elizabeth McCracken | Colin Grant | Richard Russo | Mark Twain",1.0000,2010,/books/OL25956572M,Going Back,,eng,1.0000,9781905881192,Granta,2010,,9164448,VALID_COVER,331,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL25956572M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL5731542W,Half of a Yellow Sun,Chimamanda Ngozi Adichie,1.0000,2006,/books/OL51310539M,Half of a Yellow Sun,,eng,1.0000,0007200285,Harper Perennial,2007,,14597881,VALID_COVER,291,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL51310539M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL34062477W,Mama's Sleeping Scarf,Chimamanda Ngozi Adichie | Nwa Grace-James | Joelle Avelino,1.0000,2023,/books/OL48237886M,Mama's Sleeping Scarf,,eng,1.0000,9780593801222,Knopf Doubleday Publishing Group,2023,,14570558,VALID_COVER,188,218,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL48237886M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL21101117W,McSweeney's 50,Dave Eggers | Chimamanda Ngozi Adichie | Sherman Alexie | Bianca Bagnarelli | Jesse Ball,1.0000,2017,/books/OL28563015M,McSweeney's 50,,eng,1.0000,9781940450100,McSweeney's Publishing,2017,,13159689,VALID_COVER,370,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL28563015M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL24494910W,Notes on Grief,Chimamanda Ngozi Adichie | Scheherezade Surià,1.0000,2021,/books/OL34711029M,Notes on Grief,,eng,1.0000,9780008470302,HarperCollins Publishers Limited,2021,,12367423,VALID_COVER,248,400,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL34711029M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Colm Tóibín,1,8,12,/works/OL16624349W,All a novelist needs,Colm Tóibín,1.0000,2010,/books/OL25304773M,All a novelist needs,Colm Tóibín on Henry James,eng,1.0000,9780801897788,Johns Hopkins University Press,2010,,12313990,VALID_COVER,309,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL25304773M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Colm Tóibín,1,8,12,/works/OL931856W,Bad blood,Colm Tóibín,1.0000,1994,/books/OL1233256M,Bad blood,a walk along the Irish border,eng,1.0000,0099301202,Vintage,1994,,13139158,VALID_COVER,305,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL1233256M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Colm Tóibín,1,8,12,/works/OL931862W,Beauty in a broken place,Colm Tóibín,1.0000,2004,/books/OL18839838M,Beauty in a broken place,,eng,1.0000,1843510545,Lilliput Press,2004,,5438391,VALID_COVER,128,209,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL18839838M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Colm Tóibín,1,8,12,/works/OL931863W,Brooklyn,Colm Tóibín,1.0000,2009,/books/OL32082563M,Brooklyn,,eng,1.0000,9780670918126,Viking,2009,,10735999,VALID_COVER,325,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL32082563M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Colm Tóibín,1,8,12,/works/OL21032329W,Empty Family,Colm Tóibín,1.0000,2011,/books/OL29060806M,Empty Family,Stories,eng,1.0000,9780141041773,"Penguin Books, Limited",2011,,11405571,VALID_COVER,330,500,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL29060806M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
EN,CONTEMPORARY,Colm Tóibín,1,8,12,/works/OL28406199W,Guest at the Feast,Colm Tóibín,1.0000,2023,/books/OL38935160M,Guest at the Feast,Essays,eng,1.0000,9781476785226,Scribner,2023,,14672194,VALID_COVER,262,400,JPEG,data/cache/en-mass-editorial-engine/covers/EN-OL38935160M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
