language,category,author,tier,max_selected,max_total
EN,ENGLISH_LANGUAGE_CANON,William Shakespeare,1,12,18
EN,ENGLISH_LANGUAGE_CANON,John Milton,1,6,9
EN,ENGLISH_LANGUAGE_CANON,Daniel Defoe,1,7,10
EN,ENGLISH_LANGUAGE_CANON,Jonathan Swift,1,7,10
EN,ENGLISH_LANGUAGE_CANON,Samuel Richardson,2,5,8
EN,ENGLISH_LANGUAGE_CANON,Henry Fielding,2,5,8
EN,ENGLISH_LANGUAGE_CANON,Laurence Sterne,2,5,8
EN,ENGLISH_LANGUAGE_CANON,Jane Austen,1,10,14
EN,ENGLISH_LANGUAGE_CANON,Mary Shelley,1,6,9
EN,ENGLISH_LANGUAGE_CANON,Walter Scott,1,8,12
EN,ENGLISH_LANGUAGE_CANON,Charles Dickens,1,12,18
EN,ENGLISH_LANGUAGE_CANON,Charlotte Brontë,1,7,10
EN,ENGLISH_LANGUAGE_CANON,Emily Brontë,1,5,7
EN,ENGLISH_LANGUAGE_CANON,Anne Brontë,2,5,8
EN,ENGLISH_LANGUAGE_CANON,George Eliot,1,8,12
EN,ENGLISH_LANGUAGE_CANON,Thomas Hardy,1,9,13
EN,ENGLISH_LANGUAGE_CANON,Oscar Wilde,1,8,12
EN,ENGLISH_LANGUAGE_CANON,Robert Louis Stevenson,1,8,12
EN,ENGLISH_LANGUAGE_CANON,Joseph Conrad,1,9,13
EN,ENGLISH_LANGUAGE_CANON,Rudyard Kipling,1,8,12
EN,ENGLISH_LANGUAGE_CANON,Herman Melville,1,7,10
EN,ENGLISH_LANGUAGE_CANON,Nathaniel Hawthorne,1,7,10
EN,ENGLISH_LANGUAGE_CANON,Edgar Allan Poe,1,8,12
EN,ENGLISH_LANGUAGE_CANON,Mark Twain,1,10,15
EN,ENGLISH_LANGUAGE_CANON,Henry James,1,9,13
EN,ENGLISH_LANGUAGE_CANON,Edith Wharton,1,7,10
EN,ENGLISH_LANGUAGE_CANON,Kate Chopin,2,5,8
EN,ENGLISH_LANGUAGE_CANON,Walt Whitman,1,6,9
EN,ENGLISH_LANGUAGE_CANON,Emily Dickinson,1,6,9
EN,TWENTIETH_CENTURY,James Joyce,1,8,12
EN,TWENTIETH_CENTURY,Virginia Woolf,1,9,13
EN,TWENTIETH_CENTURY,D.H. Lawrence,1,8,12
EN,TWENTIETH_CENTURY,E.M. Forster,1,7,10
EN,TWENTIETH_CENTURY,George Orwell,1,8,12
EN,TWENTIETH_CENTURY,Aldous Huxley,1,8,12
EN,TWENTIETH_CENTURY,Graham Greene,1,10,15
EN,TWENTIETH_CENTURY,Evelyn Waugh,1,8,12
EN,TWENTIETH_CENTURY,William Golding,1,7,10
EN,TWENTIETH_CENTURY,Doris Lessing,1,9,13
EN,TWENTIETH_CENTURY,Muriel Spark,1,7,10
EN,TWENTIETH_CENTURY,Iris Murdoch,1,9,13
EN,TWENTIETH_CENTURY,Kingsley Amis,2,7,10
EN,TWENTIETH_CENTURY,Anthony Burgess,1,8,12
EN,TWENTIETH_CENTURY,Samuel Beckett,1,7,10
EN,TWENTIETH_CENTURY,T.S. Eliot,1,6,9
EN,TWENTIETH_CENTURY,W.B. Yeats,1,6,9
EN,TWENTIETH_CENTURY,F. Scott Fitzgerald,1,8,12
EN,TWENTIETH_CENTURY,Ernest Hemingway,1,10,15
EN,TWENTIETH_CENTURY,John Steinbeck,1,10,15
EN,TWENTIETH_CENTURY,William Faulkner,1,10,15
EN,TWENTIETH_CENTURY,Sinclair Lewis,2,7,10
EN,TWENTIETH_CENTURY,John Dos Passos,2,6,9
EN,TWENTIETH_CENTURY,Richard Wright,1,7,10
EN,TWENTIETH_CENTURY,Ralph Ellison,1,5,8
EN,TWENTIETH_CENTURY,James Baldwin,1,8,12
EN,TWENTIETH_CENTURY,Flannery O'Connor,1,6,9
EN,TWENTIETH_CENTURY,Truman Capote,1,7,10
EN,TWENTIETH_CENTURY,J.D. Salinger,1,5,8
EN,TWENTIETH_CENTURY,Kurt Vonnegut,1,9,13
EN,TWENTIETH_CENTURY,Joseph Heller,1,6,9
EN,TWENTIETH_CENTURY,Saul Bellow,1,8,12
EN,TWENTIETH_CENTURY,Philip Roth,1,10,15
EN,TWENTIETH_CENTURY,Toni Morrison,1,9,13
EN,TWENTIETH_CENTURY,Alice Walker,1,7,10
EN,TWENTIETH_CENTURY,Ursula K. Le Guin,1,10,15
EN,TWENTIETH_CENTURY,Ray Bradbury,1,8,12
EN,CONTEMPORARY,Margaret Atwood,1,10,15
EN,CONTEMPORARY,Salman Rushdie,1,10,15
EN,CONTEMPORARY,Kazuo Ishiguro,1,8,12
EN,CONTEMPORARY,Ian McEwan,1,9,13
EN,CONTEMPORARY,Julian Barnes,1,8,12
EN,CONTEMPORARY,Martin Amis,1,8,12
EN,CONTEMPORARY,Jeanette Winterson,1,7,10
EN,CONTEMPORARY,Zadie Smith,1,7,10
EN,CONTEMPORARY,Hilary Mantel,1,7,10
EN,CONTEMPORARY,Ali Smith,1,8,12
EN,CONTEMPORARY,David Mitchell,1,7,10
EN,CONTEMPORARY,Sarah Waters,2,6,9
EN,CONTEMPORARY,Pat Barker,1,7,10
EN,CONTEMPORARY,Colm Tóibín,1,8,12
EN,CONTEMPORARY,Roddy Doyle,2,7,10
EN,CONTEMPORARY,Sebastian Barry,2,6,9
EN,CONTEMPORARY,Cormac McCarthy,1,9,13
EN,CONTEMPORARY,Don DeLillo,1,9,13
EN,CONTEMPORARY,Thomas Pynchon,1,8,12
EN,CONTEMPORARY,Paul Auster,1,9,13
EN,CONTEMPORARY,Joyce Carol Oates,1,10,15
EN,CONTEMPORARY,Jonathan Franzen,1,7,10
EN,CONTEMPORARY,Michael Chabon,2,7,10
EN,CONTEMPORARY,Donna Tartt,1,5,8
EN,CONTEMPORARY,Jennifer Egan,2,6,9
EN,CONTEMPORARY,George Saunders,1,6,9
EN,CONTEMPORARY,Marilynne Robinson,1,6,9
EN,CONTEMPORARY,Louise Erdrich,1,8,12
EN,CONTEMPORARY,Jhumpa Lahiri,1,6,9
EN,CONTEMPORARY,Barbara Kingsolver,2,7,10
EN,CONTEMPORARY,Jonathan Safran Foer,2,6,9
EN,CONTEMPORARY,Colson Whitehead,1,7,10
EN,CONTEMPORARY,Jesmyn Ward,1,5,8
EN,CONTEMPORARY,Ocean Vuong,2,4,6
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10
EN,YOUTH,Lewis Carroll,1,7,10
EN,YOUTH,J.M. Barrie,1,6,9
EN,YOUTH,Kenneth Grahame,1,5,8
EN,YOUTH,A.A. Milne,1,6,9
EN,YOUTH,C.S. Lewis,1,10,15
EN,YOUTH,J.R.R. Tolkien,1,10,15
EN,YOUTH,Roald Dahl,1,12,18
EN,YOUTH,E.B. White,1,6,9
EN,YOUTH,Madeleine L'Engle,1,7,10
EN,YOUTH,Beverly Cleary,2,8,12
EN,YOUTH,Judy Blume,2,8,12
EN,YOUTH,Diana Wynne Jones,1,8,12
