language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
EN,CONTEMPORARY,Louise Erdrich,1,8,12,/works/OL479032W,Grandmother's pigeon,Louise Erdrich | Jim LaMarche,1.0000,1996,/books/OL1271732M,Grandmother's pigeon,,eng,1.0000,0786801654,Hyperion Books for Children,1996,,3910743,IMAGE_TOO_SMALL,128,99,JPEG,,NO,NO,167.0000,176.0000,REJECT,Physical cover validation failed: IMAGE_TOO_SMALL,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL7986389W,40120/Manual,Ali Smith,1.0000,1999,/books/OL10480685M,40120/Manual,,eng,1.0000,9780538401210,South-Western Educational Publishing,December 1999,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL7986390W,80116/Manual,Ali Smith,1.0000,1997,/books/OL10483462M,80116/Manual,,eng,1.0000,9780538801195,Thomson South-Western,August 1997,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL7986391W,An Introduction to LISP Programming,Ali Smith,1.0000,1997,/books/OL10476002M,An Introduction to LISP Programming,,eng,1.0000,9780534922603,Wadsworth Publishing Company,August 1997,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL37622706W,Ballad of Speedball Baby,Ali Smith | Exene Cervenka,1.0000,2024,/books/OL50721874M,Ballad of Speedball Baby,A Memoir,eng,1.0000,9798212613811,"Blackstone Audio, Incorporated",2024,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL38121254W,Ballad of Speedball Baby : (a Memoir),Ali Smith,1.0000,2024,/books/OL51803016M,Ballad of Speedball Baby : (a Memoir),,eng,1.0000,9798212910514,"Blackstone Audio, Incorporated",2024,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL7986392W,Beginning Circuits,Ali Smith,1.0000,1996,/books/OL10476052M,Beginning Circuits,,eng,1.0000,9780534928865,Wadsworth Publishing Company,August 1996,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL25177134W,Brilliant Careers B Book Club,Ali Smith,1.0000,2001,/books/OL33532917M,Brilliant Careers B Book Club,,eng,1.0000,9780356225210,"Little, Brown Book Group Limited",2001,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL41583985W,Captain o and the Mermaid,Ali Smith,1.0000,2014,/books/OL56469573M,Captain o and the Mermaid,,eng,1.0000,9781503096424,CreateSpace Independent Publishing Platform,2014,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
EN,CONTEMPORARY,Ali Smith,1,8,12,/works/OL7986394W,Elec Sprdsht F/Fin Acct Q/Pro -3.50 Pkg,Ali Smith,1.0000,1999,/books/OL10499090M,Elec Sprdsht F/Fin Acct Q/Pro -3.50 Pkg,,eng,1.0000,9780538833066,Thomson South-Western,December 1999,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
