language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL25172750W,"Half of a Yellow Sun, Americanah, Purple Hibiscus",Chimamanda Ngozi Adichie,1.0000,2014,/books/OL42407553M,Americanah / Half of a Yellow Sun / Purple Hibiscus,3 Books Collection Set,eng,0.7660,9783200302686,Fourth Estate,"Dec 02, 2015",,13286449,NOT_PROBED,,,,,NO,NO,162.3191,171.3191,REVIEW,Edition/work title match below AUTO_ACCEPT threshold.,
EN,CONTEMPORARY,Louise Erdrich,1,8,12,/works/OL479018W,"Range Eternal, The",Louise Erdrich | Steve Johnson | Lou Fancher,1.0000,2002,/books/OL17137977M,The range eternal,,eng,0.7647,0786802200,Hyperion Books for Children,2002,,9250709,NOT_PROBED,,,,,NO,NO,162.2941,171.2941,REVIEW,Edition/work title match below AUTO_ACCEPT threshold.,
EN,CONTEMPORARY,Ian McEwan,1,9,13,/works/OL1855933W,"In between the sheets, and other stories",Ian McEwan,1.0000,1978,/books/OL9513188M,In Between the Sheets (Picador Books),,eng,0.7568,9780330256650,Alpha Book Dist,April 1988,,10442404,NOT_PROBED,,,,,NO,NO,162.1351,171.1351,REVIEW,Edition/work title match below AUTO_ACCEPT threshold.,
EN,CONTEMPORARY,Louise Erdrich,1,8,12,/works/OL7948415W,Prentice Hall Literature [Grade Ten],"Kevin Feldman | Chinua Achebe | Rudolfo A. Anaya | Maya Angelou | Lucius Apuleius | Dave Barry | Bei Dao | Stephen Vincent Benét | Sally Benson | Elizabeth Bishop | Ray Bradbury | Emily Brontë | Gwendolyn Brooks | Robert Browning | Anatole Broyard | Jay Burreson | Italo Calvino | Rachel Carson | Miguel de Cervantes Saavedra | Антон Павлович Чехов | C. J. Cherryh | Sandra Cisneros | Olivia E. Coolidge | Lynne Cox | Anita Desai | Emily Dickinson | Annie Dillard | Ann Douglas | Dianne L. Durante | Cornelius Eady | Umberto Eco | Louise Erdrich | Joseph D. Exline | Jack Finney | Robert Frost | Federico García Lorca | Jacob Grimm | Wilhelm Grimm | Lorraine Hansberry | O. Henry | Thomas A. Hill | Langston Hughes | David Henry Hwang | Henrik Ibsen | W. W. Jacobs | Priest Jakuzen | Joel, Billy. | James Weldon Johnson | John Keats | William Melvin Kelley | Tsurayuki Ki | Rudyard Kipling | Komachi Ono | Yusef Komunyakaa | Mamadou Kouyaté | Penny LeCouteur | Denise Levertov | Guy de Maupassant | Frank McCourt | McCrae, John | Edna St. Vincent Millay | Pat Mora | Richard Mühlberger | Saki | Matthew Murray | Rasipuram Krishnaswamy Narayan | Blackfeet Tribe of the Blackfeet Indian Reservation of Montana. | DjiBril Tamsir Niane | Josephina Niggli | Naomi Shihab Nye | Jay M. Pasachoff | Alexander Petrunkevitch | Edgar Allan Poe | Александр Сергеевич Пушкин | Carl Sandburg | John Phillip Santos | William Shakespeare | Karl Jay Shapiro | Shu, Ting | Dava Sobel | Александр Солженицын | Elyse Sommers | Sophocles | Nigel Strudwick | Alfred Lord Tennyson | Dylan Thomas | James Thurber | Лев Толстой | Jean Toomer | Mark Twain | Yoshiko Uchida | Luisa Valenzuela | Susan Vreeland | Erik Weihenmayer | Dorothy West | T. H. White | Theodore H White | Elie Wiesel | William Carlos Williams | Kate Kinsella",1.0000,2007,/books/OL10082441M,Illinois,Prentice Hall Literature,eng,0.7164,9780131652484,Pearson Prentice Hall,2007,,14597326,NOT_PROBED,,,,,NO,NO,161.3284,170.3284,REVIEW,Edition/work title match below AUTO_ACCEPT threshold.,
EN,CONTEMPORARY,Louise Erdrich,1,8,12,/works/OL478996W,"Beet Queen,the",Louise Erdrich,1.0000,1986,/books/OL24968487M,The beet queen,a novel,eng,0.7143,0553347233,Bantam Books,1989,,6963053,NOT_PROBED,,,,,NO,NO,161.2857,170.2857,REVIEW,Edition/work title match below AUTO_ACCEPT threshold.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL36531591W,The Norton Anthology of English Literature -- The Major Authors -- Tenth Edition -- Volume 2,Stephen Greenblatt | Chinua Achebe | Chimamanda Ngozi Adichie | Margaret Atwood | Jane Austen | J. M. Coetzee | Charles Dickens,1.0000,2019,/books/OL28696436M,The Norton Anthology of English Literature,The Major Authors: Tenth Edition: Volume 2,eng,1.0000,9780393603095,W. W. Norton & Company,2019,,14423366,NOT_PROBED,,,,,YES,NO,147.0000,156.0000,REVIEW,Collected/omnibus work requires review.,
EN,CONTEMPORARY,Margaret Atwood,1,10,15,/works/OL10342685W,Margaret Atwood Omnibus. Wilderness Tips/Cat's Eye,Margaret Atwood,1.0000,1987,/books/OL10446301M,MARGARET ATWOOD OMNIBUS,Wilderness Tips/Cat's Eye,eng,1.0000,9780316853712,Little Brown and Company,1999,,12507651,NOT_PROBED,,,,,YES,NO,147.0000,156.0000,REVIEW,Collected/omnibus work requires review.,
EN,CONTEMPORARY,Margaret Atwood,1,10,15,/works/OL48186W,The Scribner Anthology of Contemporary Short Fiction,Michael Martone | Lex Williford | Margaret Atwood | Williford,1.0000,1999,/books/OL7722386M,The Scribner Anthology of Contemporary Short Fiction,Fifty North American American Stories Since 1970,eng,1.0000,9780684857961,Scribner Paperback Fiction,1999,,14616327,NOT_PROBED,,,,,YES,NO,147.0000,156.0000,REVIEW,Collected/omnibus work requires review.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL36423722W,"Literature, A Portable Anthology -- Fifth edition",Janet E. Gardner | Beverly Lawn | Jack Ridl | Peter Schakel | Chimamanda Ngozi Adichie | Margaret Atwood | Ambrose Bierce | Антон Павлович Чехов | Kate Chopin,1.0000,2021,/books/OL30128203M,Literature,A Portable Anthology,eng,0.9600,9781319215033,Bedford/St. Martin's,2021,,14393918,NOT_PROBED,,,,,YES,NO,146.2000,155.2000,REVIEW,Collected/omnibus work requires review.,
EN,CONTEMPORARY,Chimamanda Ngozi Adichie,1,7,10,/works/OL36423719W,"Literature, A Portable Anthology--Third edition",Janet E. Gardner | Beverly Lawn | Jack Ridl | Peter Schakel | Chimamanda Ngozi Adichie | Margaret Atwood | Антон Павлович Чехов | Kate Chopin,1.0000,2013,/books/OL27999850M,Literature,A Portable Anthology,eng,0.9600,9781457606502,Brand: Bedford/St. Martin's,2013,,14393912,NOT_PROBED,,,,,YES,NO,146.2000,155.2000,REVIEW,Collected/omnibus work requires review.,
