source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,decision,reason
/books/OL23073791M,Atlas básico de biología,,José Tola,1,9788434224605,2002,Parramón,,0,,,,
/books/OL13196630M,Lord (Narrativas),,João Gilberto Noll,1,9789871156511,2006,Adriana Hidalgo Editora,Fiction,0,,,,
/books/OL282764M,Escritos póstumos de Juan Bautista Alberdi.,,Juan Bautista Alberdi,1,9789879173855,1996,Universidad Nacional de Quilmes,Politique | Sciences sociales | Économie et entreprise,0,,,,
/books/OL16312420M,Obras completas de J. B. Alberdi ...,,Juan Bautista Alberdi,1,,1886,"Imp. de ""La Tribuna nacional""",Politique | Sciences sociales,0,,,,
/books/OL23281395M,Biografía de José Félix Ribas,época de la guerra a muerte,Juan Vicente González,1,,1913,Casa Editorial Garnier Hermanos,Biographie | Histoire,0,,,,
/books/OL12954361M,Kosice,Un Visionario del Arte Contemporaneo,Juan-Jacobo Bajarlia,1,9789500513449,2001,Corregidor,,0,,,,
/books/OL13222676M,Barcelona Design Guide/Spanish/English,,Juliet Pomes Leiz,1,9788425214479,1992,Gustavo Gili,,0,,,,
/books/OL13115588M,Saguairu,,Julio Emilio Braz,1,9789681647513,2003,"Fondo de Cultura Economica, Mexico",,0,,,,
/books/OL57353418M,Por siempre Ambar,,Kathleen Winsor,1,,1969,Círculo de Lectores,Biographie | Fiction | Histoire,0,,,,
/books/OL21472671M,"La plaza mayor, centro de la metrópoli?",etnografía del Zócalo de la ciudad de México,Kathrin Wildner,1,9789706548207,2005,Universidad Autónoma Metropolitana,Histoire,0,,,,
/books/OL13326293M,Narrativa de la rebelion zapatista. Los relatos del Subcomandante Marcos. (Coleccion Nexos y Diferencias) (Coleccion Nexos y Diferencias),,Kristine Vanden Berghe,1,9788484891772,2005,Iberoamericana Vervuert,Fiction | Histoire,0,,,,
/books/OL13198778M,Isidro Miranda - Sus Artistas,,Laura Messing,1,9789872246006,2006,Isidro Miranda Ediciones,,0,,,,
/books/OL13307503M,Signos Esteticos y Teoria,,Lluis X. Alvarez,1,9788476587379,2006,Anthropos Research & Publications,,0,,,,
/books/OL13198248M,Christenvolk,Historia y Etnografia de una Colonia Menonita,Lorenzo Canas Bottos,1,9789872138769,2005,Antropofagia,Histoire,0,,,,
/books/OL17868882M,Seis personajes en busca de autor,comedia a escenificar,Luigi Pirandello,1,,1900,Sempere,Théâtre,0,,,,
/books/OL12660289M,"Asclepiades De Samos, Epigramas Y Fragmentos","Estudio Introductorio, Revision Del Texto, Traduccion Y Comentario (Sapheneia. Beitrage Zur Klassischen Philologie)",Luis Arturo Guichard,1,9783039103959,2004,Peter Lang Publishing,,0,,,,
/books/OL20041694M,Ciranda de pedra.,,Lygia Fagundes Telles,1,,1974,José Olympia,,0,,,,
/books/OL13222637M,El Siglo XVII,,M. Mainstone,1,9788425212383,1995,Editorial Gustavo Gili,,0,,,,
/books/OL13307437M,"Ciencia, Tecnologia/Naturaleza, Cultura En El Siglo XXI",,M. Medina,1,9788476585870,2000,Anthropos Research & Publications,Sciences,0,,,,
/books/OL12806896M,"Sociocriticas Practicas Textuales: Cultura De Fronteras (Teoria Literaria : Texto Y Teoria, 7)",,M. Pierrete Malcuzynski,1,9789051832945,1991,Editions Rodopi,Histoire,0,,,,
/books/OL13116267M,Gravedad Artificial,,M. T. Anderson,1,9789681672775,2004,Fondo de Cultura Economica USA,Fiction | Science-fiction | Technologie,0,,,,
/books/OL16288686M,Contrabando y sociedad en el Río de la Plata colonial,,Macarena Perusset,1,9789870219965,2006,Editorial Dunken,Histoire | Économie et entreprise,0,,,,
/books/OL13073280M,Indagaciones,El Nuevo Arte Cubano y Su Estetica (Coleccion Saturno),Magaly Espinosa,1,9789597150091,2003,Ediciones de Almargen,,0,,,,
/books/OL14726243M,Escritos politicos y sociales,,Manuel García-Pelayo,1,9788425908439,1989,Centro de Estudios Constitucionales,Politique,0,,,,
/books/OL19527839M,Medio siglo de cultura (1939-1989),,Manuel L. AbellÁN,1,9789051832242,1990,Rodopi,Histoire,0,,,,
/books/OL12955468M,LA Mamama/Mamama,UN Amor Voraz/a Voracious Love,Manuel Lopez De Tejada,1,9789500713085,1999,Sudamericana,Fiction,0,,,,
/books/OL13115224M,Los Reyes Taumaturgos,,Marc Bloch | Dr. Antonio Fontoura,2,9789681627003,1996,Fondo de Cultura Economica USA,Histoire,0,,,,
/books/OL12999170M,"Ciencia, Tecnica Y Humanismo",,Marcos Meeroff | Agustin Norberto Candioti,2,9789507861116,1996,Editorial Biblos,Philosophie | Sciences,0,,,,
/books/OL13197891M,Proyectos Sobre El Discurso de Mi,,Margarita Paksa,1,9789872074548,2003,Fundacion Espigas,Arts,0,,,,
/books/OL12804544M,De Fusiladores Y Morcilleros,El discurso cómico del género chico (1870-1910). (Portada Hispánica 6),Margot Bersteeg,1,9789042005402,2000,Rodopi Bv Editions,,0,,,,
