row_index,language,author,title,work_key,edition_key,cover_id,cover_local_path,cover_image_url,resolved_path,cover_state,sha256,size_bytes,source_file
1,NL,Adriaan van Dis,Alles voor de reis,/works/OL45868702W,/books/OL62415677M,15244233,data/cache/nl-mass-editorial-engine/covers/NL-OL62415677M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL62415677M.jpeg,LOCAL_FILE_OK,d04ead25e65bd34b588f260e185f21f233a03088e044701df9444fda212b81be,51329,data/audit/nl-fast-v2-selected-pagecount.csv
2,NL,Adriaan van Dis,Dubbelliefde,/works/OL2415113W,/books/OL23028715M,13010303,data/cache/nl-mass-editorial-engine/covers/NL-OL23028715M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL23028715M.jpeg,LOCAL_FILE_OK,96996c38b04440f1d27f6c62c10d86fb1710c135a1612a543d03f8e8bf6bd5cb,35874,data/audit/nl-fast-v2-selected-pagecount.csv
3,NL,Adriaan van Dis,Een barbaar in China,/works/OL27973632W,/books/OL38244448M,12789314,data/cache/nl-mass-editorial-engine/covers/NL-OL38244448M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL38244448M.jpeg,LOCAL_FILE_OK,0f739ef6d87d2c65cb7770f8a31ce0c428042491dd61046d0963a6c5cb1619ea,16040,data/audit/nl-fast-v2-selected-pagecount.csv
4,NL,Adriaan van Dis,Enge dingen,/works/OL22752239W,/books/OL30728760M,13527187,data/cache/nl-mass-editorial-engine/covers/NL-OL30728760M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL30728760M.jpeg,LOCAL_FILE_OK,47c66924541a3ff0fe7afd5146226c97a911c508031a1e5b52bbdedf708f0bbc,36195,data/audit/nl-fast-v2-selected-pagecount.csv
5,NL,Adriaan van Dis,Familieziek,/works/OL2415116W,/books/OL23007114M,11430498,data/cache/nl-mass-editorial-engine/covers/NL-OL23007114M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL23007114M.jpeg,LOCAL_FILE_OK,a4fed000b3c2f8b3f383e893a77925268af4f0a19a3fddda91f3d9b312acd334,37148,data/audit/nl-fast-v2-selected-pagecount.csv
6,NL,Adriaan van Dis,Ik kom terug,/works/OL22917051W,/books/OL30825890M,13527204,data/cache/nl-mass-editorial-engine/covers/NL-OL30825890M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL30825890M.jpeg,LOCAL_FILE_OK,741711c40b4735b0dd2820ea627b8700b343919a5e4e4dfd7b725a0a16e2b6cd,39086,data/audit/nl-fast-v2-selected-pagecount.csv
7,NL,Adriaan van Dis,In Afrika,/works/OL2415118W,/books/OL1648226M,9854640,data/cache/nl-mass-editorial-engine/covers/NL-OL1648226M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL1648226M.jpeg,LOCAL_FILE_OK,5a9fc92b0c23035b10834a308b6a3b7df85650350e949a8719956844cc585ac1,44228,data/audit/nl-fast-v2-selected-pagecount.csv
8,NL,Adriaan van Dis,Indische duinen,/works/OL27736668W,/books/OL37864854M,12737476,data/cache/nl-mass-editorial-engine/covers/NL-OL37864854M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL37864854M.jpeg,LOCAL_FILE_OK,280badde08478086d3e3e9480ed9614b5392db47ac6d2d2832638822325f36d6,55031,data/audit/nl-fast-v2-selected-pagecount.csv
9,NL,Adriaan van Dis,Nathan Sid,/works/OL2415129W,/books/OL2939589M,11684242,data/cache/nl-mass-editorial-engine/covers/NL-OL2939589M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL2939589M.jpeg,LOCAL_FILE_OK,2c5667e979546228d25570a1c5a70758d0364aeaebecc27d2817f1a1bf73a70c,41579,data/audit/nl-fast-v2-selected-pagecount.csv
10,NL,Adriaan van Dis,Onder het zink,/works/OL24422639W,/books/OL32348790M,10977336,data/cache/nl-mass-editorial-engine/covers/NL-OL32348790M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL32348790M.jpeg,LOCAL_FILE_OK,1f3739293d1eddfb8b7f772d0f2b49fd7d96b1940417039e33dd838cba352f9b,45382,data/audit/nl-fast-v2-selected-pagecount.csv
11,NL,Adriaan van Dis,Op oorlogspad in Japan,/works/OL2415123W,/books/OL3988012M,4349748,data/cache/nl-mass-editorial-engine/covers/NL-OL3988012M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL3988012M.jpeg,LOCAL_FILE_OK,543b05f57e65d8b914e565d13b07a5901f1d22bc017754e28416d27295265e6b,3688,data/audit/nl-fast-v2-selected-pagecount.csv
12,NL,Adriaan van Dis,Palmwijn,/works/OL2415125W,/books/OL556977M,13527259,data/cache/nl-mass-editorial-engine/covers/NL-OL556977M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL556977M.jpeg,LOCAL_FILE_OK,e5701863b04f40419267d7a0d468e35ed8690b789f28b5b8835fcdd8c782cd5f,20275,data/audit/nl-fast-v2-selected-pagecount.csv
13,NL,Anna Enquist,Contrapunt,/works/OL34877484W,/books/OL47233050M,13674305,data/cache/nl-mass-editorial-engine/covers/NL-OL47233050M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL47233050M.jpeg,LOCAL_FILE_OK,6af43e7d7f8f20dda379cb11f31c1e16e69ad39cdc750977d2d1f2e10999e8a7,22132,data/audit/nl-fast-v2-selected-pagecount.csv
14,NL,Anna Enquist,Daer een seigneur zijn handen wast,/works/OL29993607W,/books/OL41233671M,13009207,data/cache/nl-mass-editorial-engine/covers/NL-OL41233671M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL41233671M.jpeg,LOCAL_FILE_OK,10b9f0dcef12cbccbe2abcf7444bfda637d1d88af80c037fb01629f3da6d658f,29087,data/audit/nl-fast-v2-selected-pagecount.csv
15,NL,Anna Enquist,De ijsdragers,/works/OL817059W,/books/OL9112842M,6460449,data/cache/nl-mass-editorial-engine/covers/NL-OL9112842M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL9112842M.jpeg,LOCAL_FILE_OK,0397bd5b27c54bc491aaa965676ebb385a9ea3c3686d995f1f8cb22712656cc5,20841,data/audit/nl-fast-v2-selected-pagecount.csv
16,NL,Anna Enquist,De kwetsuur,/works/OL19699464W,/books/OL26913170M,11396109,data/cache/nl-mass-editorial-engine/covers/NL-OL26913170M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL26913170M.jpeg,LOCAL_FILE_OK,116a914f0cc5684077442cba8d1e2fcad2a4ee1a9d0a69209bc99a5ee7a0e2c6,36612,data/audit/nl-fast-v2-selected-pagecount.csv
