duplicate_type,resolved_path,owner_count,source_key,language,title,authors,cover_id,sha256
SAME_FILE,data/covers/full/ol-cover-10708272.jpg,4,/books/OL6777822M,LA,Regulus,Antoine de Saint-Exupéry,10708272,43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad
SAME_FILE,data/covers/full/ol-cover-10708272.jpg,4,/books/OL13430352M,IT,Il Piccolo Principe,Antoine de Saint-Exupéry,10708272,43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad
SAME_FILE,data/covers/full/ol-cover-10708272.jpg,4,/books/OL8935860M,DE,Der Kleine Prinz,Antoine de Saint-Exupéry,10708272,43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad
SAME_FILE,data/covers/full/ol-cover-10708272.jpg,4,/books/OL32117993M,FR,Le petit prince,Antoine de Saint-Exupéry,10708272,43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad
SAME_FILE,data/covers/full/ol-cover-289591.jpg,2,/books/OL5856979M,LA,Fabula de Petro Cuniculo.,Beatrix Potter,289591,f1c2219db60ae3fb520e5afbd3c56c4ec48a6f40b5bffbf51c4029e6de193919
SAME_FILE,data/covers/full/ol-cover-289591.jpg,2,/books/OL23303624M,FR,Histoire de Pierre Lapin.,Beatrix Potter,289591,f1c2219db60ae3fb520e5afbd3c56c4ec48a6f40b5bffbf51c4029e6de193919
SAME_FILE,data/covers/full/ol-cover-8597022.jpg,2,/books/OL3243753M,LA,Pinoculus Latinus,Carlo Collodi,8597022,4100a930e1fde9dc876e38c1c5522d08a9d8927f1ed516f626688107e254d6ca
SAME_FILE,data/covers/full/ol-cover-8597022.jpg,2,/books/OL27004395M,NL,Pinocchio,Carlo Collodi,8597022,4100a930e1fde9dc876e38c1c5522d08a9d8927f1ed516f626688107e254d6ca
SAME_FILE,data/covers/full/ol-cover-3325898.jpg,2,/books/OL12449141M,LA,De Sigaris Pharaonis,Hergé,3325898,f6d82fbb6c2a92c09e4ccd36c3df698278fb2dac17c379b04f104a814bf80f17
SAME_FILE,data/covers/full/ol-cover-3325898.jpg,2,/books/OL45313511M,FR,Les Cigares du Pharaon,Hergé,3325898,f6d82fbb6c2a92c09e4ccd36c3df698278fb2dac17c379b04f104a814bf80f17
SAME_FILE,data/covers/full/ol-cover-552443.jpg,2,/books/OL2720457M,LA,Magus mirabilis in Oz,L. Frank Baum,552443,f428e205582b58640af783ae9dcdcdaf9c3b3c4b9e15a801975e8f5d5e587386
SAME_FILE,data/covers/full/ol-cover-552443.jpg,2,/books/OL39481818M,NL,De tovenaar van Oz,L. Frank Baum,552443,f428e205582b58640af783ae9dcdcdaf9c3b3c4b9e15a801975e8f5d5e587386
