keep_index,source_key,language,title,authors,decision,work_key,cover_id,cover_file,cover_image_url,cover_width,cover_height,cover_bytes,resolved_path,cover_state,sha256,size_bytes
1,/books/OL17025590M,LA,Æsopi Phrygis Fabulæ,Aesop,KEEP_TRANSLATION,/works/OL11100883W,5796201,ol-cover-5796201.jpg,,356,500,41641,data/covers/full/ol-cover-5796201.jpg,LOCAL_FILE_OK,b6b6502014364fc40974947ebe2d308607d7d4228e340f4c919815c0353455f5,41641
2,/books/OL21650948M,LA,Aesopi Phrygis fabulatoris celeberrimi lepidissimae fabulae Graecè & Latinè,Aesop | Joseph Jacobs | Percy J. Billinghurst | Roger L'Estrange,KEEP_TRANSLATION,/works/OL15464922W,6028446,ol-cover-6028446.jpg,,299,500,26158,data/covers/full/ol-cover-6028446.jpg,LOCAL_FILE_OK,ed5888395219c7da157e2d041758c95f92537d5e61084405a00d00aebd4bd554,26158
3,/books/OL6777822M,LA,Regulus,Antoine de Saint-Exupéry,KEEP_TRANSLATION,/works/OL10263W,10708272,ol-cover-10708272.jpg,,298,500,36749,data/covers/full/ol-cover-10708272.jpg,LOCAL_FILE_OK,43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad,36749
4,/books/OL23340761M,LA,St. Augustine's Confessions,Augustine of Hippo,KEEP_CORE,/works/OL137872W,9022521,ol-cover-9022521.jpg,,310,436,74483,data/covers/full/ol-cover-9022521.jpg,LOCAL_FILE_OK,d5f5eba582948acf66bd35d33d6f6532caa001f6f8b69bda75e6f6cded4884fd,74483
5,/books/OL5096914M,LA,Euphormionis Lusinini Satyricon.,"Barclay, John",KEEP_CORE,/works/OL1354513W,4900368,ol-cover-4900368.jpg,,128,193,2932,data/covers/full/ol-cover-4900368.jpg,LOCAL_FILE_OK,93c2c39cbc076b630b6fa0628169a9b60635206d2bc5cbdb6f0c2ef96005ab09,2932
6,/books/OL5856979M,LA,Fabula de Petro Cuniculo.,Beatrix Potter,KEEP_TRANSLATION,/works/OL108735W,289591,ol-cover-289591.jpg,,486,500,75975,data/covers/full/ol-cover-289591.jpg,LOCAL_FILE_OK,f1c2219db60ae3fb520e5afbd3c56c4ec48a6f40b5bffbf51c4029e6de193919,75975
7,/books/OL7865378M,LA,Ieremia Piscatore,Beatrix Potter,KEEP_TRANSLATION,/works/OL15067647W,14581319,ol-cover-14581319.jpg,,386,500,48616,data/covers/full/ol-cover-14581319.jpg,LOCAL_FILE_OK,ef6a349a7a581586f9584eebedf2cfa2dbc43e979914c3479f71a54f8d838bb1,48616
8,/books/OL5944510M,LA,Fabula de Jemima Anate-Aquatica,Beatrix Potter | Colin Twinn,KEEP_TRANSLATION,/works/OL16067296W,7347371,ol-cover-7347371.jpg,,160,160,6359,data/covers/full/ol-cover-7347371.jpg,LOCAL_FILE_OK,a8c46f2b5a8bf8e0bbcf7445c427b7c491ac90c23be146fe40a1d18ae80cdd50,6359
9,/books/OL16894328M,LA,Ludovici Montaltii Litterae provinciales,Blaise Pascal,KEEP_TRANSLATION,/works/OL1262605W,6075452,ol-cover-6075452.jpg,,269,500,29196,data/covers/full/ol-cover-6075452.jpg,LOCAL_FILE_OK,860488d12968ceeaeed1fb398ea4626bcb253c17933fc947bda77b5c5527c314,29196
10,/books/OL24181898M,LA,Boethius' Consolation of philosophy,Boethius,KEEP_CORE,/works/OL1393107W,2829145,ol-cover-2829145.jpg,,405,500,19737,data/covers/full/ol-cover-2829145.jpg,LOCAL_FILE_OK,bdefffa5d742625d348ac5dc610aa5a1a0f601bb63b901d955b488b086bb117b,19737
11,/books/OL3243753M,LA,Pinoculus Latinus,Carlo Collodi,KEEP_TRANSLATION,/works/OL1527356W,8597022,ol-cover-8597022.jpg,,301,500,39070,data/covers/full/ol-cover-8597022.jpg,LOCAL_FILE_OK,4100a930e1fde9dc876e38c1c5522d08a9d8927f1ed516f626688107e254d6ca,39070
12,/books/OL8311025M,LA,Cicero,Cicero,KEEP_CORE,/works/OL15733517W,9243244,ol-cover-9243244.jpg,,298,422,30594,data/covers/full/ol-cover-9243244.jpg,LOCAL_FILE_OK,b71e1c3f729479e874798c44e7db4aba9934d185abbd296c875c20b45d782079,30594
13,/books/OL619549M,LA,The letters of January to April 43 BC,Cicero,KEEP_CORE,/works/OL15217763W,9860894,ol-cover-9860894.jpg,,351,500,40080,data/covers/full/ol-cover-9860894.jpg,LOCAL_FILE_OK,8d110950fb3ddca9cde53d6eb48d974d99f25d4bffa22c8bbe11dcc1d41ae7ae,40080
14,/books/OL12823125M,LA,Carmina,Claudius Claudianus,KEEP_CORE,/works/OL10084067W,14670906,ol-cover-14670906.jpg,/covers/catalogue/ol-cover-14670906.jpg,266,400,9155,data/covers/full/ol-cover-14670906.jpg,LOCAL_FILE_OK,ac5da93c83ff54b28955ac28fa3dc67a097ab0789cd71a9b854425e789ac9e47,9155
15,/books/OL3379617M,LA,Virent ova! Viret perna!!,Dr. Seuss,KEEP_TRANSLATION,/works/OL1898308W,231746,ol-cover-231746.jpg,,421,475,44449,data/covers/full/ol-cover-231746.jpg,LOCAL_FILE_OK,fbfae098c47a574bb47b5640d121c1fbe1944daf6408ca1e8ce09fa56eefae9c,44449
16,/books/OL6784356M,LA,Cattus petasatus,Dr. Seuss | Simon Mugford,KEEP_TRANSLATION,/works/OL1898309W,11342,ol-cover-11342.jpg,,347,475,30115,data/covers/full/ol-cover-11342.jpg,LOCAL_FILE_OK,8419c06c5e13b0aa193be41fa2c12b8e4779789fc035a7b9db7a335eb85c6660,30115
