row_index,language,title,authors,decision,cover_reference_count,cover_references
1,LA,Æsopi Phrygis Fabulæ,Aesop,KEEP_TRANSLATION,0,
2,LA,Aesopi Phrygis fabulatoris celeberrimi lepidissimae fabulae Graecè & Latinè,Aesop | Joseph Jacobs | Percy J. Billinghurst | Roger L'Estrange,KEEP_TRANSLATION,0,
3,LA,Regulus,Antoine de Saint-Exupéry,KEEP_TRANSLATION,0,
4,LA,St. Augustine's Confessions,Augustine of Hippo,KEEP_CORE,0,
5,LA,Euphormionis Lusinini Satyricon.,"Barclay, John",KEEP_CORE,0,
6,LA,Fabula de Petro Cuniculo.,Beatrix Potter,KEEP_TRANSLATION,0,
7,LA,Ieremia Piscatore,Beatrix Potter,KEEP_TRANSLATION,0,
8,LA,Fabula de Jemima Anate-Aquatica,Beatrix Potter | Colin Twinn,KEEP_TRANSLATION,0,
9,LA,Ludovici Montaltii Litterae provinciales,Blaise Pascal,KEEP_TRANSLATION,0,
10,LA,Boethius' Consolation of philosophy,Boethius,KEEP_CORE,0,
11,LA,Pinoculus Latinus,Carlo Collodi,KEEP_TRANSLATION,0,
12,LA,Cicero,Cicero,KEEP_CORE,0,
13,LA,The letters of January to April 43 BC,Cicero,KEEP_CORE,0,
14,LA,Carmina,Claudius Claudianus,KEEP_CORE,0,
15,LA,Virent ova! Viret perna!!,Dr. Seuss,KEEP_TRANSLATION,0,
16,LA,Cattus petasatus,Dr. Seuss | Simon Mugford,KEEP_TRANSLATION,0,
17,LA,Expositiones Sequentiarum,Erika Kihlman,KEEP_CORE,0,
18,LA,Ysengrimus,Ernst Voigt | Nivardus,KEEP_CORE,0,
19,LA,Corpvs Inscriptionvm Latinarvm,Evgenivs Bormann,KEEP_CORE,0,
20,LA,De genere Byrsonima ...,Franz Niedenzu,KEEP_CORE,0,
21,LA,"Historiae florentinae Nicolai Machiavelli, civis et secretarii florentini",Félix Fernández Murga | Félix Gilbert | Giovanni Battista Niccolini | Niccolò Machiavelli | Peter Whithorne,KEEP_TRANSLATION,0,
22,LA,Collectio psalterii Bedae Venerabili adscripta,Gerald Browne,KEEP_CORE,0,
23,LA,"Aeneid, IV",H.E. Gould | J.L. Whiteley | Publius Vergilius Maro,KEEP_CORE,0,
24,LA,Petrulus Hirrutus: Der Struwwelpeter,Heinrich Hoffmann,KEEP_TRANSLATION,0,
25,LA,Heliodori Aethiopicae historiae libri decem,Heliodorus of Emesa,KEEP_TRANSLATION,0,
26,LA,De Sigaris Pharaonis,Hergé,KEEP_TRANSLATION,0,
27,LA,Olivia,Ian Falconer,KEEP_TRANSLATION,0,
28,LA,Dictata ad ius Hodiernum,Jacobus Voorda,KEEP_CORE,0,
29,LA,"De eclipsi solari anno MDCLIV die XII Augusti, in Europa, a pluribus spectata tubo optico, nunc iterum à Jacobo Balde è Societate Jesu tubo satyrico perlustrata, libri duo.",Jakob Balde,KEEP_CORE,0,
30,LA,Robinson Crusoëus,Joachim Heinrich Campe,KEEP_TRANSLATION,0,
31,LA,Polistoria de Virtutibus et Dotibus Romanorum,Joannes Caballinus de Cerronibus,KEEP_CORE,0,
32,LA,Magus mirabilis in Oz,L. Frank Baum,KEEP_TRANSLATION,0,
33,LA,Alicia in Terra Mirabili,Lewis Carroll,KEEP_TRANSLATION,0,
34,LA,Aliciae per speculum transitus (Quaeque ibi invenit),Lewis Carroll,KEEP_TRANSLATION,0,
35,LA,"Constitutiones et acta publica imperatorum et regum, Bd.1, 911-1197",Ludwig Weiland,KEEP_CORE,0,
36,LA,L Apulei Metamorphoseon Libri Xi,Maaike Zimmerman,KEEP_CORE,0,
37,LA,Erik 14,Magnus Karlsson,KEEP_CORE,0,
38,LA,Maria Poppina ab A ad Z.,Mary Shepard | Pamela L. Travers,KEEP_TRANSLATION,0,
39,LA,A Bear Called Paddington (BCP Latin Texts),Michael Bond,KEEP_TRANSLATION,0,
40,LA,Nithardi Historiarum libri 4.,Nithard,KEEP_CORE,0,
41,LA,Metamorphoses,Ovid,KEEP_CORE,0,
42,LA,"Tristia, III",Ovid,KEEP_CORE,0,
43,LA,Short Latin stories,Philip Dunlop,KEEP_CORE,0,
44,LA,"Naturalis Historiae, vol. I",Pliny the Elder,KEEP_CORE,0,
45,LA,"Naturalis Historiae, vol. II",Pliny the Elder,KEEP_CORE,0,
46,LA,"Naturalis Historiae, vol. V",Pliny the Elder,KEEP_CORE,0,
47,LA,"Naturalis Historiae, vol. VI",Pliny the Elder,KEEP_CORE,0,
48,LA,P. Vergili Maronis Opera omnia,Publius Vergilius Maro,KEEP_CORE,0,
49,LA,Apocolocyntosis divi Claudii,Seneca the Younger,KEEP_CORE,0,
50,LA,L. Annaei Senecae Oedipus,Seneca the Younger,KEEP_CORE,0,
51,LA,Thyestes,Seneca the Younger,KEEP_CORE,0,
52,LA,Tragoediae,Seneca the Younger,KEEP_CORE,0,
53,LA,The Utopia of Sir Thomas More,Thomas More,KEEP_CORE,0,
54,LA,A selection of Latin stories,Thomas Wright,KEEP_CORE,0,
55,LA,"Books V, VI, and VII",Titus Livius,KEEP_CORE,0,
56,LA,Nonius Marcellus: De compendiosa doctrina libri XX,Wallace Lindsay,KEEP_CORE,0,
57,IT,Gli Eredi di Gilgamesh,Abdullah Öcalan | Klaus Happel,KEEP_TRANSLATION,0,
58,IT,Diario della guerra del maiale,Adolfo Bioy Casares,KEEP_TRANSLATION,0,
59,IT,Oresteia,Aeschylus,KEEP_TRANSLATION,0,
60,IT,Alien Nation,Alan Dean Foster,KEEP_TRANSLATION,0,
61,IT,Filogenesi,Alan Dean Foster,KEEP_TRANSLATION,0,
62,IT,Flinx nella terra di mezzo,Alan Dean Foster,KEEP_TRANSLATION,0,
63,IT,Incontri pericolosi,Alan Dean Foster,KEEP_TRANSLATION,0,
64,IT,Krull,Alan Dean Foster,KEEP_TRANSLATION,0,
