sha256,group_type,owner_count,source_type,source_identity,language,title,authors,edition_key,source_path,canonical_cover_file
43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad,WITHIN_KEEP,4,KEEP,/books/OL6777822M,LA,Regulus,Antoine de Saint-Exupéry,,data/covers/full/ol-cover-10708272.jpg,data/covers/final/cover-43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad.jpg
43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad,WITHIN_KEEP,4,KEEP,/books/OL13430352M,IT,Il Piccolo Principe,Antoine de Saint-Exupéry,,data/covers/full/ol-cover-10708272.jpg,data/covers/final/cover-43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad.jpg
43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad,WITHIN_KEEP,4,KEEP,/books/OL8935860M,DE,Der Kleine Prinz,Antoine de Saint-Exupéry,,data/covers/full/ol-cover-10708272.jpg,data/covers/final/cover-43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad.jpg
43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad,WITHIN_KEEP,4,KEEP,/books/OL32117993M,FR,Le petit prince,Antoine de Saint-Exupéry,,data/covers/full/ol-cover-10708272.jpg,data/covers/final/cover-43f05e6d5175d88b19b69d75a4c5e2fd457cfe91b1b1bf978d3b1e0658ef80ad.jpg
f1c2219db60ae3fb520e5afbd3c56c4ec48a6f40b5bffbf51c4029e6de193919,WITHIN_KEEP,2,KEEP,/books/OL5856979M,LA,Fabula de Petro Cuniculo.,Beatrix Potter,,data/covers/full/ol-cover-289591.jpg,data/covers/final/cover-f1c2219db60ae3fb520e5afbd3c56c4ec48a6f40b5bffbf51c4029e6de193919.jpg
f1c2219db60ae3fb520e5afbd3c56c4ec48a6f40b5bffbf51c4029e6de193919,WITHIN_KEEP,2,KEEP,/books/OL23303624M,FR,Histoire de Pierre Lapin.,Beatrix Potter,,data/covers/full/ol-cover-289591.jpg,data/covers/final/cover-f1c2219db60ae3fb520e5afbd3c56c4ec48a6f40b5bffbf51c4029e6de193919.jpg
4100a930e1fde9dc876e38c1c5522d08a9d8927f1ed516f626688107e254d6ca,WITHIN_KEEP,2,KEEP,/books/OL3243753M,LA,Pinoculus Latinus,Carlo Collodi,,data/covers/full/ol-cover-8597022.jpg,data/covers/final/cover-4100a930e1fde9dc876e38c1c5522d08a9d8927f1ed516f626688107e254d6ca.jpg
4100a930e1fde9dc876e38c1c5522d08a9d8927f1ed516f626688107e254d6ca,WITHIN_KEEP,2,KEEP,/books/OL27004395M,NL,Pinocchio,Carlo Collodi,,data/covers/full/ol-cover-8597022.jpg,data/covers/final/cover-4100a930e1fde9dc876e38c1c5522d08a9d8927f1ed516f626688107e254d6ca.jpg
f6d82fbb6c2a92c09e4ccd36c3df698278fb2dac17c379b04f104a814bf80f17,WITHIN_KEEP,2,KEEP,/books/OL12449141M,LA,De Sigaris Pharaonis,Hergé,,data/covers/full/ol-cover-3325898.jpg,data/covers/final/cover-f6d82fbb6c2a92c09e4ccd36c3df698278fb2dac17c379b04f104a814bf80f17.jpg
f6d82fbb6c2a92c09e4ccd36c3df698278fb2dac17c379b04f104a814bf80f17,WITHIN_KEEP,2,KEEP,/books/OL45313511M,FR,Les Cigares du Pharaon,Hergé,,data/covers/full/ol-cover-3325898.jpg,data/covers/final/cover-f6d82fbb6c2a92c09e4ccd36c3df698278fb2dac17c379b04f104a814bf80f17.jpg
