source_key,language,quality_bucket,original_title,original_authors,search_mode,candidate_work_key,candidate_work_title,candidate_authors,candidate_edition_key,candidate_edition_title,candidate_languages,cover_id,isbn,publisher,publish_date,title_score,author_score,edition_title_score,candidate_score,candidate_rank
/books/OL12712906M,DE,STRONG,Die Luft an der Spitze des Pinsels. Kritische Spaziergänge durch Bildersäle.,Willibald Sauerländer,TITLE_AUTHOR,/works/OL10031442W,Die Luft an der Spitze des Pinsels. Kritische Spaziergänge durch Bildersäle,Willibald Sauerländer,/books/OL12712906M,Die Luft an der Spitze des Pinsels. Kritische Spaziergänge durch Bildersäle.,ger,3199437,9783446202283,Hanser,"January 1, 2002",1.0,1.0,1.0,125.0,1
/books/OL12772941M,EN,STRONG,Matchmaking in Electronic Markets,Daniel J. Veit,TITLE_AUTHOR,/works/OL10057884W,Matchmaking in Electronic Markets,Daniel J. Veit,/books/OL12772941M,Matchmaking in Electronic Markets,eng,3227813,9783540205005,Springer,"February 12, 2004",1.0,1.0,1.0,125.0,1
/books/OL12774980M,EN,STRONG,New Concepts for Parallel Object-Relational Query Processing,Michael Jaedicke,TITLE_AUTHOR,/works/OL10058338W,New Concepts for Parallel Object-Relational Query Processing,Michael Jaedicke,/books/OL12774980M,New Concepts for Parallel Object-Relational Query Processing,eng,3229746,9783540427810,Springer,"November 28, 2001",1.0,1.0,1.0,125.0,1
/books/OL40217587M,DE,STRONG,Mike und ich und Max Ernst,Antonia Michaelis,TITLE_AUTHOR,/works/OL10123226W,Mike und ich und Max Ernst,Antonia Michaelis,/books/OL40217587M,Mike und ich und Max Ernst,ger,12975242,9783732010967,Loewe,24. Juli 2018,1.0,1.0,1.0,125.0,1
/books/OL12912149M,DE,STRONG,Pizzakrise,Antonia Michaelis,TITLE_AUTHOR,/works/OL10123227W,Pizzakrise,Antonia Michaelis,/books/OL12912149M,Pizzakrise,ger,12975433,9783785541814,Loewe,"June 1, 2003",1.0,1.0,1.0,125.0,1
/books/OL12774686M,EN,STRONG,Practical Aspects of Declarative Languages,I.V. Ramakrishnan,TITLE_AUTHOR,/works/OL10058284W,Practical Aspects of Declarative Languages,I.V. Ramakrishnan,/books/OL12774686M,Practical Aspects of Declarative Languages,eng,3229446,9783540417682,Springer,"March 26, 2001",1.0,1.0,1.0,125.0,1
/books/OL12808364M,EN,STRONG,Fashion and Fancy,Marieke de Winkel,TITLE_AUTHOR,/works/OL10081169W,Fashion and Fancy,Marieke de Winkel,/books/OL12808364M,Fashion and Fancy,eng,5213580,9789053569177,Amsterdam University Press,"December 15, 2006",1.0,1.0,1.0,125.0,1
/books/OL1031754M,EN,STRONG,I am Houston,Mary Dodson Wade,TITLE_AUTHOR,/works/OL1001267W,I am Houston,Mary Dodson Wade,/books/OL1031754M,I am Houston,eng,7271714,1882539052,Colophon House,1993,1.0,1.0,1.0,125.0,1
/books/OL1031754M,EN,STRONG,I am Houston,Mary Dodson Wade,TITLE_AUTHOR,/works/OL1001309W,Sam Houston,Mary Dodson Wade,/books/OL23170542M,Sam Houston,eng,7088531,9781933979373,Bright Sky Press,2009,0.8695652173913043,1.0,0.96,117.93043478260869,2
/books/OL22551819M,EN,STRONG,Sangoma,"Hall, James",TITLE_AUTHOR,/works/OL17914151W,Sangoma,"Hall, James A.",/books/OL26489001M,Sangoma,eng,15166791,9780874777802,Tarcher,1994,1.0,0.96,1.0,123.6,1
/books/OL22753764M,EN,STRONG,Frank Lloyd Wright,Alan Hess,TITLE_AUTHOR,/works/OL17497661W,Frank Lloyd Wright Natural Design Organic Architecture,Alan Hess,/books/OL26085108M,Frank Lloyd Wright Natural Design Organic Architecture,eng,7697095,9780847837960,Rizzoli International Publications,2012,0.96,1.0,0.96,121.99999999999999,1
/books/OL22753764M,EN,STRONG,Frank Lloyd Wright,Alan Hess,TITLE_AUTHOR,/works/OL1001229W,Frank Lloyd Wright The Houses,Alan Hess,/books/OL8247999M,Frank Lloyd Wright The Houses,eng,644104,9780847827367,Rizzoli,"November 1, 2005",0.96,1.0,0.96,121.99999999999999,2
/books/OL22753764M,EN,STRONG,Frank Lloyd Wright,Alan Hess,TITLE_AUTHOR,/works/OL1001228W,Frank Lloyd Wright Prairie Houses,Alan Hess,/books/OL8248080M,Frank Lloyd Wright Prairie Houses,eng,644182,9780847828586,Rizzoli,"November 14, 2006",0.96,1.0,0.96,121.99999999999999,3
/books/OL22753764M,EN,STRONG,Frank Lloyd Wright,Alan Hess,TITLE_AUTHOR,/works/OL1001227W,Frank Lloyd Wright Mid-Century Modern,Alan Hess,/books/OL8248147M,Frank Lloyd Wright Mid-Century Modern,eng,644241,9780847829767,Rizzoli,"October 23, 2007",0.96,1.0,0.96,121.99999999999999,4
/books/OL16901202M,EN,STRONG,Texas plants and animals,Mary Dodson Wade,TITLE_AUTHOR,/works/OL1001293W,Texas Plants and Animals,Mary Dodson Wade,/books/OL11640666M,Texas Plants and Animals,eng,2743639,9781403406903,Heinemann,May 2003,1.0,1.0,1.0,125.0,1
/books/OL16901202M,EN,STRONG,Texas plants and animals,Mary Dodson Wade,TITLE_AUTHOR,/works/OL1001310W,Texas,Mary Dodson Wade,/books/OL11640740M,Texas,eng,5150638,9781403426987,Heinemann,June 2003,0.96,1.0,0.96,121.99999999999999,2
/books/OL16901023M,EN,STRONG,Amazing president Theodore Roosevelt,Mary Dodson Wade,TITLE_AUTHOR,/works/OL24722024W,Amazing president theodore roosevelt,Mary Dodson Wade,/books/OL32818451M,Amazing president theodore roosevelt,eng,11451108,9780766059795,Enslow Publishers,2013,1.0,1.0,1.0,125.0,1
/books/OL21095370M,EN,STRONG,No talking,Andrew Clements,TITLE_AUTHOR,/works/OL7988632W,No Talking,Andrew Clements,/books/OL11686741M,No Talking,eng,2762464,9781410402943,Thorndike Press,"December 5, 2007",1.0,1.0,1.0,125.0,1
/books/OL21095370M,EN,STRONG,No talking,Andrew Clements,TITLE_AUTHOR,/works/OL17315047W,No talking,Andrew Clements,/books/OL25889204M,No talking,eng,7393496,9780545074735,Scholastic Inc.,2008,1.0,1.0,1.0,125.0,2
/books/OL21095370M,EN,STRONG,No talking,Andrew Clements,TITLE_AUTHOR,/works/OL7988658W,No Talking,Andrew Clements,/books/OL8458033M,No Talking,eng,760993,9781416909835,Simon & Schuster Children's Publishing,"June 26, 2007",1.0,1.0,1.0,125.0,3
/books/OL12775270M,EN,STRONG,Logic Programming,Peter J. Stuckey,TITLE_AUTHOR,/works/OL10058405W,Logic Programming,Peter J. Stuckey,/books/OL12775270M,Logic Programming,eng,3230046,9783540439301,Springer,"September 17, 2002",1.0,1.0,1.0,125.0,1
/books/OL12775270M,EN,STRONG,Logic Programming,Peter J. Stuckey,TITLE_AUTHOR,/works/OL27314143W,Functional and Logic Programming,Yukiyoshi Kameyama | Peter J. Stuckey,/books/OL9691182M,Functional and Logic Programming,eng,2218577,9783540214021,Springer,"July 27, 2004",0.96,1.0,0.96,121.99999999999999,2
/books/OL18305650M,EN,STRONG,Splendors of Islam,Dominique Clévenot,TITLE_AUTHOR,/works/OL8672021W,Splendors of Islam,Dominique Clevenot,/books/OL8317950M,Splendors of Islam,eng,656628,9780865652149,Vendome Press,,1.0,1.0,1.0,123.0,1
