source_key,language,quality_bucket,quality_score,preservation_reason,original_title,original_authors,original_isbn,original_publication_year,original_publisher,rescue_state,search_mode,candidate_work_key,candidate_work_title,candidate_authors,candidate_edition_key,candidate_edition_title,candidate_languages,title_score,author_score,edition_title_score,cover_id,cover_width,cover_height,cover_format,cover_local_path,cover_sha256
/books/OL12710631M,DE,PROMISING,5,EDITORIAL_CORE,Der Blick durch den Spiegel,Christa Hein,9783442443222,2000,Goldmann,RECOVERED,TITLE_AUTHOR,/works/OL10014865W,Der Blick Durch Den Spiegel,Christa Hein,/books/OL12710631M,Der Blick durch den Spiegel,ger,1.0000,1.0000,1.0000,15167009,313,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12710631M__OL12710631M.jpeg,dc9ac4855e2886bd371afc50659512bd8de31f360c8e081103d8777e9600375f
/books/OL12735989M,DE,PROMISING,5,EDITORIAL_CORE,Kant- Handbuch. Leben und Werk.,Gerd Irrlitz,9783476012340,2002,Metzler,RECOVERED,TITLE_AUTHOR,/works/OL20704262W,Kant-Handbuch,Gerd Irrlitz,/books/OL28677970M,Kant Handbuch,ger,0.9600,1.0000,1.0000,10332091,348,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12735989M__OL28677970M.jpeg,0bc7df94374206449921097542656e153b5227e58e2011338f0789814f074db4
/books/OL12737604M,DE,PROMISING,5,EDITORIAL_CORE,Einfache Formen.,Andre Jolles,9783484221154,1982,"Niemeyer, Tübingen",RECOVERED,TITLE_AUTHOR,/works/OL10338296W,Einfache Formen,André Jolles,/books/OL13542243M,Einfache Formen,ger,1.0000,1.0000,1.0000,5302280,128,204,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12737604M__OL13542243M.jpeg,674cf80bfda25247e7112360b30b706bbc253e2916600f9ed513717ee8cf1e67
/books/OL12911215M,DE,PROMISING,5,EDITORIAL_CORE,Die Stellings.,Christa Kanitz,9783784428499,2002,Langen/Müller,RECOVERED,TITLE_AUTHOR,/works/OL26377337W,Die Stellings,Christa Kanitz,/books/OL35616292M,Die Stellings,ger,1.0000,1.0000,1.0000,12323403,307,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12911215M__OL35616292M.jpeg,0c108aec2d8e7b4d996352cf285c582b16e9763454b78572fe64433b00d28d92
/books/OL12912149M,DE,STRONG,7,EDITORIAL_CORE,Pizzakrise,Antonia Michaelis,9783785541814,2003,Loewe,RECOVERED,TITLE_AUTHOR,/works/OL10123227W,Pizzakrise,Antonia Michaelis,/books/OL12912149M,Pizzakrise,ger,1.0000,1.0000,1.0000,12975433,325,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12912149M__OL12912149M.jpeg,084f38ca3e8c514dee027a4a718d8d6d54bde9b3c357f3bbba3d5701dadc4348
/books/OL12971052M,DE,PROMISING,5,EDITORIAL_CORE,Tanz der Wasserläufer. Roman.,Tania Douglas,9783821809250,2003,Eichborn,RECOVERED,TITLE_AUTHOR,/works/OL24854601W,Tanz der Wasserläufer,Tania Douglas,/books/OL33035272M,Tanz der Wasserläufer,ger,0.9600,1.0000,1.0000,11725728,305,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL12971052M__OL33035272M.jpeg,1810c563d4dde8f3bfdf02b2de6ec554a8feb91b904f46712829cf2abc5c2d46
/books/OL15502715M,DE,PROMISING,5,EDITORIAL_CORE,Der westliche Universalismus,Sibylle Tönnies,9783531127262,1995,Westdeutscher Verlag,RECOVERED,TITLE_AUTHOR,/works/OL10029826W,Der westliche Universalismus (Arbeitstitel) . Die Denkwelt der Menschenrechte,Sibylle Tönnies,/books/OL12769845M,Der westliche Universalismus (Arbeitstitel) . Die Denkwelt der Menschenrechte,ger,0.9600,1.0000,0.9600,3226780,123,180,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL15502715M__OL12769845M.jpeg,a71d298eb97271628bc3af88363601cbd1b437cc5fbc861ff68bf286a990992f
/books/OL18519827M,DE,PROMISING,5,EDITORIAL_CORE,Römische Erinnerungsräume,Steffen Diefenbach,9783110191295,2007,Walter de Gruyter,RECOVERED,TITLE_AUTHOR,/works/OL10016453W,Romische Erinnerungsraume Heiligenmemoria Und Kollektive Identitaten Im Rom Des 3 Bis 5 Jahrhunderts N Chr (Millennium Studien/Millennium Studies),Steffen Diefenbach,/books/OL12664862M,Romische Erinnerungsraume Heiligenmemoria Und Kollektive Identitaten Im Rom Des 3 Bis 5 Jahrhunderts N Chr (Millennium Studien/Millennium Studies),ger,0.9600,1.0000,0.9600,3168155,356,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL18519827M__OL12664862M.jpeg,b64a5c861ff5acf748c4fab5324273875b48b09a926110b081a55a4b4caec940
/books/OL20894936M,DE,PROMISING,5,EDITORIAL_CORE,"Aufklärung, Sturm und Drang",Theo Herold,9783123474200,1983,E. Klett,RECOVERED,TITLE_AUTHOR,/works/OL15007502W,"Geschichte der deutschen Literatur, Bd.1, Aufklärung, Sturm und Drang",Theo Herold,/books/OL12665977M,"Geschichte der deutschen Literatur, Bd.1, Aufklärung, Sturm und Drang",ger,0.9600,1.0000,0.9600,13198673,307,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL20894936M__OL12665977M.jpeg,9ea587a3a1ac1ae47b3934be0b931ab165123129c50b8b10d65ba789a6effc6f
/books/OL20903336M,DE,PROMISING,5,EDITORIAL_CORE,Die Moderne erfindet sich ihr Mittelalter,Jürgen Wolf,9783515086271,2004,Akademie der Wissenschaften und der Literatur,RECOVERED,TITLE_ONLY,/works/OL12831164W,"Colloquia Academica G, Geisteswissenschaften; 2004: Die Moderne erfindet sich ihr Mittelalter - oder wie aus der 'mittelalterlichen Erdkugel' eine 'neuzeitliche Erdscheibe' wurde",J urgen Wolf,/books/OL19625949M,"Colloquia Academica G, Geisteswissenschaften; 2004: Die Moderne erfindet sich ihr Mittelalter - oder wie aus der 'mittelalterlichen Erdkugel' eine 'neuzeitliche Erdscheibe' wurde",ger,0.9600,0.9565,0.9600,8393296,344,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL20903336M__OL19625949M.jpeg,6514a0180a7905312fecb3f47a37d651ec1d7b2080c703b6ad7a9df675f4e1ac
/books/OL21169667M,DE,PROMISING,5,EDITORIAL_CORE,Kultur macht Sinn,Jörn Rüsen,9783412296056,2006,Böhlau,RECOVERED,TITLE_AUTHOR,/works/OL12988975W,Kultur macht Sinn: Orientierung zwischen Gestern und Morgen,Jörn Rüsen,/books/OL20097314M,Kultur macht Sinn: Orientierung zwischen Gestern und Morgen,ger,0.9600,1.0000,0.9600,13178325,336,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL21169667M__OL20097314M.jpeg,0ba484dd7769f3d31f6dab5d2bc488a59fb13dc4edb06d6483feda656479ea2e
/books/OL21829908M,DE,PROMISING,5,EDITORIAL_CORE,Deutsche Erzähler des 20 Jahrhunderts,Günther Fetzer (Herausgeber),9783453370173,1987,Heyne,RECOVERED,TITLE_ONLY,/works/OL28216554W,Deutsche Erzähler des 20. Jahrhunderts,Günther Fetzer,/books/OL38630406M,Deutsche Erzähler des 20. Jahrhunderts,ger,1.0000,0.9600,1.0000,12821269,309,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL21829908M__OL38630406M.jpeg,1c54e0358da50736aa43b318187c39fda85a38653f40a3c39f4cf2b41c55bf75
/books/OL22224117M,DE,PROMISING,5,EDITORIAL_CORE,Goethe erzahlt,Johann Wolfgang von Goethe,9783446187597,1996,Carl Hanser Verlag,RECOVERED,TITLE_AUTHOR,/works/OL14922175W,Goethe erzählt,Johann Wolfgang von Goethe,/books/OL12712545M,Goethe erzählt.,ger,1.0000,1.0000,1.0000,3199113,290,475,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL22224117M__OL12712545M.jpeg,f092e7bc67731305ec9284e9e73587c3a380c8fe0dcdd15fe31e5b1dd1ec7e07
