source_key,title,subtitle,language,isbn,publication_year,publisher,page_count,summary,work_key,cover_image_url,editorial_decision,editorial_reason,reconstruction_state,quality_score,quality_bucket,quality_strengths,quality_weaknesses,preservation_reason,cover_rescue_required,cover_rescue_priority,metadata_rescue_score
/books/OL12712906M,Die Luft an der Spitze des Pinsels. Kritische Spaziergänge durch Bildersäle.,,DE,9783446202283,2002,Hanser,,Reviews on various exhibitons published previously in the Süddeutsche Zeitung.,,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,1,9
/books/OL12811674M,Die Fälscherin,Roman,DE,9783546001946,2001,Claassen Verlag,,"Sofie Lenze sitzt in Untersuchungshaft. Der jungen Kunstrestauratorin wird vorgeworfen, die Bilder der italienischen Renaissancekünstlerin Sofonisba Anguissola gefälscht und teuer verkauft zu haben. Aber Sofie setzt Hauptkommissar Nagels scharfsinnigen Ermittlungen ihre eigene Wahrheit entgegen. Ihr Geheimnis: Sie verfügt nicht nur über die gesamten Erinnerungen aus Sofonisbas Leben, sondern auch die Gabe, sie zu malen. Aber wie soll Sofie Nagel begreiflich machen, dass Sofonisbas Leben sie in ihren Träumen einholt?",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,2,9
/books/OL12912149M,Pizzakrise,Ein Fall für die Katz 1,DE,9783785541814,2003,Loewe,,"Stellt euch vor, ihr habt vier Beine. Und wenn ihr sprecht, verstehen die anderen immer nur Miau. So geht es Ceska, ihres Zeichens Katze und Komissarin. Gut, dass Ceskas Freundin Andrea ihr mit Menschrat und Tat zur Seite steht. Denn der neueste Fall betrifft Ceska persönlich. Ihr Zuhause, die Pizzeria, ist in Gefahr! Jemand hat sich am Essen zu schaffen gemacht, und nun rückt das Gesundheitsamt an. Die Tigerkatze beginnt sofort mit den Ermittlungen. Dabei lernt sie ein Tier in der Tonne kennen, wird auf 100 km/h beschleunigt und findet ganz zum Schluss: Dieser Fall ist wirklich für die Katz!",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,3,9
/books/OL23069888M,Fuchs und Storch,eine Fabel von Aesop,DE,9783314012464,2003,Nord-Süd Verlag,,"When sly Fox invites hungry Stork to lunch but tricks her out of her portion, she devises a way to get the last laugh.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,4,9
/books/OL31887433M,Pandora im Kongo,Roman,DE,9783100616036,2007,S. Fischer,,"Hoping to free his client from a double homicide in 1914 London, Marcus Garvey's lawyer asks Tommy, a ghostwriter desperate for work, to document Marcus' horrific ordeal as the sole survivor of an ill-fated mining expedition.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,5,9
/books/OL40217587M,Mike und ich und Max Ernst,Eine ungewöhnliche Liebesgeschichte,DE,9783732010967,2018,Loewe,,"In einer hellen Mondnacht steht in der kleinen Wohnung über dem Museum plötzlich die Schöne Gärtnerin vor Lucinda und erzählt ihr, dass sie aus ihrem Bild gestiegen sei, um ihre verschollene Schwester zu suchen. Lucinda glaubt, sie träumt. Doch sie träumt nicht: und so machen sich die beiden auf eine abenteuerliche Suche quer durch Europa. Schon bald gesellt sich ein merkwürdiger blinder Junge namens Mike zu ihnen. Und noch jemand hat sich an ihre Fersen geheftet: eine seltsame Frau, die vor nichts zurückzuschrecken scheint, um vor ihnen am Ziel zu sein.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,6,9
/books/OL1031754M,I am Houston,,EN,9781882539055,1993,Colophon House,,"A biography of the famous general, politician, and friend of Indians. It follows his life in Tennessee and Washington, D.C. and details his adventures in shaping both the Republic and the state of Texas.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,7,9
/books/OL10391247M,Bedford Companion to Shakespeare 2e & Measure for Measure & Taming the Shrew & Merchant of Venice,,EN,9780312446116,2004,Bedford/St. Martin's,,Contains: Bedford Companion to Shakespeare 2e Measure for Measure Taming the Shrew Merchant of Venice,,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,8,9
/books/OL10391325M,Bedford Anthology of World Literature V1 & V2 & V3 & Hamlet,,EN,9780312447670,2005,Bedford/St. Martin's,,Contains: Bedford Anthology of World Literature [Hamlet](https://openlibrary.org/works/OL15203981W/Hamlet),,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,9,9
/books/OL12772941M,Matchmaking in Electronic Markets,An Agent-Based Approach towards Matchmaking in Electronic Negotiations (Lecture Notes in Computer Science),EN,9783540205005,2004,Springer,,"Electronic negotiations concern transactions on the basis of electronic media, such as the Internet. Platforms have been developed to aid participants in electronic markets during the agreement phase. The key activity in this is the matching of offers and requests, for which we need a ranking of the alternatives. In this book the author defines a framework in which a ranking can be generated in order to acquire an optimal decision for a desired transaction - this process is called matchmaking. The author introduces a generic framework for multidimensional, multiattribute matchmaking, its implementation, and an analysis of it. The genericity of the author’s approach means that the implementation, realized as a multiagent system, can represent both offering and requesting agents, and the framework can be applied to a huge variety of applications. The use cases in the book are derived from the human resources domain, and thus involve quite complex matchmaking. The author’s presentation is thorough and self-contained. He provides definitions of the relevant business and computer science terms, and detailed explanations of the underlying mathematical tools and software implementations.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,10,9
/books/OL12774686M,Practical Aspects of Declarative Languages,"Third International Symposium, PADL 2001 Las Vegas, Nevada, March 11-12, 2001 Proceedings (Lecture Notes in Computer Science)",EN,9783540417682,2001,Springer,,"The International Symposium on Practical Aspects of Declarative Languages (PADL)focusesonpracticalapplicationsofdeclarativelanguages. Thecollection ofpapersinthisvolumewaspresentedatPADL2001. Thesymposiumwasheld inLasVegas,Nevada,March11–12,2001. Fortypapersweresubmittedinresponsetothecallforpapers. Twenty-three paperswere?nallyselectedforpresentationatthesymposium. Thesymposium includedinvitedtalksbyJoeArmstrongofBluetail,RaghuRamakrishnanfrom theUniversityofWisconsinatMadison,andDavidS. Warrenfromthe State UniversityofNewYorkatStonyBrook. ThesymposiumwassponsoredandorganizedbyCOMPULOGAMERICAS (http://www. cs. nmsu. edu/~complog),anetworkofresearchgroupsdedicated topromotingresearchinlogicprogrammingandrelatedareas,bytheAssoc- tionforLogicProgramming(http://www. cwi. nl/projects/alp),theDepa- mentofComputerScience,UniversityofTexasatDallasandtheDepartment ofComputerScienceattheStateUniversityofNewYorkatStonyBrook.^ The supportofmanyindividualswascrucialtothesuccessofthissymposium. My thankstoGiridharPemmasani,SamikBasu,DivyangiAnchan,ShachiPoddar, and Shabbir Dahodwala for their help with organizing and managing the - viewingprocess. SpecialthankstoR. C. Sekarforsettingupandmanagingthe PADL2001 web site and to Gopal Gupta for handling all the organizational details. Manythankstotheprogramcommitteemembersforalltheirhelpin- viewingandtheiradvice. Finally,mythankstoalltheauthorswhotookinterest inPADL2001andsubmittedpapers. January2001 I. V. Ramakrishnan ProgramChair ProgramCommittee S. Antoy PortlandStateUniv. S. Debray Univ. ofArizona M. Fromherz XeroxPARC C. Geyer FederalUniversityofRioGrandedoSul,Brazil B. Goldberg NYU N. Heintze BellLabs,LucentTechnologies S. Krishnamurthi BrownUniversity L. Maranget INRIARocquencourt E. Meijer UtrechtUniversity G. Morrisett CornellUniversity U. Nilsson LinkopingUniversity C. Palamidessi PennStateUniv. E. Pontelli NewMexicoStateUniv. I. V.^ Ramakrishnan(PCChair) SUNYStonyBrook D. Sands ChalmersUniversityofTechnology R. Sekar SUNYStonyBrook D. Srivastava AT&TLabsResearch T. Swift SUNYStonyBrook K. Ueda WasedaUniversity R. Yap NationalUniversityofSingapore N-F. Zhou CUNYBrooklynCollegeandGraduateCenter Referees S. Antoy S. Krishnamurthi C. R. Ramakrishnan S. Debray L. Maranget D. Sands Frank G. Morrisett R. Sekar M. Fromherz K. NarayanKumar D. Srivastava C. Geyer U. Nilsson P. Swift B. Goldberg C. Palamidessi K. Ueda N. Heintze G. Pemmasani R. Yap O. Kaser E. Pontelli N-F. Zhou SponsoringInstitutions COMPULOGAMERICAS, http://www. cs. nmsu. edu/~complog AssociationforLogicProgramming, http://www. cwi. nl/projects/alp TableofContents AModelCheckerforValue-PassingMu-CalculusUsingLogic Programming. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 C. R. Ramakrishnan DesignandImplementationoftheHigh-LevelSpeci?cationLanguage CSP(LP)inProlog. . . . . . . . . . . . . . . .^ . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14 M. Leuschel Frapp´e:FunctionalReactiveProgramminginJava . . . . . . . . . . . . . . . . . . . . . 29 A. Courtney FromSubjectDirectoriestoSubjectMeta-directoriesviaDeclarative Programming. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 45 A. BrogiandG. Caruso ProgrammingGoal-DrivenWebSitesUsinganAgentLogicLanguage . . . . 60 M. Baldoni,C. Baroglio,A. Chiarotto,andV. Patti High-LevelServerSideWebScriptinginCurry . . . . . . . . . . . . . . . . . . . . . . . . 76 M. Hanus LogicProgrammingTechniquesforDynamicVRMLWebContent Generation. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 93 A. GuptaandP. Tarau SoftConstraintsforSecurityProtocolAnalysis:Con?dentiality. . . . . . . . . .",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,11,9
