source_key,language,quality_bucket,quality_score,preservation_reason,original_title,original_authors,original_isbn,original_publication_year,original_publisher,rescue_state,candidate_count,error
/books/OL1167532M,DE,PROMISING,5,EDITORIAL_CORE,Lob der Oberflächlichkeit,Vilém Flusser,9783927901360,1993,Bollmann,NO_MATCHING_EDITION,0,
/books/OL12644473M,DE,PROMISING,5,EDITORIAL_CORE,Zur Beschreibung und Klassifizierung von Ubersetzungsverfahren (Travaux du Centre de traduction literaire),Kathe Henschelmann,9782883570177,1993,Institut fur Ubersetzen und Dolmetschen der Universitat Heidelberg,NO_MATCHING_EDITION,0,
/books/OL12659365M,DE,PROMISING,5,EDITORIAL_CORE,Natchez. Das Sonnenkönigstum am Mississippi.,Helmut von Papen,9783000098772,2002,Edition Vogelsang,NO_MATCHING_EDITION,0,
/books/OL12659775M,DE,PROMISING,5,EDITORIAL_CORE,Totengräber der Demokratie.,Marianne Leemann,9783034005715,2003,"Chronos Verlag, Zürich",NO_MATCHING_EDITION,0,
/books/OL12659783M,DE,PROMISING,5,EDITORIAL_CORE,"Veröffentlichungen der Unabhängigen Expertenkommission Schweiz (UEK) - Zweiter Weltkrieg; Publications de la Commission, Bd.2, Interhandel",Mario König,9783034006026,2001,Gva & Frieden,NO_MATCHING_EDITION,0,
/books/OL12660133M,DE,PROMISING,5,EDITORIAL_CORE,Klezmer,Georg Winkler,9783039101269,2004,Peter Lang Publishing,NO_MATCHING_EDITION,0,
/books/OL12660135M,DE,PROMISING,5,EDITORIAL_CORE,Poetische Gartner Und Phaetonische Himmelsflieger,Marc Spani,9783039101283,2004,Peter Lang Publishing,NO_MATCHING_EDITION,0,
/books/OL12660163M,DE,PROMISING,5,EDITORIAL_CORE,Der St. Galler Botanicus Ein Fr¨ Hmittelalterliches Herbar,Monica Niederer,9783039101955,2005,Peter Lang Publishing,NO_MATCHING_EDITION,0,
/books/OL12660169M,DE,PROMISING,5,EDITORIAL_CORE,Basler Missionare In Brasilien,Marlon Ronald Fluck,9783039102051,2004,Peter Lang Publishing,NO_MATCHING_EDITION,0,
/books/OL12660194M,DE,PROMISING,5,EDITORIAL_CORE,Die Literarische Identitat Des Drehbuchs,Birgit Schmid,9783039102464,2004,Peter Lang Publishing,NO_MATCHING_EDITION,0,
/books/OL12660259M,DE,PROMISING,5,EDITORIAL_CORE,Das Kunstlerinterview,Christoph Lichtin,9783039103461,2004,Peter Lang Publishing,NO_MATCHING_EDITION,0,
/books/OL12660316M,DE,PROMISING,5,EDITORIAL_CORE,Das Denken Der Hand,Kai Eikels,9783039104352,2004,Peter Lang Publishing,NO_MATCHING_EDITION,0,
/books/OL12660320M,DE,PROMISING,5,EDITORIAL_CORE,Spiegel Des Neuen,Nikolaus Urbanek,9783039104451,2005,Peter Lang Publishing,NO_MATCHING_EDITION,0,
