source_key,language,quality_bucket,quality_score,original_title,original_authors,work_key,work_title,work_authors,work_title_score,work_author_score,edition_key,edition_title,edition_languages,edition_title_score,isbn,isbn_exact,cover_id,cover_width,cover_height,cover_format,cover_local_path,cover_sha256
/books/OL10283441M,EN,PROMISING,5,Medieval Philosophy & Theology (1993),Norman Kretzmann | Mark D. Jordan,/works/OL19310398W,Mediaeval Philosophy and Theology,Norman Kretzmann | Mark D. Jordan,0.8485,1.0000,/books/OL10283440M,Medieval Philosophy and Theology,eng,0.8615,9780268014049,NO,13195710,350,500,JPEG,data/cache/final-master-cover-rescue-v2/covers/_books_OL10283441M__OL10283440M.jpeg,e16a38012c5fad467d7e894cbed02b67dcf8b680a908ea3d49d7685a6825e3c9
/books/OL20421074M,EN,PROMISING,5,Jacques-Emile Ruhlmann,Emmanuel Bréon,/works/OL8974958W,Jacques-Emile Ruhlmann,Emmanuel Breon,1.0000,1.0000,/books/OL8841285M,Jacques-Emile Ruhlmann,eng,1.0000,9782080304322,YES,970757,410,500,JPEG,data/cache/final-master-cover-rescue-v2/covers/_books_OL20421074M__OL8841285M.jpeg,fb6f3e034ed09ab5091f2bbcae1c0b7dc7c7e5b501a796f6edb72b110a12ece2
/books/OL7289127M,EN,STRONG,7,Christmas at Stony Creek,Stephanie Greene,/works/OL102452W,Christmas at Stony Creek,Stephanie Greene,1.0000,1.0000,/books/OL24262557M,Christmas at Stony Creek,eng,1.0000,9780061957284,NO,6410928,375,500,JPEG,data/cache/final-master-cover-rescue-v2/covers/_books_OL7289127M__OL24262557M.jpeg,1c5ca8ec2d18662049545660c7ac62e6708cf9f7a9462bc19fe647c19b4e6d43
/books/OL8242448M,EN,STRONG,7,Live Girls,Ray Garton,/works/OL1000427W,Live Girls,Ray Garton,1.0000,1.0000,/books/OL15125908M,Live girls.,eng,1.0000,0708882390,NO,13480067,333,500,JPEG,data/cache/final-master-cover-rescue-v2/covers/_books_OL8242448M__OL15125908M.jpeg,728a5c5decc9c12a2a0fbed0d737af8cd1c60f22b2fb1a23b5aa4f60cbf37ce8
/books/OL10084941M,FR,PROMISING,5,Intrigue,Elizabeth Blood | Yasmina Mobarek,/works/OL6034228W,Intrigue,Elizabeth Blood | Elizabeth A. Blood | Yasmina Mobarek,1.0000,1.0000,/books/OL3685671M,Intrigue,fre,1.0000,0130618586,NO,83840,380,475,JPEG,data/cache/final-master-cover-rescue-v2/covers/_books_OL10084941M__OL3685671M.jpeg,fa32ef204bc9ff6daf1cc579b60df2917e62afafea27a293995a582f12068a91
/books/OL1163673M,FR,STRONG,7,Les Bijoux de la Castafiore,Hergé,/works/OL151055W,Les Bijoux de la Castafiore,Hergé,1.0000,1.0000,/books/OL8863702M,Les Bijoux de la Castafiore (Tintin),fre,0.9600,9782203001206,YES,972937,345,475,JPEG,data/cache/final-master-cover-rescue-v2/covers/_books_OL1163673M__OL8863702M.jpeg,20a8c3ac99a0f11087cf6a4a2dbd43ad2fd27a0d87eb6f5d07398f51d2623f2e
/books/OL21798548M,FR,PROMISING,5,Emily L.,Marguerite Duras,/works/OL159515W,Emily L,Marguerite Duras,1.0000,1.0000,/books/OL2073377M,Emily L,fre,1.0000,2707311421,NO,12365170,354,500,JPEG,data/cache/final-master-cover-rescue-v2/covers/_books_OL21798548M__OL2073377M.jpeg,b3c5fbe4a64b9010949342327b2df9e140d24ebea67b816e3b0504f59b4005ae
/books/OL22087573M,FR,PROMISING,5,La Douleur,Marguerite Duras,/works/OL159482W,La douleur,Marguerite Duras,1.0000,1.0000,/books/OL2625796M,La douleur,fre,1.0000,2867440424,NO,991328,317,475,JPEG,data/cache/final-master-cover-rescue-v2/covers/_books_OL22087573M__OL2625796M.jpeg,60502e67547d4059e367001df69713b8c492787caced01b48330690c43d9b799
/books/OL22497518M,FR,PROMISING,5,Oscar Niemeyer,Mauro Cavalcanti | Julia Peyton-Jones | Oscar Niemeyer,/works/OL1007015W,Oscar Niemeyer,Oscar Niemeyer | Mauro Cavalcanti | Julia Peyton-Jones,1.0000,1.0000,/books/OL22497518M,Oscar Niemeyer,fre,1.0000,2843233267,NO,13211059,350,500,JPEG,data/cache/final-master-cover-rescue-v2/covers/_books_OL22497518M__OL22497518M.jpeg,f20f96cb85bb12cb44397b06690b65dd245252c6df227a157fdf957f35894bec
/books/OL22591661M,FR,PROMISING,5,La bottine magique de Pipo,Rémy Simard,/works/OL8817284W,La bottine magique de Pipo,Remy Simard,1.0000,1.0000,/books/OL11988965M,La bottine magique de Pipo,fre,1.0000,9781550374124,YES,2902458,387,500,JPEG,data/cache/final-master-cover-rescue-v2/covers/_books_OL22591661M__OL11988965M.jpeg,2098e6bc0278eeb9f18cdf9d1d6a27f22b64c13619d181cdf9e6cc8684094653
