source_key,language,quality_bucket,quality_score,original_title,original_authors,rescue_state
/books/OL1167532M,DE,PROMISING,5,Lob der Oberflächlichkeit,Vilém Flusser,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12644473M,DE,PROMISING,5,Zur Beschreibung und Klassifizierung von Ubersetzungsverfahren (Travaux du Centre de traduction literaire),Kathe Henschelmann,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12659365M,DE,PROMISING,5,Natchez. Das Sonnenkönigstum am Mississippi.,Helmut von Papen,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12659775M,DE,PROMISING,5,Totengräber der Demokratie.,Marianne Leemann,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12659783M,DE,PROMISING,5,"Veröffentlichungen der Unabhängigen Expertenkommission Schweiz (UEK) - Zweiter Weltkrieg; Publications de la Commission, Bd.2, Interhandel",Mario König,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660133M,DE,PROMISING,5,Klezmer,Georg Winkler,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660135M,DE,PROMISING,5,Poetische Gartner Und Phaetonische Himmelsflieger,Marc Spani,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660163M,DE,PROMISING,5,Der St. Galler Botanicus Ein Fr¨ Hmittelalterliches Herbar,Monica Niederer,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660169M,DE,PROMISING,5,Basler Missionare In Brasilien,Marlon Ronald Fluck,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660194M,DE,PROMISING,5,Die Literarische Identitat Des Drehbuchs,Birgit Schmid,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660259M,DE,PROMISING,5,Das Kunstlerinterview,Christoph Lichtin,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660316M,DE,PROMISING,5,Das Denken Der Hand,Kai Eikels,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660320M,DE,PROMISING,5,Spiegel Des Neuen,Nikolaus Urbanek,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660340M,DE,PROMISING,5,Sehnsucht Nach Illusion?,Simone MC,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660426M,DE,PROMISING,5,Guan Ren,Matthias Richter,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660436M,DE,PROMISING,5,"Polyphones Erzahlen: Zum Phanomen Der Erlebten Rede in Deutschen Romanen Der Jahrhundertwende (Europaische Hochschulschriften: Reihe 1, Deutsche Sprache Un)",Lucia Salvato,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660448M,DE,PROMISING,5,Ein Kunstwerk Im Dienst Der Republik,Karin Fuchs,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660497M,DE,PROMISING,5,Wie Kinder Witze Erzahlen,Stefan Hauser,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660505M,DE,PROMISING,5,Vom Kulturlosen Volk Zur Europaischen Avantgarde,Erwin Kostler,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660710M,DE,PROMISING,5,Rechtslehre - Schriften Zur Rechtsphilosophie (Philosophiehistorische Texte),I. Kant,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660821M,DE,PROMISING,5,"August Der Starke (Sitzungsberichte Der Saechsischen Akademie Der Wissenschaften Zu Leipzig, Phil.-hist. Klasse)",K. Czok,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660829M,DE,PROMISING,5,Gottfried Wilhelm Leibniz Im Philosophischen Diskurs Ueber Geometrie Und Erfahrung,H. Hecht,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660941M,DE,PROMISING,5,"Das Sorbische Und Der Stand Seiner Erforschung (Sitzungsberichte Der Saechsischen Akademie Der Wissenschaften Zu Leipzig, Phil.-hist. Klasse)",H. Schuster-Sewc,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660959M,DE,PROMISING,5,Der Semantische Wertbegriff in Sprachtheorien Vom 18. Bis Zum 20. Jahrhundert,G. Hassler,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12660982M,DE,PROMISING,5,Der Gehalt Der Sprachform,Janette Friedrich,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12661092M,DE,PROMISING,5,Sowjetische Forschungen (1917 Bis 1991) Zur Geschichte Der Deutsch-Russischen Beziehungen Von Den Anfaengen Bis 1949 (Publikationen Der Historischen Kommission Zu Berlin),Karin Borck,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12661129M,DE,PROMISING,5,"Medizin, Effizienz Und Oekonomie Im Griechischen Denken Der Klassischen Zeit (Sitzungsberichte Der Saechsischen Akademie Der Wissenschaften Zu Liepzig, Philologisch-historische Klasse)",Carl Werner Mueller,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12661260M,DE,PROMISING,5,"Kommentar Zu ""De Revolutionibus""",Schmeidler,NO_MATCHING_WORK
/books/OL12661355M,DE,PROMISING,5,Aby Warburgs Theorie der Kultur. Detail und Sinnhorizont.,Bernd Villhauer,NO_VALID_PHYSICAL_COVER
/books/OL12661537M,DE,PROMISING,5,"Lichtmikroskopie (Sitzungsberichte Der Saechsischen Akademie Der Wissenschaften Zu Leipzig, Math.-naturwiss. Klasse)",Bernd Wilhelmi,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12661567M,DE,PROMISING,5,Mathematik Und Wirklichkeit,Ulrich Roeseberg,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12662715M,DE,PROMISING,5,Die deutsche Sparkassenorganisation 1924 bis 1934 (Sparkassen in der Geschichte),Jens Piorkowski,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12663500M,DE,PROMISING,5,Handbuch Der Germanischen Philologie,Friedrich Stroh,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12663687M,DE,PROMISING,5,Grundlagen Einer Theorie Der Wahrheit (Foundations of Communication),Lorenz Bruno Puntel,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12663779M,DE,PROMISING,5,"Die Politische Und Soziale Bedeutung Der Naqsbandiyya in Mittelasien Im 15. Jahrhundert (Studien Zur Sprache, Geschichte Und Kultur Des Islamischen Orients, Nf)",Jurgen Paul,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12664815M,DE,PROMISING,5,Theodori Scutariotae Chronica,Raimondo Tocci,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12665878M,DE,PROMISING,5,Literarische Kreativität,Norbert Kellner,NO_LANGUAGE_EDITION_WITH_COVER
/books/OL12674906M,DE,PROMISING,5,Bartholomäus Zeitblom,Dietlinde Bosch,NO_LANGUAGE_EDITION_WITH_COVER
