source_key,language,original_title,original_authors,work_candidates,works_with_editions,edition_records_examined,matching_editions,cover_candidates
/books/OL1167532M,DE,Lob der Oberflächlichkeit,Vilém Flusser,1,1,1,0,0
/books/OL12644473M,DE,Zur Beschreibung und Klassifizierung von Ubersetzungsverfahren (Travaux du Centre de traduction literaire),Kathe Henschelmann,1,1,1,0,0
/books/OL12659365M,DE,Natchez. Das Sonnenkönigstum am Mississippi.,Helmut von Papen,1,1,1,0,0
/books/OL12659775M,DE,Totengräber der Demokratie.,Marianne Leemann,1,1,2,0,0
/books/OL12659783M,DE,"Veröffentlichungen der Unabhängigen Expertenkommission Schweiz (UEK) - Zweiter Weltkrieg; Publications de la Commission, Bd.2, Interhandel",Mario König,1,1,1,0,0
/books/OL12660133M,DE,Klezmer,Georg Winkler,1,1,1,0,0
/books/OL12660135M,DE,Poetische Gartner Und Phaetonische Himmelsflieger,Marc Spani,1,1,1,0,0
/books/OL12660163M,DE,Der St. Galler Botanicus Ein Fr¨ Hmittelalterliches Herbar,Monica Niederer,1,1,1,0,0
/books/OL12660169M,DE,Basler Missionare In Brasilien,Marlon Ronald Fluck,1,1,1,0,0
/books/OL12660194M,DE,Die Literarische Identitat Des Drehbuchs,Birgit Schmid,1,1,1,0,0
/books/OL12660259M,DE,Das Kunstlerinterview,Christoph Lichtin,1,1,1,0,0
/books/OL12660316M,DE,Das Denken Der Hand,Kai Eikels,1,1,1,0,0
/books/OL12660320M,DE,Spiegel Des Neuen,Nikolaus Urbanek,1,1,1,0,0
/books/OL12660340M,DE,Sehnsucht Nach Illusion?,Simone MC,1,1,1,0,0
/books/OL12660426M,DE,Guan Ren,Matthias Richter,1,1,1,0,0
/books/OL12660436M,DE,"Polyphones Erzahlen: Zum Phanomen Der Erlebten Rede in Deutschen Romanen Der Jahrhundertwende (Europaische Hochschulschriften: Reihe 1, Deutsche Sprache Un)",Lucia Salvato,1,1,1,0,0
/books/OL12660448M,DE,Ein Kunstwerk Im Dienst Der Republik,Karin Fuchs,1,1,1,0,0
/books/OL12660497M,DE,Wie Kinder Witze Erzahlen,Stefan Hauser,1,1,1,0,0
/books/OL12660505M,DE,Vom Kulturlosen Volk Zur Europaischen Avantgarde,Erwin Kostler,2,2,2,0,0
/books/OL12660710M,DE,Rechtslehre - Schriften Zur Rechtsphilosophie (Philosophiehistorische Texte),I. Kant,1,1,1,0,0
/books/OL12660821M,DE,"August Der Starke (Sitzungsberichte Der Saechsischen Akademie Der Wissenschaften Zu Leipzig, Phil.-hist. Klasse)",K. Czok,1,1,1,0,0
/books/OL12660829M,DE,Gottfried Wilhelm Leibniz Im Philosophischen Diskurs Ueber Geometrie Und Erfahrung,H. Hecht,1,1,2,0,0
/books/OL12660941M,DE,"Das Sorbische Und Der Stand Seiner Erforschung (Sitzungsberichte Der Saechsischen Akademie Der Wissenschaften Zu Leipzig, Phil.-hist. Klasse)",H. Schuster-Sewc,1,1,1,0,0
/books/OL12660959M,DE,Der Semantische Wertbegriff in Sprachtheorien Vom 18. Bis Zum 20. Jahrhundert,G. Hassler,1,1,1,0,0
/books/OL12660982M,DE,Der Gehalt Der Sprachform,Janette Friedrich,1,1,2,0,0
/books/OL12661092M,DE,Sowjetische Forschungen (1917 Bis 1991) Zur Geschichte Der Deutsch-Russischen Beziehungen Von Den Anfaengen Bis 1949 (Publikationen Der Historischen Kommission Zu Berlin),Karin Borck,1,1,1,0,0
/books/OL12661129M,DE,"Medizin, Effizienz Und Oekonomie Im Griechischen Denken Der Klassischen Zeit (Sitzungsberichte Der Saechsischen Akademie Der Wissenschaften Zu Liepzig, Philologisch-historische Klasse)",Carl Werner Mueller,1,1,1,0,0
/books/OL12661260M,DE,"Kommentar Zu ""De Revolutionibus""",Schmeidler,0,0,0,0,0
/books/OL12661355M,DE,Aby Warburgs Theorie der Kultur. Detail und Sinnhorizont.,Bernd Villhauer,2,2,3,1,1
/books/OL12661537M,DE,"Lichtmikroskopie (Sitzungsberichte Der Saechsischen Akademie Der Wissenschaften Zu Leipzig, Math.-naturwiss. Klasse)",Bernd Wilhelmi,1,1,1,0,0
/books/OL12661567M,DE,Mathematik Und Wirklichkeit,Ulrich Roeseberg,1,1,1,0,0
/books/OL12662715M,DE,Die deutsche Sparkassenorganisation 1924 bis 1934 (Sparkassen in der Geschichte),Jens Piorkowski,1,1,1,0,0
/books/OL12663500M,DE,Handbuch Der Germanischen Philologie,Friedrich Stroh,1,1,4,0,0
/books/OL12663687M,DE,Grundlagen Einer Theorie Der Wahrheit (Foundations of Communication),Lorenz Bruno Puntel,1,1,1,0,0
/books/OL12663779M,DE,"Die Politische Und Soziale Bedeutung Der Naqsbandiyya in Mittelasien Im 15. Jahrhundert (Studien Zur Sprache, Geschichte Und Kultur Des Islamischen Orients, Nf)",Jurgen Paul,1,1,1,0,0
/books/OL12664815M,DE,Theodori Scutariotae Chronica,Raimondo Tocci,1,1,1,0,0
/books/OL12665878M,DE,Literarische Kreativität,Norbert Kellner,1,1,1,0,0
/books/OL12674906M,DE,Bartholomäus Zeitblom,Dietlinde Bosch,1,1,1,0,0
/books/OL12674914M,DE,Geschichte im Fragment. Grundelemente einer Theologie der Geschichte.,Karl F. Grimmer,1,1,1,0,0
/books/OL12675207M,DE,Durchbruch der Tiefenphänomenologie. Die Neue Vorsokratik.,Jose Sanchez de Murillo,2,2,3,0,0
/books/OL12678459M,DE,Psychologie und Kunst,Wolfgang Tunner,1,1,1,0,0
/books/OL12679270M,DE,Mit Leier und Schwert. Die Habsburger und die Musik.,Elisabeth Theresia Hilscher,1,1,1,0,0
/books/OL12680579M,DE,Toleranz ohne Grenzen? Globale Realitäten und die politische Kultur der Schweiz.,Katja Gentinetta,1,1,1,1,1
/books/OL12684251M,DE,Geschichten aus dem Bett.,Andre Herzberg,1,1,1,0,0
/books/OL12686919M,DE,Alkidamas,Ruth Mariß,3,3,3,0,0
/books/OL12686921M,DE,Der Dom von Münster in alten Ansichten.,Geza Jaszai,1,1,1,0,0
/books/OL12687077M,DE,"Pädagogisches Handeln bei Hugo Gaudig, Maria Montessori und Peter Petersen.",Leopold Kratochwil,1,1,1,0,0
/books/OL12689246M,DE,Beethoven. Leben und Werk des großen Komponisten. ( Biographie).,Felix Huch,1,1,1,1,1
/books/OL12691522M,DE,Staat als Argument.,Christoph Möllers,2,2,2,1,1
/books/OL12691899M,DE,'Nieder mit den schwarzen Paragrafenhengsten!',Erich Dittmann,1,1,2,0,0
/books/OL12696718M,DE,SCHAUFENSTER KUNST; BERLIN UND NEW YORK,Nina Schleif,1,1,1,0,0
/books/OL12696728M,DE,Geschichtsbegriff und Historisches Denken bei Hannah Arendt.,Annette Vowinckel,1,1,2,0,0
/books/OL12696767M,DE,Geschichte im Kulturprozess.,Jörn Rüsen,2,2,2,1,1
/books/OL12696778M,DE,Die Bürgerbewegung in Dresden 1989/90.,Karin Urich,1,1,1,0,0
/books/OL12696801M,DE,"Bildung, Militär und Gesellschaft in Deutschland. Studien zur Entwicklung im 19. Jahrhundert.",Heinz Stübig,1,1,1,0,0
/books/OL12696813M,DE,Historische Orientierung.,Jörn Rüsen,1,1,1,0,0
/books/OL12696854M,DE,Berufsausbildung im Grossherzogum Baden,Robert Hasfeld,1,1,1,0,0
/books/OL12698756M,DE,Künstlerwanderungen nach Berlin. Vor Schinkel und danach.,Helmut Börsch-Supan,1,1,1,0,0
/books/OL12698758M,DE,Genealogie als Monument und Argument,Kilian Heck,1,1,1,0,0
/books/OL12698759M,DE,Lucas Cranach d. Ä. und der deutsche Humanismus,Edgar Bierende,2,2,2,1,1
