language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason
FR,CONTEMPORARY,Guillaume Musso,2,18,26,/works/OL19730401W,Un appartement à Paris,Guillaume Musso,1.0000,2017,/books/OL43520166M,Un appartement à Paris,,fre,1.0000,9782298128277,,2017,,15048600,VALID_COVER,335,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL43520166M.jpeg,NO,NO,142.0000,176.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,CONTEMPORARY,Olivier Adam,2,14,20,/works/OL20924540W,Des vents contraires,Olivier Adam,1.0000,2008,/books/OL28349395M,Des vents contraires,,fre,1.0000,,l'Olivier,2009,,10297242,VALID_COVER,192,270,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL28349395M.jpeg,NO,NO,141.0000,174.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,CONTEMPORARY,Olivier Adam,2,14,20,/works/OL20024465W,La renverse,Olivier Adam,1.0000,2016,/books/OL27204515M,La renverse,roman,fre,1.0000,9782081375956,,2016,,12938614,VALID_COVER,318,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL27204515M.jpeg,NO,NO,142.0000,176.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,CONTEMPORARY,Olivier Adam,2,14,20,/works/OL19962913W,Les lisières,Olivier Adam,1.0000,2012,/books/OL27143139M,Les lisières,roman,fre,1.0000,9782081283749,,2012,,11669606,VALID_COVER,309,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL27143139M.jpeg,NO,NO,142.0000,176.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,CONTEMPORARY,Véronique Ovaldé,2,10,15,/works/OL25365847W,Ce que je sais de Vera Candida,Véronique Ovaldé,1.0000,2011,/books/OL25972269M,Ce Que Je Sais De Vera Candida Roman,,fre,0.9600,9782290022054,J'Ai Lu,2011,,7486763,VALID_COVER,239,400,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL25972269M.jpeg,NO,NO,146.2000,184.2000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,CONTEMPORARY,Véronique Ovaldé,2,10,15,/works/OL20880235W,Déloger l'animal,Véronique Ovaldé,1.0000,2005,/books/OL28277694M,Déloger l'animal,roman,fre,1.0000,9782286016388,Le Grand livre du mois,2005,,10204400,VALID_COVER,251,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL28277694M.jpeg,NO,NO,147.0000,185.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,CONTEMPORARY,Véronique Ovaldé,2,10,15,/works/OL5882053W,Déloger l'animal,Véronique Ovaldé,1.0000,2005,/books/OL3468505M,Déloger l'animal,roman,fre,1.0000,2742756337,Actes sud,2005,,2169619,VALID_COVER,240,475,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL3468505M.jpeg,NO,NO,147.0000,185.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,CONTEMPORARY,Véronique Ovaldé,2,10,15,/works/OL16489241W,Des vies d'oiseaux,Véronique Ovaldé,1.0000,2011,/books/OL25189230M,Des vies d'oiseaux,,fre,1.0000,9782879298276,Olivier,2011,,11430372,VALID_COVER,331,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL25189230M.jpeg,NO,NO,147.0000,185.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,CONTEMPORARY,Véronique Ovaldé,2,10,15,/works/OL5882054W,Et mon cœur transparent,Véronique Ovaldé,1.0000,2008,/books/OL16866142M,Et mon cœur transparent,,fre,1.0000,9782879295992,Olivier,2008,,11451096,VALID_COVER,333,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL16866142M.jpeg,NO,NO,147.0000,185.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,CONTEMPORARY,Véronique Ovaldé,2,10,15,/works/OL23134822W,La grâce des brigands,Véronique Ovaldé,1.0000,2013,/books/OL30974590M,La grâce des brigands,,fre,1.0000,9782823602357,Olivier,2013,,10594873,VALID_COVER,332,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL30974590M.jpeg,NO,NO,147.0000,185.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,CONTEMPORARY,Véronique Ovaldé,2,10,15,/works/OL9023724W,Toutes choses scintillant,Véronique Ovaldé,1.0000,2002,/books/OL8944008M,Toutes choses scintillant,,fre,1.0000,9782848040134,L' Ampoule,"August 16, 2002",,2175532,VALID_COVER,352,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL8944008M.jpeg,NO,NO,147.0000,185.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
FR,ESSAYS_PHILOSOPHY,Roland Barthes,1,14,20,/works/OL1375008W,Le Neutre,Roland Barthes,1.0000,2002,/books/OL12387906M,Le Neutre,Cours au collège de France (1977-1978),fre,1.0000,9782020478441,Seuil,"October 22, 2002",,3071313,VALID_COVER,330,475,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL12387906M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,FR_FAST_V2_VALIDATED_RESERVE
