source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL8942462M,"Un jour, les dieux se retirent...",,Jean-Luc Nancy,1,9782841031078,2001,William Blake & Co.,Philosophie,0,,
/books/OL29217210M,Fernand Seguin,le savant imaginaire,Jean-Marc Carpentier,1,9782894301357,1994,Édition du Club Québec loisirs,Biographie,0,,
/books/OL6864673M,Approches du discours comique,,Jean-Marc Defays | Laurence Rosier,2,9782870097014,1999,Mardaga,,0,,
/books/OL16361073M,Recherche scientifique et crise de la rationalité,,Jean-Marc Ela,1,9782296027053,2007,Harmattan,Philosophie | Sciences,0,,
/books/OL27068213M,La création d'un univers de fiction,,Jean-Marc Lainé,1,9782212120769,2007,Eyrolles,,0,,
/books/OL19197996M,ADQ: à droite toute!: le programme de l'ADQ expliqué,,Jean-Marc Piotte,1,9782894286326,2003,Hurtubise Hmh,Politique,0,,
/books/OL12630997M,"Philibert de l'Orme, architecte du roi 1514-1570",,Jean-Marie Perouse de Montclos,1,9782856204085,2000,Mengès,Histoire,0,,
/books/OL12646126M,Des Pianos Qui S'Envolent,,Jean-Marie Poupart,1,9782890211735,2003,La Courte Echelle,,0,,
/books/OL12646271M,Les Mots Font LA Greve,,Jean-Marie Poupart,1,9782890213708,1999,La Courte Echelle,,0,,
/books/OL19014457M,La scène et la fabrique des corps,ethnoscénologie du spectacle vivant en Occident : (Ve siècle av.J.-C.-XVIIIe siècle),Jean-Marie Pradier,1,9782867812095,1997,Presses universitaires de Bordeaux,Histoire,0,,
/books/OL12807001M,LA Parole Aux Africaines Ou L'Idee De Pouvoir Chez Les Romancieres D'Expression Francaise De L'Afrique Sub-Saharienne,,Jean-Marie Volet,1,9789051835373,1993,Editions Rodopi,,0,,
/books/OL22967733M,Napoléon,l'empire c'est moi,Jean-Michel Dequeker-Fergon,1,9782070507351,1997,Gallimard jeunesse,Histoire | Jeunesse,0,,
/books/OL21610008M,Secrets de guerre,,Jean-Michel Lienhardt,1,9782894289488,2006,Hurtubise HMH,,0,,
/books/OL25617856M,Entre la plèbe et l'élite,Les ambitions contraires de la bande dessinée,Jean-Noël Lafargue,1,9782911220425,2012,Atelier Perrousseaux,,0,,
/books/OL26313117M,Internet,Au delà du virtuel,Jean-Noël Lafargue | Mathieu Burniat,2,9782803637430,2017,Le Lombard,,0,,
/books/OL12629865M,La Charîa et l'Occident,,Jean-Paul Charnay,1,9782851978189,2001,L'Herne,Politique,0,,
/books/OL12627617M,Le royaume de soissons,,Jean-Pierre Boizette,1,9782848250090,2002,France Europe,Fiction | Histoire,0,,
/books/OL16609482M,Allons enfants de la Belgique,les 16-35 ans : mai-août 1940,Jean-Pierre Du Ry,1,9782873860332,1995,Racine,Histoire,0,,
/books/OL73079M,Paroles de poilus,lettres de la Grande Guerre,Jean-Pierre Guéno,1,9782235021975,1998,Historia,,0,,
/books/OL3233097M,Big bang,,Jean-Pierre Petit,1,9782701103907,1982,Editions Belin,Jeunesse,0,,
/books/OL14789931M,Entretiens avec Jean-Pierre Ronfard,,Jean-Pierre Ronfard,1,9782921569088,1993,Liber,,0,,
/books/OL2059836M,The cuisine of sacrifice among the Greeks,,Jean-Pierre Vernant,1,9780226143514,1989,University of Chicago Press,Sciences sociales,0,,
/books/OL12629914M,La Poetique Du Merveilleux Dans Le,,Jean-René Valette,1,9782852038196,1998,Honore Champion Editeur,Histoire,0,,
/books/OL55970778M,Les années Mao,"une histoire de la Chine en affiches, 1949-1979",Jean-Yves Bajon,1,9782878681659,2013,Pacifique,Politique,0,,
/books/OL25543023M,Marx et le marxisme,"une pense e, une histoire",Jean-Yves Calvez,1,9782212860832,2007,Eyrolles,Histoire | Politique,0,,
/books/OL32361081M,Dictionnaire d'économie et de sciences sociales,,Jean-Yves Capul,1,9782218750953,2005,Hatier,,0,,
/books/OL31381257M,Astérix et la Transitalique,,Jean-Yves Ferri,1,9782864973287,2017,Educa Books,BD et romans graphiques,0,,
/books/OL19685922M,L' invention de la guerre totale,XVIIIe-XXe siècle,Jean-Yves Guiomar,1,9782866455668,2004,Editions du Félin,Histoire,0,,
/books/OL13569817M,Cent jours sous le ciel de la Mongolie,,Jean-Étienne Poirier,1,9782894483091,2001,Septentrion,Voyage,0,,
/books/OL15266808M,Les opuscules spirituels,,Jeanne Marie Bouvier de La Motte Guyon,1,9783487065373,1978,Georg Olms Verlag,,0,,
/books/OL18102518M,Les étapes de la rééducation des jeunes délinquants ... et des autres,,Jeannine Guindon,1,9782215000839,1981,Éditions Fleurus,,0,,
/books/OL39209645M,Journal d'un dégonflé - Tome 5 - La Vérité toute moche,,Jeff Kinney,1,9782021060119,2010,Seuil Jeunesse,Fiction,0,,
/books/OL40275787M,"Journal d'un dégonflé, Tome 10",Zéro réseau,Jeff Kinney,1,9791023507997,2016,French and European Publications Inc,Fiction,0,,
/books/OL39198507M,Journal de bord d'un parfait dégonflé,,Jeff Kinney,1,9782021059090,2011,Seuil,,0,,
/books/OL25959243M,Trop C'est Trop,,Jeff Kinney,1,9782021011159,2010,Seuil,Fiction,0,,
/books/OL39209780M,"Royal City, tome 2",Sonic Youth,Jeff Lemire,1,9791026813941,2018,Urban Comics,,0,,
/books/OL28264661M,L'académie Jedi,L'attaque de mon journal,Jeffrey Brown,1,9781443151825,2015,,Science-fiction,0,,
/books/OL28989326M,La brute fantôme,,Jeffrey Brown,1,9781443147934,2015,Éditions Scholastic,BD et romans graphiques | Fiction | Science-fiction,0,,
/books/OL32118200M,Le retour du Padawan,,Jeffrey Brown,1,9781443143462,2015,Éditions Scholastic,BD et romans graphiques | Fiction | Science-fiction,0,,
/books/OL28785234M,Star Wars,L'Acadmie Jedi,Jeffrey Brown,1,9781443134132,2014,Editions Scholastic,BD et romans graphiques | Fiction | Jeunesse | Science-fiction,0,,
/books/OL31971366M,Vador et sa petite princesse,,Jeffrey Brown,1,9782364801059,2013,Huginn & Muninn,,0,,
/books/OL28762425M,Mini-Souris,Reine du Monde,Jennifer L. Holm | Matthew Holm | Isabelle Allard,3,9781443126687,2013,"Scholastic Canada, Limited",,0,,
/books/OL12449474M,White Sonya,,Jerome Charyn,1,9782203389403,2000,Casterman,,0,,
