language,category,author,tier,max_selected,max_total
FR,FRENCH_LANGUAGE_CANON,François Rabelais,1,12,18
FR,FRENCH_LANGUAGE_CANON,Michel de Montaigne,1,10,15
FR,FRENCH_LANGUAGE_CANON,Pierre de Ronsard,1,10,15
FR,FRENCH_LANGUAGE_CANON,Joachim du Bellay,1,8,12
FR,FRENCH_LANGUAGE_CANON,François de La Rochefoucauld,1,8,12
FR,FRENCH_LANGUAGE_CANON,Jean de La Fontaine,1,15,22
FR,FRENCH_LANGUAGE_CANON,Pierre Corneille,1,18,26
FR,FRENCH_LANGUAGE_CANON,Jean Racine,1,16,24
FR,FRENCH_LANGUAGE_CANON,Molière,1,24,34
FR,FRENCH_LANGUAGE_CANON,Madame de La Fayette,1,8,12
FR,FRENCH_LANGUAGE_CANON,Blaise Pascal,1,10,15
FR,FRENCH_LANGUAGE_CANON,Jean de La Bruyère,1,8,12
FR,FRENCH_LANGUAGE_CANON,Voltaire,1,24,34
FR,FRENCH_LANGUAGE_CANON,Jean-Jacques Rousseau,1,18,26
FR,FRENCH_LANGUAGE_CANON,Denis Diderot,1,18,26
FR,FRENCH_LANGUAGE_CANON,Montesquieu,1,12,18
FR,FRENCH_LANGUAGE_CANON,Beaumarchais,1,8,12
FR,FRENCH_LANGUAGE_CANON,Choderlos de Laclos,1,6,9
FR,FRENCH_LANGUAGE_CANON,Bernardin de Saint-Pierre,2,7,10
FR,FRENCH_LANGUAGE_CANON,François-René de Chateaubriand,1,15,22
FR,FRENCH_LANGUAGE_CANON,Alphonse de Lamartine,1,10,15
FR,FRENCH_LANGUAGE_CANON,Victor Hugo,1,30,42
FR,FRENCH_LANGUAGE_CANON,Alexandre Dumas,1,32,45
FR,FRENCH_LANGUAGE_CANON,Alexandre Dumas fils,2,8,12
FR,FRENCH_LANGUAGE_CANON,Honoré de Balzac,1,35,50
FR,FRENCH_LANGUAGE_CANON,Stendhal,1,14,20
FR,FRENCH_LANGUAGE_CANON,George Sand,1,20,30
FR,FRENCH_LANGUAGE_CANON,Alfred de Musset,1,12,18
FR,FRENCH_LANGUAGE_CANON,Théophile Gautier,1,12,18
FR,FRENCH_LANGUAGE_CANON,Gérard de Nerval,1,10,15
FR,FRENCH_LANGUAGE_CANON,Prosper Mérimée,1,10,15
FR,FRENCH_LANGUAGE_CANON,Gustave Flaubert,1,16,24
FR,FRENCH_LANGUAGE_CANON,Charles Baudelaire,1,14,20
FR,FRENCH_LANGUAGE_CANON,Arthur Rimbaud,1,10,15
