language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
FR,CONTEMPORARY,Sorj Chalandon,1,12,18,/works/OL24516557W,Enfant de salaud,Sorj Chalandon,1.0000,2021,/books/OL32490479M,Enfant de salaud,roman,fre,1.0000,9782246828150,GRASSET,"Aug 18, 2021",,11144774,IMAGE_TOO_SMALL,60,40,JPEG,,NO,NO,167.0000,180.0000,REJECT,Physical cover validation failed: IMAGE_TOO_SMALL,
FR,CONTEMPORARY,Daniel Pennac,1,16,24,/works/OL704978W,Aux Fruits de la Passion / With the Fruits of Passion,Daniel Pennac,1.0000,2000,/books/OL8839447M,Aux Fruits de la Passion,,fre,0.9600,9782070415335,Editions Gallimard,January 2000,,968741,IMAGE_TOO_SMALL,107,180,JPEG,,NO,NO,166.2000,179.2000,REJECT,Physical cover validation failed: IMAGE_TOO_SMALL,
FR,CONTEMPORARY,Alice Zeniter,1,9,13,/works/OL32412191W,Croire au matin,Élisabeth Brami | Noëlle Châtelet | Alexandre Jardin | Mazarine Pingeot | Alice Zeniter,1.0000,2018,/books/OL44183260M,Croire au matin,"cinq écrivains à la rencontre de Charles Palant, rescapé d'Auschwitz",fre,1.0000,9782702163412,Calmann-Lévy,2018,,,NOT_PROBED,,,,,NO,NO,155.0000,168.0000,REJECT,No cover candidate.,
FR,CONTEMPORARY,Alice Zeniter,1,9,13,/works/OL44790549W,De qui aurais-je crainte,Alice Zeniter | Raphaël Neal,1.0000,2015,/books/OL61150778M,De qui aurais-je crainte,,fre,1.0000,9782367440774,Bec en l'air,2015,,,NOT_PROBED,,,,,NO,NO,155.0000,168.0000,REJECT,No cover candidate.,
FR,CONTEMPORARY,Alice Zeniter,1,9,13,/works/OL32120102W,H24,Alice Zeniter,1.0000,2021,/books/OL43854153M,H24,24 heures dans la vie d'une femme,fre,1.0000,9782330157487,Actes sud,2021,,,NOT_PROBED,,,,,NO,NO,155.0000,168.0000,REJECT,No cover candidate.,
FR,CONTEMPORARY,Alice Zeniter,1,9,13,/works/OL32314297W,Je suis une fille sans histoire,Alice Zeniter,1.0000,2021,/books/OL44064182M,Je suis une fille sans histoire,,fre,1.0000,9782381980140,L'Arche,2021,,,NOT_PROBED,,,,,NO,NO,155.0000,168.0000,REJECT,No cover candidate.,
FR,CONTEMPORARY,Alice Zeniter,1,9,13,/works/OL39596236W,Jusque dans nos bras,Alice Zeniter,1.0000,2011,/books/OL53864376M,Jusque dans nos bras,roman,fre,1.0000,9782253160250,Librairie générale française,2011,,,NOT_PROBED,,,,,NO,NO,155.0000,168.0000,REJECT,No cover candidate.,
FR,CONTEMPORARY,Alice Zeniter,1,9,13,/works/OL19730363W,L'art de perdre,Alice Zeniter,1.0000,2017,/books/OL26943463M,L'art de perdre,roman,fre,1.0000,9782081395534,Flammarion,2017,,,NOT_PROBED,,,,,NO,NO,155.0000,168.0000,REJECT,No cover candidate.,
FR,CONTEMPORARY,Alice Zeniter,1,9,13,/works/OL31228780W,Quand viendra la vague,Alice Zeniter,1.0000,2019,/books/OL42887640M,Quand viendra la vague,,fre,1.0000,9782851819642,L'Arche,2019,,,NOT_PROBED,,,,,NO,NO,155.0000,168.0000,REJECT,No cover candidate.,
FR,CONTEMPORARY,Alice Zeniter,1,9,13,/works/OL23134749W,Sombre dimanche,Alice Zeniter,1.0000,2013,/books/OL30974522M,Sombre dimanche,roman,fre,1.0000,9782226245175,Albin Michel,2013,,,NOT_PROBED,,,,,NO,NO,155.0000,168.0000,REJECT,No cover candidate.,
