language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
FR,CONTEMPORARY,Dany Laferrière,1,12,18,/works/OL2109221W,Je suis un écrivain japonais,Dany Laferrière,1.0000,2008,/books/OL16916202M,Je suis un écrivain japonais,roman,fre,1.0000,9782246718017,Grasset,2008,,13275002,VALID_COVER,319,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL16916202M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Dany Laferrière,1,12,18,/works/OL23132629W,Journal d'un écrivain en pyjama,Dany Laferrière,1.0000,2013,/books/OL30972606M,Journal d'un écrivain en pyjama,,fre,1.0000,9782246807681,Bernard Grasset,2013,,12688047,VALID_COVER,322,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL30972606M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Dany Laferrière,1,12,18,/works/OL18614843W,L'énigme du retour,Dany Laferrière,1.0000,2009,/books/OL23997033M,L'énigme du retour,roman,fre,1.0000,9782246748915,Grasset,2009,,12830695,VALID_COVER,290,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL23997033M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Dany Laferrière,1,12,18,/works/OL18005695W,L'enigme du retour,Dany Laferrière,1.0000,2009,/books/OL23851960M,L'énigme du retour,,fre,1.0000,9782764606704,Les Éditions du Boréal,2009,,6259416,VALID_COVER,300,466,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL23851960M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Dany Laferrière,1,12,18,/works/OL2109229W,L' odeur du café,Dany Laferrière,1.0000,1991,/books/OL18339636M,L' odeur du café,récit,fre,1.0000,2892951593,TYPO,1999,,12827270,VALID_COVER,282,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL18339636M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Dany Laferrière,1,12,18,/works/OL9023039W,L'Odeur du café,Dany Laferrière,1.0000,2001,/books/OL8943026M,L'Odeur du café,,fre,1.0000,9782842612825,Le Serpent à Plumes,"August 31, 2001",,2173908,VALID_COVER,303,475,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL8943026M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Jean-Christophe Rufin,1,14,20,/works/OL18979W,Rouge Brésil,Jean-Christophe Rufin,1.0000,2001,/books/OL16337472M,Rouge Brésil,,fre,1.0000,9782070301676,Gallimard,2003,,15253032,VALID_COVER,294,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL16337472M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Jean-Christophe Rufin,1,14,20,/works/OL22076358W,Rouge Brésil,Jean-Christophe Rufin,1.0000,2002,/books/OL30116964M,Rouge Brésil,roman,fre,1.0000,9782744153747,Éd. France loisirs,2002,,10439339,VALID_COVER,320,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL30116964M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Jean-Christophe Rufin,1,14,20,/works/OL18975W,Sauver Ispahan,Jean-Christophe Rufin,1.0000,1998,/books/OL493885M,Sauver Ispahan,roman,fre,1.0000,2070753530,Gallimard,1998,,970149,VALID_COVER,328,475,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL493885M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
FR,CONTEMPORARY,Jean-Christophe Rufin,1,14,20,/works/OL26211486W,Sauver Ispahan,Jean-Christophe Rufin,1.0000,1999,/books/OL35366463M,Sauver Ispahan,roman,fre,1.0000,9782744125966,France loisirs,1999,,12208824,VALID_COVER,344,500,JPEG,data/cache/fr-mass-editorial-engine/covers/FR-OL35366463M.jpeg,NO,NO,167.0000,205.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
