language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
FR,CONTEMPORARY,Tahar Ben Jelloun,1,16,24,/works/OL33680945W,Labyrinthe Des Sentiments (French Edition),Tahar Ben Jelloun,1.0000,2001,/books/OL8835022M,Le labyrinthe des sentiments,,fre,0.7353,9782020407465,Seuil,"February 16, 2001",,964365,NOT_PROBED,,,,,NO,NO,161.7059,174.7059,REVIEW,Edition/work title concordance below automatic threshold.,
FR,ESSAYS_PHILOSOPHY,Maurice Merleau-Ponty,1,10,15,/works/OL2142385W,Conscience et l'acquisition du langage,Maurice Merleau-Ponty,1.0000,1973,/books/OL18307589M,Consciousness and the acquisition of language,,eng | fre,0.7229,0810104172,Northwestern University Press,1973,,8487985,NOT_PROBED,,,,,NO,NO,161.4578,174.4578,REVIEW,Edition/work title concordance below automatic threshold.,
FR,ESSAYS_PHILOSOPHY,Gilles Deleuze,1,12,18,/works/OL93934W,Proust et les signes,Gilles Deleuze,1.0000,1964,/books/OL5709696M,Proust and signs,,eng | fre,0.7222,0807606456,G. Braziller,1972,,9467545,NOT_PROBED,,,,,NO,NO,161.4444,174.4444,REVIEW,Edition/work title concordance below automatic threshold.,
FR,ESSAYS_PHILOSOPHY,Maurice Merleau-Ponty,1,10,15,/works/OL2142401W,Humanisme et terreur,Maurice Merleau-Ponty,1.0000,1947,/books/OL5754057M,Humanism and terror,an essay on the Communist problem.,eng | fre,0.7692,,Beacon Press,1969,,10986527,NOT_PROBED,,,,,NO,NO,156.3846,164.3846,REVIEW,Edition/work title concordance below automatic threshold.,
FR,ESSAYS_PHILOSOPHY,Blaise Pascal,1,10,15,/works/OL1262598W,Œuvres complètes,Blaise Pascal,1.0000,1954,/books/OL440201M,Œuvres complètes,,fre,1.0000,2070114856,Gallimard,1998,,2136169,NOT_PROBED,,,,,YES,NO,147.0000,160.0000,REVIEW,Collected works / omnibus requires review.,
FR,ESSAYS_PHILOSOPHY,Blaise Pascal,1,10,15,/works/OL1262590W,Oeuvres complètes,Blaise Pascal,1.0000,1954,/books/OL9899169M,Oeuvres complètes,,fre,1.0000,9782220031910,Desclée De Brouwer,"October 16, 1991",,2146421,NOT_PROBED,,,,,YES,NO,147.0000,160.0000,REVIEW,Collected works / omnibus requires review.,
FR,ESSAYS_PHILOSOPHY,Blaise Pascal,1,10,15,/works/OL1262472W,Oeuvres choisies de B. Pascal,Blaise Pascal,1.0000,1800,/books/OL24193841M,Oeuvres choisies de B. Pascal,Pensées et opuscules.  T. unique.,fre,1.0000,,A. Roger et F. Chernoviz,1800,,6372175,NOT_PROBED,,,,,YES,NO,141.0000,149.0000,REVIEW,Collected works / omnibus requires review.,
FR,ESSAYS_PHILOSOPHY,Denis Diderot,1,10,15,/works/OL74784W,Oeuvres Completes de Diderot,Denis Diderot,1.0000,1875,/books/OL13502922M,Oeuvres compl©Łetes de Diderot,"revues sur les ©Øeditions originales, comprenant ce qui a ©Øet©Øe publi©Øe ©Ła diverses ©Øepoques et les manuscrits in©Øedits, conserv©Øes ©Ła la Biblioth©Łeque de l'Ermitage, notices, notes, table analytique.",fre,0.9825,,Garnier fr©Ł,1875,,5932560,NOT_PROBED,,,,,YES,NO,140.6491,148.6491,REVIEW,Collected works / omnibus requires review.,
FR,ESSAYS_PHILOSOPHY,Blaise Pascal,1,10,15,/works/OL1262577W,OEuvres choisies disposées d'après l'ordre chronologique,Blaise Pascal,1.0000,1931,/books/OL20339146M,OEuvres choisies disposées d'après l'ordre chronologique,,fre,1.0000,,Librairie A. Hatier,1931,,,NOT_PROBED,,,,,YES,NO,129.0000,137.0000,REVIEW,Collected works / omnibus requires review.,
FR,FRENCH_LANGUAGE_CANON,Denis Diderot,1,18,26,/works/OL74824W,Jacques le fataliste et son maître,Denis Diderot,1.0000,1946,/books/OL4725409M,Jacques the fatalist and his master,,eng | fre,0.7536,0393009033,Norton,1978,,246568,NOT_PROBED,,,,,NO,NO,162.0725,175.0725,REVIEW,Edition/work title concordance below automatic threshold.,
FR,FRENCH_LANGUAGE_CANON,François de La Rochefoucauld,1,8,12,/works/OL17724029W,Lettre de Monsieur enuoye e a   Monseigneur de Luyne,François de La Rochefoucauld,1.0000,1620,/books/OL48113436M,Lettre de monsieur enuoyee à monseigneur pour la reformation de l'estat,ensemble la meditation de monsieur de L. ou response à la remonstrance au roy,fre,0.7603,,publisher not identified,1620,,14344840,NOT_PROBED,,,,,NO,NO,156.2066,164.2066,REVIEW,Edition/work title concordance below automatic threshold.,
FR,FRENCH_LANGUAGE_CANON,Victor Hugo,1,30,42,/works/OL1064109W,Le Rhin,Victor Hugo,1.0000,1800,/books/OL17997726M,The Rhine,"a tour from Paris to Mayence by the way of Aix-La-Chapelle : with an account of its legends, antiquities, and important historical events",eng | fre,0.7500,,Estes & Lauriat,1900,,5980821,NOT_PROBED,,,,,NO,NO,156.0000,164.0000,REVIEW,Edition/work title concordance below automatic threshold.,
FR,FRENCH_LANGUAGE_CANON,Victor Hugo,1,30,42,/works/OL1064106W,Han d'Islande,Victor Hugo,1.0000,1800,/books/OL6980878M,Hans of Iceland,,eng | fre,0.7143,,Estes and Lauriat,1891,,5742300,NOT_PROBED,,,,,NO,NO,155.2857,163.2857,REVIEW,Edition/work title concordance below automatic threshold.,
FR,FRENCH_LANGUAGE_CANON,Jules Verne,1,35,50,/works/OL1099960W,Nord gegen Süd,Jules Verne,1.0000,1887,/books/OL24144660M,Nord contre Sud,,fre,0.6897,,J. Hetzel,1887,,6323089,NOT_PROBED,,,,,NO,NO,154.7931,162.7931,REVIEW,Edition/work title concordance below automatic threshold.,
