source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL12622750M,La bolivie,,Erich Fisbach,1,9782842741457,2001,Du Temps,Histoire,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL32113529M,La conception de l'homme chez Marx,,Erich Fromm,1,9782228905107,2010,Payot & Rivages,Économie et entreprise,0,KEEP_TRANSLATION,Traduction ou édition française identifiable d'une œuvre d'un auteur non francophone.
/books/OL19681209M,La peur de la liberté (Escape from freedom),,Erich Fromm,1,,1963,Buchet-Chastel,Politique | Religion | Sciences sociales,0,KEEP_TRANSLATION,Traduction ou édition française identifiable d'une œuvre d'un auteur non francophone.
/books/OL19254563M,La malédiction de La Méduse,roman,Erik Emptaz,1,9782246547518,2005,B. Grasset,Fiction | Histoire,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL12641501M,Art roman en France,,Erlande-Brandenbourg,1,9782877477086,2003,Jean-Paul Gisserot,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL23310259M,Le comte de Gobineau et l'aryanisme historique.,,Ernest Antoine Aimé Léon Baron Seillière,1,,1903,Plon-Nourrit,Histoire | Philosophie,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL6547707M,Les mystiques du néo-romantisme,évolution contemporaine de l'appétit mystique.,Ernest Antoine Aimé Léon Baron Seillière,1,,1911,Plon-Nourrit et cie,Sciences sociales,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL22895065M,Terres de soleil et de sommeil.,,Ernest Psichari,1,,1917,Louis Conard,Histoire | Voyage,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL13991032M,avenir de la science,pensées de 1848,Ernest Renan,1,,1890,Calmann-Lévy,Histoire | Sciences,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL6532062M,Dialogues et fragments philosophiques,,Ernest Renan,1,,1876,Calmann Lévy,Philosophie,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL14797736M,Dialogues philosophiques,,Ernest Renan,1,9782222047025,1992,CNRS éditions,Philosophie,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL13991034M,Essais de morale et de critique,,Ernest Renan,1,,1909,Calmann-Lévy,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL23435637M,Examen de conscience philosophique,,Ernest Renan,1,,1889,"A. Franck, Libraire",Philosophie,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL21774436M,L' avenir de la science,,Ernest Renan,1,9782080707659,1995,Flammarion,Sciences,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL8889807M,Qu’est-ce qu’une nation?,,Ernest Renan,1,9782266050630,,Pocket,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL15242578M,Machiavel,biographie politique,Ernest Weibel,1,9782827103966,1988,Éditions Universitaires,Histoire | Politique,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL23084044M,Sur les falaises de marbre,,Ernst Jünger,1,9782070287789,1998,Gallimard,Fiction,0,KEEP_TRANSLATION,Traduction ou édition française identifiable d'une œuvre d'un auteur non francophone.
/books/OL30528594M,Le Pouvoir de la satire - Tome 0 - Le Pouvoir de la satire,,Erre Fabrice | Erre Fabrice | Terreur Graphique,3,9782205078169,2018,DARGAUD,Histoire,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL30373480M,Un train d'enfer,,Erwan Manac’h | Gwenaël Manac’h,2,9782360121274,2020,VILLE BRULE,Histoire,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL8834258M,La nature et les Grecs,,Erwin Schrödinger | Roger Penrose,2,9782020128001,1992,Seuil,Philosophie | Sciences,0,KEEP_TRANSLATION,Traduction ou édition française identifiable d'une œuvre d'un auteur non francophone.
/books/OL12642689M,Vivre Paris: Rencontre Avec 30 Artistes Latino-Americains,24 Fevrier-18 Avril 1999,Espace Electra,1,9782879004396,1999,Union Latina,Arts,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL24355785M,"La logique, ou, Les premiers développement de l'art de penser",,Etienne Bonnot de Condillac,1,,1795,F. Dufart,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL13993281M,Annales de la peinture,discours et fragments.,Etienne Parrocel,1,,1867,En vent chez l'auteur,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL22142307M,Chicago en flames,,Eugene Izzi,1,9782268033662,1999,Rocher,Fiction,0,KEEP_TRANSLATION,Traduction ou édition française identifiable d'une œuvre d'un auteur non francophone.
/books/OL24163325M,En Birmanie,,Eugène Gallois,1,,1899,C. Delagrave,Voyage,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL18110510M,Histoire de l'art pendant la renaissance.,,Eugène Müntz,1,,1889,Hachette,Arts | Histoire,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL23458532M,Études iconographiques et archéologiques sur le moyen age,,Eugène Müntz,1,,1887,Leroux,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL23428848M,"Chrétiens et Turcs: scènes et souvenirs de la vie politique, militaire et religieuse en Orient",,Eugène Poujade,1,,1867,Didier,Voyage,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL3466881M,L' épopée des tirailleurs sénégalais,,Eugène-Jean Duval,1,9782747585934,2005,L'Harmattan,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL32757034M,Mademoiselle,"ou, L'imparfaite célibataire",Eva Rollin,1,9782922944150,2004,Marchand de feuilles,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL13533439M,théatre italien,"ou, Le recueil général de toutes les comédies et scènes françaises jouées par les comédièns italiens du Roi",Evaristo Gherardi,1,,1969,Slatkine Reprints,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL2278947M,La science menacée,,Evry L. Schatzman,1,9782738100443,1989,O. Jacob,Sciences,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL21786760M,Les soleils de l'automne,roman.,Exbrayat.,1,9782226018618,1983,Michel,Fiction | Histoire,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL23284600M,Catalogue général officiel,uvres d'art,"Exposition universelle internationale de 1900 (Paris, France)",1,,1900,Lemercier,Arts | Biographie,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL23284763M,Catalogue officiel illustré de l'Exposition centennale de l'art français de 1800 à 1889.,,"Exposition universelle internationale de 1900 (Paris, France)",1,,1900,Lemercier,Arts,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL23284759M,Catalogue officiel illustré de l'exposition rétrospective de l'art français des origines à 1800.,,"Exposition universelle internationale de 1900 (Paris, France)",1,,1900,Imprimeries Lemercier,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL13499896M,"Pestalozzi, eleve de J.-J. Rousseau. --.",,F Herisson,1,,1886,C. Delagrave,Philosophie | Éducation,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL12632644M,Sue et Mare,la compagnie des arts français,F. Camart,1,9782859171612,1996,Editions de l'amateur,Histoire,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL24634503M,Le Fou du Palais-Royale,,F. Cantagrel,1,,1841,Librairie phalanstérienne,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL12630916M,Chronique d'un amour interdit,,F. Muriel,1,9782856167809,2000,Presses de la Renaissance,Biographie,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL12632141M,La Nouvelle-Zélande,du duel au duo,F. Tolron,1,9782858165285,2000,Presses Universitaires du Mirail Toulouse (PUM),Histoire,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL25424825M,Rendez-vous manqués,,Fabien Conord,1,9782867815621,2010,Presses universitaires de Bordeaux,Histoire | Politique,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL30536623M,L'écolier en bleu - Chaïm Soutine,,Fabien Grolleau | ANNA CONZATTI | Joël Legars,3,9782368461846,2019,STEINKIS,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL25540667M,Je suis le gion,Le faune dansant,Fabien Nury,1,9782731663020,2004,Les Humanoides Associe s,,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL12655122M,Inventer,,Fabrice Praeger,1,9782912927637,2002,Dumerchez,Histoire,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL12623683M,Le Berceau du monde,Orient - Opéra,Fady Stephan,1,9782843351228,2003,Verticales,Voyage,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
/books/OL21436592M,Mon album de l'immigration en France,,Farid Boudjellal,1,9782910867041,2001,Editions Tartamudo,Jeunesse,0,KEEP_CORE,Ouvrage francophone cohérent ; édition et métadonnées compatibles avec le corpus FR.
