source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL19967740M,Politik unter Einigungszwang: eine Analyse f oderaler Verhandlungsprozesse,,Achim Wiesner,1,9783593379548,,Campus Verlag GmbH,Politique,0,,
/books/OL12664362M,Die Lateinische Ubersetzung Der Historia Lausiaca Des Palladius (Patristische Texte Und Stuien),,Adelheid Wellhausen,1,9783110167108,2004,Walter De Gruyter Inc,Histoire,0,,
/books/OL50528596M,Aliens - Die Rückkehr,,Alan Dean Foster,1,9783453024564,1989,Wilhelm Heyne Verlag,Fiction,0,,
/books/OL25564768M,Das Tar-Aiym-Krang,Science-fiction-Roman,Alan Dean Foster,1,9783453305533,1979,Heyne,Fiction | Science-fiction,0,,
/books/OL33027163M,Der Augenblick des Magiers,Vierter Roman des Bannsänger-Zyklus,Alan Dean Foster,1,9783453313279,1988,Wilhelm Heyne Verlag,,0,,
/books/OL27031284M,Die denkenden Wälder,Roman ; Science-fiction,Alan Dean Foster,1,9783453043152,1991,Heyne,Fiction,0,,
/books/OL33035839M,Die Fahrt der Slanderscree,,Alan Dean Foster,1,9783453034891,1992,Wilhelm Heyne Verlag,Science-fiction,0,,
/books/OL36638385M,Flucht ins Chaos,Ein Pip & Flinx Roman,Alan Dean Foster,1,9783404243846,2009,Bastei Lübbe,Fiction,0,,
/books/OL27074230M,Meine galaktischen Freunde,Science-Fiction-Erzählungen,Alan Dean Foster,1,9783453309920,1984,Heyne,,0,,
/books/OL12709501M,Raumschiff Enterprise. Die neuen Abenteuer 4. Gefahr im Delta- Dreieck.,,Alan Dean Foster,1,9783442236633,1993,Goldmann,Fiction,0,,
/books/OL9034869M,Raumschiff Enterprise. Die neuen Abenteuer 5. Ums nackte Leben.,,Alan Dean Foster,1,9783442236640,1994,Goldmann,Fiction | Science-fiction,0,,
/books/OL36642495M,Reiseziel: Ewigkeit,,Alan Dean Foster,1,9783404006137,1977,Bastei Lübbe,Science-fiction,0,,
/books/OL9035060M,Star Wars. Skywalkers Rückkehr.,,Alan Dean Foster,1,9783442250097,1996,Goldmann,Fiction | Science-fiction,0,,
/books/OL12773672M,Die Kunst zu überzeugen,Faire und unfaire Dialektik,Albert Thiele,1,9783540282280,2006,Springer,,0,,
/books/OL21076202M,Politische Beiträge,gesammelte Standpunkte und Meinungen zum politischen Geschehen 2003,Alexander Bilgeri,1,9783825877682,2004,Lit,Politique | Économie et entreprise,0,,
/books/OL19612423M,Mona,,Alexander Gorkow,1,9783462039153,2007,Kiepenheuer & Witsch,,0,,
