source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,dominant_authors,dominant_author_counts
/books/OL50528596M,Aliens - Die Rückkehr,,Alan Dean Foster,1,9783453024564,1989,Wilhelm Heyne Verlag,Fiction,0,,,Alan Dean Foster,Alan Dean Foster=10
/books/OL25564768M,Das Tar-Aiym-Krang,Science-fiction-Roman,Alan Dean Foster,1,9783453305533,1979,Heyne,Fiction | Science-fiction,0,,,Alan Dean Foster,Alan Dean Foster=10
/books/OL27031284M,Die denkenden Wälder,Roman ; Science-fiction,Alan Dean Foster,1,9783453043152,1991,Heyne,Fiction,0,,,Alan Dean Foster,Alan Dean Foster=10
/books/OL33035839M,Die Fahrt der Slanderscree,,Alan Dean Foster,1,9783453034891,1992,Wilhelm Heyne Verlag,Science-fiction,0,,,Alan Dean Foster,Alan Dean Foster=10
/books/OL36638385M,Flucht ins Chaos,Ein Pip & Flinx Roman,Alan Dean Foster,1,9783404243846,2009,Bastei Lübbe,Fiction,0,,,Alan Dean Foster,Alan Dean Foster=10
/books/OL27074230M,Meine galaktischen Freunde,Science-Fiction-Erzählungen,Alan Dean Foster,1,9783453309920,1984,Heyne,,0,,,Alan Dean Foster,Alan Dean Foster=10
/books/OL12709501M,Raumschiff Enterprise. Die neuen Abenteuer 4. Gefahr im Delta- Dreieck.,,Alan Dean Foster,1,9783442236633,1993,Goldmann,Fiction,0,,,Alan Dean Foster,Alan Dean Foster=10
/books/OL9034869M,Raumschiff Enterprise. Die neuen Abenteuer 5. Ums nackte Leben.,,Alan Dean Foster,1,9783442236640,1994,Goldmann,Fiction | Science-fiction,0,,,Alan Dean Foster,Alan Dean Foster=10
/books/OL36642495M,Reiseziel: Ewigkeit,,Alan Dean Foster,1,9783404006137,1977,Bastei Lübbe,Science-fiction,0,,,Alan Dean Foster,Alan Dean Foster=10
/books/OL9035060M,Star Wars. Skywalkers Rückkehr.,,Alan Dean Foster,1,9783442250097,1996,Goldmann,Fiction | Science-fiction,0,,,Alan Dean Foster,Alan Dean Foster=10
/books/OL32582674M,Der Platz,,Annie Ernaux,1,9783518225097,2019,Suhrkamp Verlag AG,Fiction,0,,,Annie Ernaux,Annie Ernaux=3
/books/OL47317785M,Die Scham,,Annie Ernaux,1,9783518471807,2022,Suhrkamp,Biographie,0,,,Annie Ernaux,Annie Ernaux=3
/books/OL12709707M,Sich verlieren,Die Geschichte einer Obsession,Annie Ernaux,1,9783442310036,2003,Goldmann,Biographie | Histoire,0,,,Annie Ernaux,Annie Ernaux=3
/books/OL8935860M,Der Kleine Prinz,,Antoine de Saint-Exupéry,1,9783792000267,1998,Karl Rauch Verlag,Fantasy | Fiction | Philosophie | Théâtre,0,,,Antoine de Saint-Exupéry,Antoine de Saint-Exupéry=3
/books/OL36594772M,Flug nach Arras,,Antoine de Saint-Exupéry,1,,1966,Rowohlt,Biographie,0,,,Antoine de Saint-Exupéry,Antoine de Saint-Exupéry=3
/books/OL9066682M,Nachtflug. Roman. ( Erzähler- Bibliothek).,,Antoine de Saint-Exupéry,1,9783596293162,2000,"Fischer (Tb.), Frankfurt",Biographie | Fiction,0,,,Antoine de Saint-Exupéry,Antoine de Saint-Exupéry=3
/books/OL12689524M,Der blonde Vampir. ( Unheimlicher Roman),,Christopher Pike,1,9783404740062,1996,Lübbe,Fiction | Jeunes adultes | Policier et mystère,0,,,Christopher Pike,Christopher Pike=3
/books/OL9025851M,Sati. Mystischer Thriller.,,Christopher Pike,1,9783404740147,1997,Lübbe,Fantasy,0,,,Christopher Pike,Christopher Pike=3
/books/OL31887217M,Spook City,Die Rückkehr der Saurier,Christopher Pike,1,9783505109249,1999,F. Schneider,Fiction,0,,,Christopher Pike,Christopher Pike=3
/books/OL12922375M,Der Sohn der Drachen,,Christopher Zimmer,1,9783800026142,1999,Ueberreuter,,0,,,Christopher Zimmer,Christopher Zimmer=3
/books/OL12922436M,Die Lichter von Thalis,,Christopher Zimmer,1,9783800028078,2001,Ueberreuter,,0,,,Christopher Zimmer,Christopher Zimmer=3
/books/OL32866603M,Wanderer zwischen den Zeiten,,Christopher Zimmer,1,9783800025176,1997,Ueberreuter,,0,,,Christopher Zimmer,Christopher Zimmer=3
