source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,audit_flags
/books/OL12664362M,Die Lateinische Ubersetzung Der Historia Lausiaca Des Palladius (Patristische Texte Und Stuien),,Adelheid Wellhausen,1,9783110167108,2004,Walter De Gruyter Inc,Histoire,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL33027163M,Der Augenblick des Magiers,Vierter Roman des Bannsänger-Zyklus,Alan Dean Foster,1,9783453313279,1988,Wilhelm Heyne Verlag,,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL12827280M,Japan und der Vorwurf des Trittbrettfahrerverhaltens in der US-amerikanisch-japanischen Allianz (Schriften zur Wirtschaftstheorie und Wirtschaftspolitik),,Alexander Tiedtke,1,9783631323045,1997,P. Lang,,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL19655941M,Geschichte des Herzogtums Schwaben,,Alfons Zettler,1,9783170159457,2003,W. Kohlhammer Verlag GmbH,Histoire,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL16273117M,Die Ausstattung in den Kirchen des Berliner Kirchenbauvereins (1890-1905),mit einem Beitrag zur Ikonographie des Protestantismus,Angela Beeskow,1,9783786117650,2005,Gebr. Mann,,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL19560809M,Das Verstehen des Fremden: eine Simulationstheorie im Anschluss an W.V.O. Quine,,Anne Koch,1,9783534166626,2003,Wissenschaftliche Buchgesellschaft,,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL15278853M,Der letzte Gesang des Manuel Sendero,Roman,Ariel Dorfman,1,9783596119783,1994,Fischer,,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL12974704M,Das Bild des ästhetisch-empfindsamen Jugendlichen. Deutsche Schul- und Adoleszenzromane zu Beginn des 20. Jahrhunderts,,Atsushi Imai,1,9783824444526,2001,Deutscher Universitäts-Verlag,,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL22587969M,Nachrichtenlose Vermögen bei Schweizer Banken,"Depots, Konten und Safes von Opfern des nationalsozialistischen Regimes und Restitutionsprobleme in der Nachkriegszeit",Barbara Bonhage,1,9783034006156,2001,Chronos,Histoire,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL12664082M,Germania Sacra,Historisch-Statistische Beschreibung Der Kirche Des Alten Reiches,Bearbeiter Von Heinz Wiener,1,9783110151930,1997,Walter De Gruyter Inc,Histoire,0,,,TITLE_LANGUAGE_SUSPECT
