source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL10070177M,Advances in Ecological Research,,A. H. Fitter | E. D. Ford | Michael Begon,3,9780120139194,1990,Academic Pr,Sciences,0,,
/books/OL12800593M,Knowledge and Value (Tulane Studies in Philosophy),,A.J. Reck,1,9789024713219,1899,Springer,Philosophie,0,,
/books/OL22883634M,An introduction to the philosophy of science,,Abram Cornelius Benjamin,1,,1937,The Macmillan Company,Philosophie | Sciences,0,,
/books/OL13538789M,Operationism.,,Abram Cornelius Benjamin,1,,1955,Thomas,Philosophie,0,,
/books/OL21967620M,"Science, technology, and human values [by] A. Cornelius Benjamin.",,Abram Cornelius Benjamin,1,,1965,University of Missouri Press,Philosophie | Sciences,0,,
/books/OL12657894M,Mayer 1996,International Auction Records,Acatos,1,9782940033171,1996,Acatos,Arts,0,,
/books/OL12657904M,Institut du Dessin & Fondazione Europea del Diseg,,Acatos Editions,1,9782940033614,2001,Acatos Editions,Philosophie,0,,
/books/OL12808256M,Survival Guide for Scientists,Writing-Presentation-E-mail,Ad Lagendijk,1,9789053565124,2008,Amsterdam University Press,,0,,
/books/OL12804955M,"Observation, Hypothesis, Introspection (Poznañ Studies in the Philosophy of the Sciences and the Humanities 87) (Poznan Studies in the Philosophy of the Sciences & the Humanities)",,Adam Wiegner,1,9789042017269,2005,Editions Rodopi BV.,Philosophie,0,,
/books/OL12798687M,The Contemplative Soul,Hebrew Poetry and Philosophical Theory in Medieval Spain (Etudes Sur Le Judaisme Medieval),Adena Tanenbaum,1,9789004120914,2003,Brill Academic Publishers,,0,,
/books/OL26433013M,My struggle,,Adolf Hitler,1,,1935,The Paternoster Library,Biographie | Histoire | Politique,0,,
/books/OL13691109M,Economic means and Social ends,essays in political economics,Adolph Lowe | Robert L. Heilbroner,2,,1969,Prentice-Hall,Sciences sociales | Économie et entreprise,0,,
/books/OL12852598M,Knowledge in Ferment,"Dilemmas in Science, Scholarship and Society (Amsterdam University Press - Leiden University Press Academic)",Adriaan In 't Groen,1,9789087280178,2007,Amsterdam University Press,Sciences,0,,
/books/OL24180265M,The Oresteia of Aeschylus,,Aeschylus,1,,1893,Methuen,Théâtre,0,,
/books/OL12674118M,Between Rome & Babylon,Studies in Jewish Leadership & Society (Text & Studies in Ancient Judaism),Aharon Oppenheimer,1,9783161485145,2005,J.C.B. Mohr (P. Siebeck),Histoire,0,,
/books/OL8964520M,"Where Hegel, F Fukuyama and Others Err",,Ahmad Baboo,1,9781846852879,2006,Exposure Publishing,Histoire | Philosophie,0,,
/books/OL12854424M,"Augustinian Perspectives in the Renaissance (Studia Anglistica Upsaliensia, 117)",,Ake Bergvall,1,9789155451776,2001,Uppsala Universitet,,0,,
/books/OL12854559M,Orphic Voice,"T.S. Elliot & the Mallarmean Quest for Meaning (Acta Universitatis Upsaliensis Studia Anglistica Upsaliensia, 122)",Ake Strandberg,1,9789155454340,2002,Uppsala Universitet,,0,,
/books/OL527496M,The game is patience,,Akosua Gyamfuaa Fofie,1,9789964995386,1997,Beginners Publishers,,0,,
/books/OL8070282M,Deleuze,The Clamor of Being,Alain Badiou,1,9780816631391,1999,University of Minnesota Press,,0,,
/books/OL7929569M,Handbook Of Inaesthetics,,Alain Badiou,1,9780804744096,2004,Stanford University Press,Philosophie,0,,
/books/OL8168901M,Infinite Thought,Truth And The Return To Philosophy,Alain Badiou,1,9780826473202,2004,Continuum International Publishing Group,,0,,
/books/OL3402521M,Metapolitics,,Alain Badiou,1,9781844670352,2005,Verso,Philosophie | Politique,0,,
/books/OL8956194M,Polemics,,Alain Badiou,1,9781844670895,2006,Verso,Philosophie | Politique,0,,
/books/OL11842369M,The Concept of Model,An Introduction to the Materialist Epistemology of Mathematics (Transmission),Alain Badiou,1,9780980305234,2007,re.press,Philosophie,0,,
/books/OL16819140M,Conditions,,Alain Badiou | Badiou | Steven Corcoran | Alain Badiou,4,9780826498274,2008,Continuum,Philosophie,0,,
/books/OL22671664M,Theory of the subject,,Alain Badiou | Bruno Bosteels | Alain Badiou | BADIOU ALAIN,4,9780826496737,2009,Continuum,,0,,
/books/OL22859744M,Sahara,the Atlantic to the Nile,Alain Sebe | Berny Sebe | Alain Sèbe,3,9781844300266,2001,Hachette Illustrated,Voyage,0,,
/books/OL10471940M,The 35-Hour Split Workweek,,Alan Cort | Francsis Langlois | Hans Hoeffner,3,9780533141876,2002,Vantage Pr,Sciences sociales,0,,
/books/OL4558013M,Splinter of the Mind's Eye,From the Adventures of Luke Skywalker,Alan Dean Foster,1,9780345275660,1978,Ballantine Books,Fiction | Science-fiction,0,,
/books/OL38351735M,Transformers,A Novel,Alan Dean Foster,1,9780307808042,2013,Random House Publishing Group,Fiction | Théâtre,0,,
/books/OL8109956M,Googie,Fifties Coffee Shop Architecture,Alan Hess,1,9780877013341,1986,Chronicle Books,Histoire,0,,
/books/OL8002574M,Googie Redux,Ultramodern Roadside Architecture,Alan Hess,1,9780811842723,2004,Chronicle Books,Histoire,0,,
/books/OL141166M,The architecture of John Lautner,,Alan Hess,1,9780847822225,1999,Rizzoli,Histoire,0,,
/books/OL7998476M,The Ranch House,,Alan Hess,1,9780810943469,2005,Harry N. Abrams,Histoire,0,,
