author,title_count,year_min,year_max,publisher_count,top_publishers,duplicate_like_titles,weak_metadata_titles,multi_author_titles,title_examples,group_decision,group_reason
Christopher Pike,63,1986,2016,17,Pocket Books (21) | Simon Pulse (8) | Aladdin (7) | Hodder Children's (6) | TOR (3),0,0,0,Aliens in the Sky (Spooksville) | Alosha | Attack of the killer crabs | Black blood | Bury Me Deep | Chain Letter | Chain Letter 2 - The Ancient Evil | Christorpher Pike's Tales of Terror | Cold People #5 (Spooksville) | Die Softly | Fall into darkness | Falling,,
David Drake,55,1983,2009,12,Baen (20) | Baen Books (9) | Ace Books (7) | Tor (6) | T. Doherty Associates (3),0,0,2,"All the Way to the Gallows | An Oblique Approach | Battlestation | Birds of prey | Counting the cost | Dagger (Thieves World Novel, No 5) | Enemy Of My Enemy | Explorers in hell | Fireships | Fireships (Igniting the Reaches , No 3) | Fortress | Fortress (Tom Kelly)",,
Emily Hendrickson,41,1988,2010,6,Signet (31) | Robert Hale (4) | Ulverscroft (3) | New American Library (1) | Signet Book (1),0,0,1,A Chance Encounter | A Country Miss | A Perilous Engagement | A Scandalous Suggestion | Althea's Grand Tour | An Uncommon Bequest | Double Deceit | Drusilla's Downfall | Elizabeth's Rake | Harriet's Beau | Hidden Inheritance | Julia's Spirit,,
Mary Dodson Wade,39,1984,2009,17,Enslow Publishers (7) | Heinemann Library (4) | Colophon House (4) | Children's Press (CT) (4) | Bright Sky Press (3),0,0,0,Ada Byron Lovelace | All around Texas | Amazing arctic explorer Matthew Henson | Amazing champion of the earth Rachel Carson | Amazing Cherokee hero Sequoyah | Amazing civil war nurse Clara Barton | Amazing Olympic athlete Wilma Rudolph | Amelia Earhart | Austin | Benedict Arnold | C.S. Lewis | Cabeza De Vaca,,
John Peel,37,1986,2006,16,Llewellyn (5) | Pocket Books (5) | Western Pub. Co. (5) | Llewellyn Publications (3) | Puffin Books (3),0,0,0,"All our yesterdays | Book Of Earth (Diadem Worlds of Magic) | Book of magic | Book of Names | Book Of Nightmares (Diadem, Worlds of Magic) | Book of Oceans | Book of reality | Book of signs | Book of Thunder | Doctor Who, the Daleks' masterplan. | Double disaster! | Field trip",,
Charles M. Schulz,33,1967,2015,18,Ravette (7) | Coronet Books (4) | Coronet (4) | Ballantine Books (3) | HarperCollins Childrens Books (2),0,0,2,"A Peanuts Valentine | Born Crabby | Brothers & sisters | Colourful Charlie Brown. | Ft-Charlie Brown Snoo | Get Back to Nature, Snoopy | Guess Who, Charlie Brown? | Hats Off to You, Charlie Brown | Have a Ball, Snoopy | It's Party Time, Snoopy | Kick the ball, Marcie! | Love Isn't Easy",,
Bill Crider,29,1986,2009,14,Walker (6) | St. Martin's Press (4) | Thomas Dunne Books (3) | Thomas Dunne Books/St. Martin's Minotaur (2) | Thorndike Press (2),0,0,0,A bond with death | A dangerous thing | A Knife In The Back | A mammoth murder | A time for hanging | Cursed to death | Dead on the island | Dead soldiers | Death by accident | Galveston gunman | Gator kill | Medicine show,,
William Shakespeare,29,1676,2021,27,"N. Trübner for the New Shakspere Society (2) | Bull, Simmons & co. (1) | G. Schirmer (1) | Random House Audio (1) | Bishopsgate Press (1)",0,1,19,"A book of reference to remarkable passages in Shakespeare | A book of Shakespeare's songs | All the World's a Stage | An Anthology of poetry for Shakespeare | An Exhortation To Peace And Unity | Complete Works | Elizabethan drama | Essential Shakespeare | Flowers from Shakespeare's garden | Henry V, 1789. -- | Illustrations of Aristotle on men and manners, from the dramatic works of Shakespeare | Romeo and Juliet",,
Fred Saberhagen,28,1975,2006,12,T. Doherty Associates (6) | Ace Books (4) | TOR (3) | Tor (3) | Baen Books (3),0,0,2,A century of progress | An armory of swords | An old friend of the family | Berserker | Berserker fury | Brother Assassin | Empire of the East | Golden People | Mindsword's story | Octagon | Pyramids | Shiva in steel,,
Theodore Dreiser,23,1913,2024,21,LibriVox (2) | Boni and Liveright (1) | Horace Liveright (1) | J. Lane (1) | The Century Co. (1),0,1,2,"A book about myself | A gallery of women | A hoosier holiday | A traveler at forty. | An American Tragedy | Art, Music, and Literature, 1897-1902 | Best short stories. | Dreiser looks at Russia | Free, and other stories. | Jennie Gerhardt | Life, art and America | Plays of the natural and the supernatural.",,
Voltaire,20,1736,2007,20,"R. and J. Dodsley (1) | Fielding and Walker (1) | printed by S. Powell, for G. Risk, G. Ewing and W. Smith (1) | Kessinger Publishing, LLC (1) | A. Millar (1)",0,0,0,age of Lewis XIV. | age of Louis XIV. | Alzira | An Essay Upon The Civil Wars Of France | Annals of the Empire from the reign of Charlemagne | Calas affair | Critical essays on dramatic poetry | history of the Russian empire under Peter the Great | philosophical dictionary | Political writings | Siecle De Louis XIV | The general history and state of Europe.,,
Shirl Henke,19,1986,2008,6,Leisure Books (11) | Warner Books (3) | Silhouette (2) | Onyx (1) | Warner books (1),0,0,0,Bouquet | Broken Vows | Finders keepers | Golden Lady | Love a Rebel...Love a Rogue (Leisure Historical Romance) | Love Unwilling | McCrory's Lady | Moon Flower | N ight flower. | Night Wind's Woman | Return to Paradise | Sneak and Rescue,,
Margaret Maron,17,1991,2007,7,Mysterious Press (5) | Crimeline (3) | Robert Hale (3) | Thorndike Press (2) | Warner Books (2),0,0,0,Bloody Kin | bootleggers_daughter | Corpus Christmas. | DEATH IN BLUE FOLDERS (Sigrid Harald Mystery) | Death of a Butterfly | Fugitive colors | Hard row | High country fall | Home fires | Last lessons of summer | PAST IMPERFECT (Sigrid Harald Mystery) | Rituals of the season,,
Joan Wolf,15,1982,2010,8,New American Library (3) | Dutton (3) | Signet (3) | Warner Books (2) | Belgrave House (1),0,0,0,A Double Deception | Born of the Sun | Daughter of the Red Deer | High meadow | His Lordship's Mistress | Someday soon | That summer | The Counterfeit Marriage | The edge of light | The horsemasters | The Poisoned Serpent | The Rebel and the Rose,,
Elizabeth Boyle,14,1997,2009,4,Avon (6) | Dell (3) | Avon Books (3) | Thorndike Press (2),0,0,0,Brazen Angel | Brazen heiress | Brazen Temptress | Confessions of a little black gown | His Mistress By Morning (Avon Romantic Treasure) | It takes a hero | Love Letters From a Duke | No Marriage of Convenience (Avon Romantic Treasure) | Once Tempted (Avon Historical Romance) | One night of passion | Something about Emmaline | Stealing the Bride,,
Jonathan Gash,13,1985,2004,8,Penguin (Non-Classics) (4) | St. Martin's Press (2) | Viking (2) | Ulverscroft Large Print (1) | Wheeler Pub. (1),0,0,0,"A Rag, a Bone, and a Hank of Hair | Bone Dancing | Different women dancing | Gold by Gemini | Moonspender (Lovejoy Mystery) | Paid and Loving Eyes (Lovejoy Mystery) | Pearlhanger | The Gondola Scam (Lovejoy) | The grace in older women | The lies of fair ladies | The rich and the profane | The Sin within Her Smile",,
Ralph Compton,13,1992,2009,4,"Signet (9) | St. Martin's Paperbacks (2) | Thorndike Press (1) | Penguin USA, Inc. (1)",0,0,0,"Autumn of the Gun | Death rides a chestnut mare | Death Rides a Chestnut Mare (Signet Historical Fiction) | Ralph Compton Death Along the Cimarron (Ralph Compton Novels) | Sixguns and Double Eagles | Skeleton Lode (Sundown Riders, #6) | The Border Empire | The dawn of fury | The Deadwood trail | The Goodnight Trail | The Killing Season | The Palo Duro Trail",,
Clarice Lispector,12,1972,2019,6,New Directions (4) | University of Texas Press (3) | University of Minnesota Press (2) | Carcanet (1) | New Directions Pub. (1),0,0,3,"A Breath of Life: Pulsations | An apprenticeship, or, The book of delights | Discovering the world | Family ties. | Soulstorm | The apple in the dark | The Besieged City | The Foreign Legion | The hour of the star | The passion according to G.H. | The stream of life | Água viva",,
Elizabeth Massie,12,1995,2008,8,Pocket Books (4) | Leisure Books (2) | Tor (1) | Steck Vaughn (1) | Tor Teen (1),0,0,1,"1609 | A Forest Community Nf-Sb (Pair-It Books) | A House Divided-A Novel of the Civil War (Young Founders) | Barbara's escape | Homeplace | Maryland | Patsy and the Declaration | Patsy's discovery | Sineater | The Great Chicago Fire, 1871 | The Tudors | Wire mesh mothers",,
Evelyn Richardson,12,1990,2006,2,Signet (11) | New American Library (1),0,0,0,A Foreign Affair | A Lady of Talent | Fortune's Lady | Lady Alex's Gamble | Lord Harry's Daughter | Miss Cresswell's London Triumph | My Lady Nightingale | My Wayward Lady | The Education of Lady Frances / Miss Cresswell's London Triumph | The Gallant Guardian | The Scandalous Widow | The Willful Widow,,
Ray Garton,12,1989,2008,9,Pocket Books (3) | Leisure Books (2) | Leisure (1) | eReads.com (1) | Subterranean Press (1),0,0,0,"All that glitters | Lights, camera, action! | Night Life | Pieces of Hate | Ravenous | Resurrecting Ravana | Sex and Violence in Hollywood | Shackled | The Folks 2 | The Loveliest Dead | The New Neighbor | Warlock",,
David Cody Weiss,11,1993,2003,7,Pocket Books (4) | Simon Pulse (2) | Fun Works (1) | Simon Spotlight Entertainment (1) | Little Brown (1),0,0,3,"Close encounters! | Gargoyles | GO FETCH! SABRINA, THE TEENAGE WITCH #13 (Sabrina The Teenage Witch) | Jingle all the way | Kitty cornered | Now and again | Prom time | Salem on Trial (Sabrina the Teenage Witch #8) | Smallville: Animal Rage | The Arrival:The Journey of Allen Strange #1:Nickelodeon (Journey of Allen Strange) | The tale of the mogul monster",,
Haywood Smith,11,1996,2009,3,St. Martin's Paperbacks (6) | St. Martin's Press (4) | Center Point Pub. (1),0,0,0,Border lord | Damask rose | Dangerous gifts | Highland princess | Ladies of the lake | Queen bee of Mimosa Branch | Secrets In Satin | Shadows In Velvet | The Red Hat Club | The red hat club rides again | Wedding belles,,
