source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,audit_flags
/books/OL12798687M,The Contemplative Soul,Hebrew Poetry and Philosophical Theory in Medieval Spain (Etudes Sur Le Judaisme Medieval),Adena Tanenbaum,1,9789004120914,2003,Brill Academic Publishers,,0,,,STRONG_FOREIGN_FR | FOREIGN_TITLE_FR_2
/books/OL7929569M,Handbook Of Inaesthetics,,Alain Badiou,1,9780804744096,2004,Stanford University Press,Philosophie,0,,,SERIAL_OR_ACADEMIC_TITLE
/books/OL12830098M,Intertextualitat in Der Ubersetzung,W. Jerofejews Moskva--Petuski in Der Ubersetzung Von N. Spitz--Eine Kritische Analyse (Trans Ud. Arbeiten Zur Theoric Und Praxis Des Ubersetzens Un),Alexei Laiko,1,9783631523971,2004,Peter Lang Publishing,Philosophie,0,,,FOREIGN_TITLE_DE_3
/books/OL12777251M,Advances in Cryptology - EUROCRYPT '94,"Workshop on the Theory and Application of Cryptographic Techniques, Perugia, Italy, May 9 - 12, 1994. Proceedings (Lecture Notes in Computer Science)",Alfredo DeSantis,1,9783540601760,1995,Springer,Technologie,0,,,SERIAL_OR_ACADEMIC_TITLE
/books/OL23387986M,Early proceedings of the American philosophical society for the promotion of useful knowledge,,American Philosophical Society.,1,,1884,Press of McCalla & Stavely,Histoire | Philosophie | Sciences,0,,,INSTITUTIONAL_AUTHOR | SERIAL_OR_ACADEMIC_TITLE
/books/OL12830829M,Lesestrategien Und Lesesteuerungs-Strategien Beim Einsatz Literarischer Texte Im Fremdsprachenunterricht,Uberlegungen Aus Relevanztheoretischer Sicht (Posener Beitrage Zur Germanistik),Andrzej Denka,1,9783631542392,2005,Peter Lang Publishing,,0,,,FOREIGN_TITLE_DE_2
/books/OL24779421M,The first part last,,Angela Johnson,1,9780689849220,2003,Simon & Schuster Books for Young Readers,Fiction,0,,,SERIAL_OR_ACADEMIC_TITLE
/books/OL12798908M,Augustine's Confessions,"Communicative Purpose and Audience (Supplements to Vigiliae Christianae, V. 71)",Annemare Kotze,1,9789004139268,2004,Brill Academic Publishers,Histoire,0,,,SERIAL_OR_ACADEMIC_TITLE
/books/OL12703993M,Die Entstehung des modernen Konsums,Darstellung und Erklarungsansatze (Beitrage zur Verhaltensforschung),Ariane Stihler,1,9783428090723,1998,Duncker & Humblot,Histoire,0,,,FOREIGN_TITLE_DE_3
/books/OL12830789M,Korper(sub)versionen,Zum Korperdiskurs in Theatertexten von Elfriede Jelinek Und Werner Schwab (Giessener Arbeiten zur Neueren Deutschen Literatur und Literaturwissenschaft),Artur Pełka,1,9783631541456,2005,Peter Lang Publishing,Histoire | Théâtre,0,,,FOREIGN_TITLE_DE_3
/books/OL12790908M,Korea Through the Ages (Vol. 2 Modern) (2),,Association of Korean History Teachers,1,9788971055465,2005,Yoon Deok-hong (AKS),Histoire,0,,,INSTITUTIONAL_AUTHOR | SERIAL_OR_ACADEMIC_TITLE
/books/OL12661238M,Die Kulturpolitik DES Eubulos Und DES Lykurg Die Denkmaeler - Und Bauprojekte in Athen Zwischen,,B Hintzen-Bohl,1,9783050030302,1997,Wiley-VCH,Histoire | Politique,0,,,FOREIGN_TITLE_DE_2
/books/OL12674145M,Das Corpus Johanneum Bei Irenaus Von Lyon (Wissenschaftliche Untersuchungen Zum Neuen Testament),,Bernhard Mutschler,1,9783161487446,2006,Coronet Books Inc.,Histoire,0,,,FOREIGN_TITLE_DE_2
/books/OL12876861M,The Other Collection,Homage to Hildy and Ernst Beyeler,Beyeler Foundation,1,9783775720236,2007,Hatje Cantz,Arts,0,,,INSTITUTIONAL_AUTHOR
/books/OL24752493M,A ghost of a chance,,Bill Crider,1,9780373263967,2001,New York,Fiction | Histoire | Policier et mystère,2,,,DUPLICATE_LIKE_2
/books/OL6780748M,A ghost of a chance,,Bill Crider,1,9780312208899,2000,Thomas Dunne Books,Fiction | Policier et mystère,2,,,DUPLICATE_LIKE_2
/books/OL24929953M,A romantic way to die,,Bill Crider,1,9780373264407,2002,Worldwide,Fiction | Policier et mystère | Romance,2,,,DUPLICATE_LIKE_2
/books/OL3950030M,A romantic way to die,a Sheriff Dan Rhodes mystery,Bill Crider,1,9780312209070,2001,Thomas Dunne Books,Fiction | Policier et mystère | Romance,2,,,DUPLICATE_LIKE_2
/books/OL17881663M,Murder among the OWLS,,Bill Crider,1,9780312348090,2007,Thomas Dunne Books/St. Martin's Minotaur,Fiction | Policier et mystère,2,,,DUPLICATE_LIKE_2
/books/OL8137830M,Murder Among the Owls,,Bill Crider,1,9780786294756,2007,Thorndike Press,Fiction,2,,,DUPLICATE_LIKE_2
/books/OL12810521M,Experimental Algorithms,"6th International Workshop, WEA 2007, Rome, Italy, June 6-8, 2007, Proceedings (Lecture Notes in Computer Science)",Camil Demetrescu,1,9783540728443,2007,Springer,,0,,,SERIAL_OR_ACADEMIC_TITLE
