source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL13156273M,Los Funerales De Dios/ the Funerals of God (El Ojo Infalible),,A. N. Nilson,1,9789707770188,2006,Oceano De Mexico,Histoire,0,,
/books/OL12996436M,Poder y Opinion Publica,,Adrian Ventura,1,9789507275265,2004,Rubinzal y Asociados Editores,,0,,
/books/OL12954505M,Geopoliticas de Ficcion,,Adriana G. Culasso,1,9789500516389,2006,Corregidor,,0,,
/books/OL16303770M,La ciudad de los elegidos,"crecimiento urbano, jerarquización social y poder político, Bogotá (1910-1950)",Adriana María Suárez Mayorga,1,9789583390661,2006,Adriana María Suárez Mayorga,Histoire | Politique,0,,
/books/OL4465364M,La Orestía,,Aeschylus,1,9788471627896,1979,Bosch,Théâtre,0,,
/books/OL13188399M,"Bunuel, Lorca, Dali, El Enigma Sin Fin",,Agustín Sánchez,1,9788408018070,1996,Planeta Pub Corp,,0,,
/books/OL13192091M,"Ciencia, Cine E Historia",De Melies a 2001 (Libros Singulares (Ls)),Alberto Elena Diaz,1,9788420641409,2005,Alianza Editorial,,0,,
/books/OL12991019M,Iglesias Brickles,,Alberto Petrina,1,9789505330096,2005,Asunto Impreso,,0,,
/books/OL142534M,Los trazos de mercurio,"afiches publicitarios en Uruguay, 1875-1930",Alcides Beretta Curi,1,9789974653306,1998,Aguilar,Histoire,0,,
/books/OL16283083M,El Latino,vanguardia educativa desde los años 50 : testimonios e historias de medio siglo de vida,Alejandro Giménez Rodríguez,1,9789974559776,2006,Colegio y Liceo Latinoamericano,Histoire,0,,
/books/OL3979283M,"Montevideo, genio y figura",,Alejandro Giménez Rodríguez,1,9789974553279,2001,Ediciones El Galeón,Histoire,0,,
/books/OL3979218M,El escudo de plata,,Alejandro Paternain,1,9789974671164,2001,Alfaguara,Fiction | Histoire,0,,
/books/OL20977670M,La cacería,,Alejandro Paternain,1,9788420429939,1999,Alfaguara,Fiction | Histoire,0,,
/books/OL13198928M,Tratado de Fileteado Porteno,,Alfredo Genovese,1,9789872295806,2006,Ediciones Portenas,,0,,
/books/OL16622954M,Callejones y mansiones,espacios de opinión pública y redes sociales y políticas en la Lima del 900,Alicia del Aguila Peralta,1,9789972400872,1997,"Pontificia Universidad Católica del Perú, Fondo Editorial",Histoire | Politique,0,,
/books/OL17020714M,El testimonio peruano oral y las ciencias sociales,una problemática postmoderna,Alicia G Andreu,1,9780970492333,2000,"Centro de Estudios Literarios Antonio Cornejo Polar (CELACP), Latinoamericana Editores",Sciences sociales,0,,
/books/OL13002564M,Coleccion Fotografica del Museo Nacional de Bellas Artes,,Amigos del Museo Nacional de Asociacion,1,9789509536319,2005,La Azotea Editorial Fotografica,,0,,
/books/OL12955929M,Regina y Marcelo,Un Duetto de Amor (Employment & Social Affairs),Ana Maria Cabrera,1,9789500720045,2001,Sudamericana,Fiction,0,,
/books/OL13068286M,"Ah, Pajarita Si Yo Pudiera",,Ana Maria Machado,1,9789580445265,2002,Grupo Editorial Norma,Fiction,0,,
/books/OL13115765M,"Bisa Bea, Bisa Bel",,Ana Maria Machado,1,9789681654634,2005,Fondo de Cultura Económica USA,Fiction | Histoire,0,,
/books/OL13239133M,Currupaco Papaco,,Ana Maria Machado,1,9788434870550,,,Fiction,0,,
/books/OL13228223M,El Canto de la Plaza,,Ana Maria Machado,1,9788427932302,2001,Lectorum Publications,,0,,
/books/OL13115530M,Historia Medio Al Reves,,Ana Maria Machado,1,9789681645458,1992,Fondo De Cultura Economica USA,,0,,
/books/OL13071232M,La tortuga sabia y el mono entrometido/ The Wise Turtle and the Fresh Monkey,,Ana Maria Machado,1,9789584502469,2007,Norma S a Editorial,Fiction,0,,
/books/OL13115611M,Un Pajarito Me Conto/ a Little Bird Told Me,,Ana Maria Machado,1,9789681648343,1992,"Fondo de Cultura Economica, Mexico",Fiction,0,,
/books/OL12995069M,Imagineria y piedad privada en el interior del Virreinato rioplatense,,Ana María Martínez de Sánchez,1,9789506920470,1996,PRHISCO-CONICET,,0,,
/books/OL17061018M,La seducción de un orden,las elites y la construcción de Chile en las polémicas culturales y políticas del siglo XIX,Ana María Stuven,1,9789561405950,2000,Ediciones Universidad Católica de Chile,Histoire | Politique,0,,
/books/OL13002089M,Izquierda y Derecha En El Electorado Brasileno,,Andres Singer,1,9789509231771,2004,Clacso,Politique,0,,
/books/OL13229887M,Introduccion a la Quimica Industrial,,Angel Vian Ortuno,1,9788429179330,1995,Reverte,,0,,
