source_key,title,subtitle,authors,publication_year,isbn,publisher,genres,review_group,decision,reason
/books/OL12996436M,Poder y Opinion Publica,,Adrian Ventura,2004,9789507275265,Rubinzal y Asociados Editores,,ES_FINAL_BATCH_01,KEEP_CORE,Socle hispanophone validé lors de la revue éditoriale ES.
/books/OL12954505M,Geopoliticas de Ficcion,,Adriana G. Culasso,2006,9789500516389,Corregidor,,ES_FINAL_BATCH_01,KEEP_CORE,Socle hispanophone validé lors de la revue éditoriale ES.
/books/OL16303770M,La ciudad de los elegidos,"crecimiento urbano, jerarquización social y poder político, Bogotá (1910-1950)",Adriana María Suárez Mayorga,2006,9789583390661,Adriana María Suárez Mayorga,Histoire | Politique,ES_FINAL_BATCH_01,KEEP_CORE,Socle hispanophone validé lors de la revue éditoriale ES.
/books/OL4465364M,La Orestía,,Aeschylus,1979,9788471627896,Bosch,Théâtre,ES_FINAL_BATCH_01,KEEP_TRANSLATION,Édition ou traduction espagnole validée lors de la revue éditoriale ES.
/books/OL13188399M,"Bunuel, Lorca, Dali, El Enigma Sin Fin",,Agustín Sánchez,1996,9788408018070,Planeta Pub Corp,,ES_FINAL_BATCH_01,KEEP_CORE,Socle hispanophone validé lors de la revue éditoriale ES.
/books/OL13192091M,"Ciencia, Cine E Historia",De Melies a 2001 (Libros Singulares (Ls)),Alberto Elena Diaz,2005,9788420641409,Alianza Editorial,,ES_FINAL_BATCH_01,KEEP_CORE,Socle hispanophone validé lors de la revue éditoriale ES.
/books/OL12991019M,Iglesias Brickles,,Alberto Petrina,2005,9789505330096,Asunto Impreso,,ES_FINAL_BATCH_01,REVIEW,"Notice conservée en revue: langue, édition, attribution, métadonnées, doublon ou pertinence éditoriale restant à confirmer."
/books/OL142534M,Los trazos de mercurio,"afiches publicitarios en Uruguay, 1875-1930",Alcides Beretta Curi,1998,9789974653306,Aguilar,Histoire,ES_FINAL_BATCH_01,KEEP_CORE,Socle hispanophone validé lors de la revue éditoriale ES.
/books/OL16283083M,El Latino,vanguardia educativa desde los años 50 : testimonios e historias de medio siglo de vida,Alejandro Giménez Rodríguez,2006,9789974559776,Colegio y Liceo Latinoamericano,Histoire,ES_FINAL_BATCH_01,KEEP_CORE,Socle hispanophone validé lors de la revue éditoriale ES.
/books/OL3979283M,"Montevideo, genio y figura",,Alejandro Giménez Rodríguez,2001,9789974553279,Ediciones El Galeón,Histoire,ES_FINAL_BATCH_01,KEEP_CORE,Socle hispanophone validé lors de la revue éditoriale ES.
/books/OL3979218M,El escudo de plata,,Alejandro Paternain,2001,9789974671164,Alfaguara,Fiction | Histoire,ES_FINAL_BATCH_01,KEEP_CORE,Socle hispanophone validé lors de la revue éditoriale ES.
