source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,matched_authors
/books/OL13068286M,"Ah, Pajarita Si Yo Pudiera",,Ana Maria Machado,1,9789580445265,2002,Grupo Editorial Norma,Fiction,0,,,Ana Maria Machado
/books/OL13115765M,"Bisa Bea, Bisa Bel",,Ana Maria Machado,1,9789681654634,2005,Fondo de Cultura Económica USA,Fiction | Histoire,0,,,Ana Maria Machado
/books/OL13228223M,El Canto de la Plaza,,Ana Maria Machado,1,9788427932302,2001,Lectorum Publications,,0,,,Ana Maria Machado
/books/OL13115530M,Historia Medio Al Reves,,Ana Maria Machado,1,9789681645458,1992,Fondo De Cultura Economica USA,,0,,,Ana Maria Machado
/books/OL13115611M,Un Pajarito Me Conto/ a Little Bird Told Me,,Ana Maria Machado,1,9789681648343,1992,"Fondo de Cultura Economica, Mexico",Fiction,0,,,Ana Maria Machado
/books/OL24203440M,Ciencia preguntas y respuestas,,Anita Ganeri,1,9781894551007,2000,International Sales and Design Associates,Jeunesse | Sciences,0,,,Anita Ganeri
/books/OL13220293M,El Viento Sopla,"Y Otras Preguntas Sobre Nuetros Planeta (Enciclopedia ""Me Pregunto Por Que)",Anita Ganeri,1,9788424121747,1996,Everest Pub,Jeunesse,0,,,Anita Ganeri
/books/OL13265247M,"Bestia Oculta - 12, La",,Christopher Pike,1,9788440676528,1998,Ediciones B,,0,,,Christopher Pike
/books/OL13265083M,"Cueva Embrujada - 3, La",,Christopher Pike,1,9788440668714,1997,Ediciones B,Fiction | Policier et mystère,0,,,Christopher Pike
/books/OL13265082M,El Aullido del Fantasma - 2,,Christopher Pike,1,9788440668707,1997,Ediciones B,Fiction,0,,,Christopher Pike
/books/OL13265160M,El Gato Malvado - 10,,Christopher Pike,1,9788440672896,1997,Ediciones B,,0,,,Christopher Pike
/books/OL13265140M,El Rincon Oscuro - 7,,Christopher Pike,1,9788440672315,1997,Ediciones B,Fiction,0,,,Christopher Pike
/books/OL13265139M,Extraños visitantes!,,Christopher Pike,1,9788440672308,1997,Ediciones B,,0,,,Christopher Pike
/books/OL13265432M,Fantasmaville - 15 - La Invasion de Las Nadi,,Christopher Pike,1,9788440685346,1998,Ediciones B,,0,,,Christopher Pike
/books/OL13265152M,La Piedra de Los Deseos - 9,,Christopher Pike,1,9788440672575,1997,Ediciones B,Fiction,0,,,Christopher Pike
/books/OL13265081M,La Senda Secreta - 1,,Christopher Pike,1,9788440668691,1997,Ediciones B,Fiction,0,,,Christopher Pike
/books/OL13265141M,La Venganza de la Bruja,,Christopher Pike,1,9788440672322,1997,Ediciones B,Fantasy,0,,,Christopher Pike
/books/OL13265084M,Los Extraterrestres - 4,,Christopher Pike,1,9788440668721,1997,Ediciones B,Fiction,0,,,Christopher Pike
/books/OL13265142M,Los Monstruos de Hielo - 5,,Christopher Pike,1,9788440672339,1997,Ediciones B,,0,,,Christopher Pike
/books/OL13265433M,"Maleficio del Tiempo, El",,Christopher Pike,1,9788440685353,1999,Grupo Zeta,,0,,,Christopher Pike
/books/OL13265409M,"Monstruoso Profesor, El",,Christopher Pike,1,9788440684035,1998,Ediciones B,,0,,,Christopher Pike
/books/OL13265246M,Pasado Mortal - 11,,Christopher Pike,1,9788440676511,1998,Ediciones B,Fiction,0,,,Christopher Pike
/books/OL4015360M,Clarice Lispector,,Clarice Lispector,1,9788428212601,2001,Ediciones Omega,Biographie,0,,,Clarice Lispector
/books/OL13311252M,La hora de la estrella (Libros del Tiempo),,Clarice Lispector,1,9788478445103,2000,Siruela,Fiction,0,,,Clarice Lispector
/books/OL13311354M,La Manzana En La Oscuridad,,Benjamin Moser | Elena Losada | Clarice Lispector,3,9788478446858,2003,Siruela,Fiction | Policier et mystère,0,,,Clarice Lispector
/books/OL25448081M,La mujer que mató a los peces,,Clarice Lispector,1,9788493637804,2008,Sabina,Fiction,0,,,Clarice Lispector
/books/OL35067067M,La pasión según G. H.,,Clarice Lispector,1,9788415803584,2021,Siruela,Fiction | Philosophie | Romance,0,,,Clarice Lispector
/books/OL22935401M,Lazos de familia,,Clarice Lispector,1,9789586013321,1988,Montesinos,Fiction,0,,,Clarice Lispector
/books/OL26368422M,"Un aprendizaje, o, El libro de los placeres",,Clarice Lispector,1,9789500519175,2011,Corregidor,Fiction,0,,,Clarice Lispector
/books/OL23118364M,Ambiciones imperiales,el mundo después del 11-S : entrevistas inéditas con David Barsamian,David Barsamian | David Barsamian | Noam Chomsky | Anna Llisterri Boix,4,9788483077351,2006,Ediciones Península,Politique,0,,,David Barsamian | Noam Chomsky
/books/OL13226768M,Espadas contra la Muerte,,Fritz Leiber,1,9788427010123,1986,Martinez Roca S a Ediciones,Fantasy | Fiction,0,,,Fritz Leiber
/books/OL22915766M,Espadas entre la niebla,,Fritz Leiber,1,9788427011564,1987,Ediciones Martinez Roca,Fantasy | Fiction | Science-fiction,0,,,Fritz Leiber
/books/OL25570472M,Ha gase la oscuridad!,,Fritz Leiber | Jonathan Davis,2,9788477354352,1987,Ediciones B,Fiction | Science-fiction,0,,,Fritz Leiber
/books/OL27582920M,Nuestra señora de las tinieblas,,Charles Busch | Fritz Leiber,2,9788495741196,2002,Pulp,Fantasy | Fiction,0,,,Fritz Leiber
/books/OL13268209M,Lago del Sol Largo,,Gene Wolfe,1,9788445072196,2004,Minotauro,Fiction,0,,,Gene Wolfe
/books/OL13226844M,Soldado de Arete,,Gene Wolfe,1,9788427014916,1991,Martinez Roca,Fiction | Histoire,0,,,Gene Wolfe
/books/OL25874368M,Rebelión en la granja,,George Orwell,1,9788423340668,2009,Booket,Fiction | Politique,0,,,George Orwell
/books/OL47439639M,La condición humana,,Hannah Arendt,1,9788408224860,2020,Austral,Philosophie | Politique | Sciences sociales | Technologie | Économie et entreprise,0,,,Hannah Arendt
