source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,audit_flags
/books/OL13156273M,Los Funerales De Dios/ the Funerals of God (El Ojo Infalible),,A. N. Nilson,1,9789707770188,2006,Oceano De Mexico,Histoire,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL13002564M,Coleccion Fotografica del Museo Nacional de Bellas Artes,,Amigos del Museo Nacional de Asociacion,1,9789509536319,2005,La Azotea Editorial Fotografica,,0,,,AUTHOR_ENTITY_SUSPECT
/books/OL13071232M,La tortuga sabia y el mono entrometido/ The Wise Turtle and the Fresh Monkey,,Ana Maria Machado,1,9789584502469,2007,Norma S a Editorial,Fiction,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL13283887M,En Vez De Ver La Tele/ Instead of Watching TV (Familia),,Anna Huete,1,9788475563862,2005,Grupo Oceano,Sciences,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL13188949M,El Guante / The Glove,,Antonio Larreta,1,9788408042495,2002,Planeta,Fiction,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL2739510M,The last song of Manuel Sendero,,Ariel Dorfman,1,9780670802142,1987,Viking,,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL385689M,The nanny and the iceberg,,Ariel Dorfman,1,9780374218980,1999,"Farrar, Straus, Giroux",Fiction,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL13118327M,Las Guerras Que Vienen/the Wars to Come,Riesgos para Las Democracias Ante Nuevos Conflictos Mundiales,Baltasar Garzón | Ana Maria Salazar,2,9789681913069,2003,Alfaguara,Politique,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL13073066M,Fin De Milenio : Nuevos Artistas Cubanos / End Of The Millenium : New Cuban Artists,New Cuban Artists,Carina Pino-Santos,1,9789591006196,2001,Editorial Letras Cubanas,,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL12956360M,Descubriendo los colores/ Discovering the Colors,A traves del arte/ Through Art (Descubriendo/ Discovering),Carolina Micha,1,9789500726498,2007,Sudamericana,Arts | Jeunesse,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL16235928M,La etnoeducación en la construcción de sentidos sociales,"2. Congreso Nacional Universitario de Etnoeducación, Popayán, junio de 2000 : memorias.","Congreso Nacional Universitario de Etnoeducación (2nd 2000 Popayán, Colombia)",1,9789586110891,2003,Instituto Caro y Cuervo,,0,,,AUTHOR_ENTITY_SUSPECT | SPECIALIZED_CONTENT
/books/OL12956374M,La Furia De Buenos Aires / The Fury of Buenos Aires,,Daniel Larriqueta,1,9789500726634,2005,Sudamericana,Fiction | Histoire,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL13203487M,Moluscos Magallánicos. Guía de moluscos de Patagonia y Sur de Chile,,Daniel Oscar Forcelli | Daniel Forcelli,2,9789879132012,2000,Zagier & Urruty Pubns,,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL17175998M,Diversidad cultural e interculturalidad,,"Encuentros sobre ""Diversidad Cultural e Interculturalidad"" (2001 Universidad Nacional de General Sarmiento)",1,9789875740808,2006,Universidad Nacional de General Sarmiento,,0,,,AUTHOR_ENTITY_SUSPECT
/books/OL13002128M,XII Jornadas de Historia del Pensamiento Cientifico Argentino: Actas: La Mujer Cientifica,22-243 [Sic] de Octubre 2004,Fundaci on Para El Estudio del Pensamien,1,9789509262263,2005,Ediciones FEPAI,,0,,,SPECIALIZED_CONTENT
