source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL17490617M,Le pour et le contre,"ou, Avis à ceux qui se preposent de passer dans les États-Unis d'Amérique, suivi d'une description de Kentucky et du Genesy, deux des nouveaux éstablissemens les plus considérables de cette partie du nouveau monde",[Jean] Louis Bridel,1,,1974,"Levrault, Schoell",Voyage,0,,
/books/OL22538607M,Les actes comme expression du pouvoir au Haut Moyen œge,"actes de la Table Ronde de Nancy, 26-27 novembre 1999",[name missing],1,9782503521855,2003,Brepols,Histoire,0,,
/books/OL12657649M,Palabres Sous Le Baobab,,A De Hontheim,1,9782930052335,2000,Ab,Histoire | Voyage,0,,
/books/OL27087534M,Siegfried,La Walkyrie,A. Alice,1,9782205062267,2011,,,0,,
/books/OL12625816M,En attendant Goudou,,A. Clairmont,1,9782845470033,1999,H & O,Fiction,0,,
/books/OL22883791M,Itineraire de Quebec à Chicago,,A. G. Gérard,1,,1868,C. O. Beauchemin & Valois,Voyage,2,,
/books/OL23345197M,Itinéraire de Québec à Chicago,,A. G. Gérard,1,9780665033292,1868,Beauchemin & Valois,Voyage,2,,
/books/OL5416547M,Style and civilizations.,,A. L. Kroeber,1,9780837169668,1973,Greenwood Press,Philosophie,0,,
/books/OL32637094M,Les Mechants,,Aaron Blabey,1,9781443154857,2016,Scholastic,Fiction,0,,
/books/OL9011860M,Children of Abraham/Les Enfants D'Abraham,,Abbas.,1,9782916355016,2007,Editions Intervalles,Voyage,0,,
/books/OL20107761M,Pratique de l'art oratoire de Delsarte,,abbé Delaumosne,1,,1874,Albanel,,0,,
/books/OL12628115M,Le Corps oriental,,Abdelkebir Katibi,1,9782850258442,2002,Hazan,,0,,
/books/OL3230552M,Le chemin des ordalies,roman,Abdellatif Laâbi,1,9782207228302,1982,Denoël,,0,,
/books/OL3641141M,Le fond de la jarre,roman,Abdellatif Laâbi,1,9782070765638,2002,Gallimard,Fiction | Histoire,0,,
/books/OL898293M,Le juge de l'ombre,théâtre,Abdellatif Laâbi,1,9782729110222,1994,Editions de la Différence,Philosophie | Théâtre,0,,
/books/OL1807193M,Les rides du lion,roman,Abdellatif Laâbi,1,9782209061242,1989,Messidor,,0,,
/books/OL21413224M,Ibn Khaldûn,L'homme et le théoricien de la civilisation,Abdesselam Cheddadi,1,9782070764969,2006,Gallimard,Histoire | Philosophie,0,,
/books/OL12664525M,Neuzeitliches Denken,"Festschrift Fur Hans Poser Zum 65, Geburststag",Abel Gunter,1,9783110175165,2002,Walter De Gruyter Inc,Histoire | Philosophie | Sciences | Technologie,0,,
/books/OL12652723M,Compacite (de la),,Abensour/Miguel,1,9782910170448,1997,Sens et Tonka,Histoire,0,,
/books/OL20495685M,Religion et développement de la personnalité,"compte rendu du 2e colloque de l'Académie de religion et de santé mentale, Arden House, Harriman (N.Y., U.S.A.).",Academy of Religion and Mental Health. Academy Symposium,1,,1968,Éditions du Cerf,,0,,
/books/OL23345773M,Table générale et méthodique des Mémoires contenus dans les recueils de l'Académie des inscriptions et belles-lettres et de l'Académie des sciences morales et politiques.,,Académie des inscriptions & belles-lettres (France),1,,1856,A. Durand,,0,,
/books/OL23289223M,Collection des livrets des anciennes expositions depuis 1673 jusqu'en 1800.,,Académie royale de peinture et de sculpture (France),1,,1869,Liepmannssohn et Dufour,Arts,2,,
/books/OL14036163M,"Procès-verbaux de l'Académie royale de peinture et de sculpture, 1648-1793.",Publiés pour la Société de l'histoire de l'art français d'après les registres originaux conservés à l'École des beaux-arts,Académie royale de peinture et de sculpture (France),1,,1875,J. Baur,Arts | Histoire,0,,
/books/OL6989300M,"La morphologie sociale, conférences tenues à l'Université nouvelle de Bruxelles au mois de mars 1905.",,Achille Loria,1,,1905,"Veuve F. Larcier; [etc., etc.]",Sciences sociales,0,,
/books/OL23451248M,Problèmes sociaux contemporains,,Achille Loria,1,,1897,V. Giard & E. Brière,Sciences sociales,0,,
/books/OL20224852M,Savoirs du lointain et sciences sociales,"actes colloque, Sidi-Bou Saïd, 30 et 31 mars 2001","Actes colloque (Sidi-Bou Saïd, Tunis) (30 et 31 mars 2001)",1,9782912946690,2004,Editions Bouchène,Histoire | Sciences sociales,0,,
/books/OL26388382M,La Vie volée de Jun Do,,Adam Johnson,1,9782823605198,2014,Éditions de l'Olivier,Fiction | Histoire | Thriller,0,,
/books/OL18315240M,L' interdisciplinarité,,Adam Karpinski,1,9780777000496,1972,Presses de l'Université du Québec,Sciences sociales,0,,
/books/OL12384833M,L'étrange histoire de Peter Schlemihl,,Adelbert von Chamisso,1,9782013217200,2000,Hachette Littérature,Fiction | Jeunesse,0,,
/books/OL26525606M,Feuilles d'automne,recit,Adeline Yen Mah,1,9782744151866,2002,France loisirs,Biographie | Histoire,0,,
/books/OL36373105M,Mon Combat - Mein Kampf,,Adolf Hitler,1,9781913890483,2016,Omnia Veritas Limited,Biographie | Histoire | Politique,0,,
/books/OL12467090M,Journal de la guerre au cochon,,Adolfo Bioy Casares,1,9782253039402,1986,LGF,,0,,
/books/OL4308166M,Un Français chez les Lincoln,lettres inédites adressées pendant la guerre de Sécession par Adolphe de Chambrun à son épouse restée en France.,Adolphe de Pineton marquis de Chambrun,1,9782262000387,1976,Librairie académique Perrin,Histoire | Voyage,0,,
/books/OL32230215M,Les intrus,,Adrian Tomine,1,9782360811045,2015,CORNELIUS,,0,,
/books/OL13994048M,Anthologie d'art,"sculpture, peinture ; Orient, Grèce, Rome, moyen âge, renaissance, XVIIe et XVIIIe siècles, époque contemporaine.",Afred Lenoir,1,,1910,Colin,Arts | Histoire,0,,
/books/OL19451742M,Les églises flamboyantes de Paris,XVe-XVIe siècles,Agnès Bos,1,9782708407022,2003,Picard,,0,,
/books/OL21297687M,Les femmes du fleuve,roman,Aimée Laberge,1,9782764403358,2004,Québec Amérique,Fiction | Histoire,0,,
/books/OL37794557M,Bloody Mary,,Akaza Samamiya,1,9782302056084,2016,Soleil,,0,,
/books/OL47775454M,"Yu-Gi-Oh ! R, Tome 2",,Akira Itao,1,9782871299370,2006,Kana,,0,,
/books/OL37750034M,Yu-Gi-Oh! R - Tome 3,,Akira Itao,1,9782505002406,2007,KANA,BD et romans graphiques | Fiction,0,,
/books/OL27014446M,Culture diktat,,Al Coutelis,1,9782203389571,2001,Casterman,,0,,
/books/OL12449523M,"A.D. Grand-Rivière, tome 4",Bouskachi,Al Coutelis | Bollée,2,9782203390010,2003,Casterman,,0,,
/books/OL64800M,Abrégé de métapolitique,,Alain Badiou,1,9782020348874,1998,Seuil,Philosophie | Politique,0,,
/books/OL756293M,Deleuze,la clameur de l'être,Alain Badiou,1,9782012352223,1997,Hachette,,0,,
/books/OL19525928M,Le concept de modèle,introduction à une épistémologie matérialiste des mathématiques,Alain Badiou,1,9782213634814,2007,Fayard,Philosophie,0,,
/books/OL22267480M,Saint Paul,la fondation de l'universalisme,Alain Badiou,1,,2002,Presses universitaires de France,,0,,
/books/OL8834366M,Conditions (L'Ordre philosophique),,Alain Badiou | Badiou | Steven Corcoran | Alain Badiou,4,9782020182591,1998,Editions du Seuil,Philosophie,0,,
/books/OL3056779M,Théorie du sujet,,Alain Badiou | Bruno Bosteels | Alain Badiou | BADIOU ALAIN,4,9782020061155,1982,Seuil,,0,,
