source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,second_pass_score,second_pass_flags
/books/OL3467365M,Iberê Camargo,,Iberê Camargo,1,9782902067459,2005,Musée des beaux-arts de Bordeaux,,0,,,6,TWO_WORD_TITLE_NO_SUBTITLE | TITLE_EQUALS_AUTHOR | SHORT_ART_CATALOGUE_TITLE
/books/OL18696711M,James Ensor,catalogue raisonné des peintures : xavier tricot.,Joachim Heusinger von Waldegg | Rudolf Schmitz | Xavier Tricot | James Ensor,4,9782850472060,1992,La Bibliotheq̀ue des Arts,Arts | Biographie,0,,,6,TITLE_EQUALS_AUTHOR | SHORT_ART_CATALOGUE_TITLE | AUTHOR_COUNT_4
/books/OL6150461M,Poèmes.,,Charles Baudelaire,1,,1933,Gonin Frères,Histoire | Politique,0,,,5,ONE_WORD_TITLE_NO_SUBTITLE | GENERIC_SINGLE_WORD_TITLE
/books/OL21682869M,David Hockney,"dessins et gravures [catalogue de l'exposition à la] Galerie Claude Bernard, Paris, avril 1975.",David Hockney,1,,1975,Galerie Claude Bernard,,0,,,5,TITLE_EQUALS_AUTHOR | SHORT_ART_CATALOGUE_TITLE
/books/OL12628033M,Erró,"1984-1998, IIIe catalogue général",Erró,1,9782850256448,1998,Hazan,,0,,,5,TITLE_EQUALS_AUTHOR | SHORT_ART_CATALOGUE_TITLE
/books/OL25426021M,Journal,,Keith Haring,1,9782081279421,2012,Flammarion,Arts,0,,,5,ONE_WORD_TITLE_NO_SUBTITLE | GENERIC_SINGLE_WORD_TITLE
/books/OL15240780M,Mimmo Paladino,le guetteur,Mimmo Paladino,1,9782729102968,1988,Galerie Beaubourg,,0,,,5,TITLE_EQUALS_AUTHOR | SHORT_ART_CATALOGUE_TITLE
/books/OL61122647M,Richard Stankiewicz,sculptures,Richard Stankiewicz,1,,1989,Zabriskie,,0,,,5,TITLE_EQUALS_AUTHOR | SHORT_ART_CATALOGUE_TITLE
/books/OL4626506M,Yosl Bergner,"peintures d'après Franz Kafka : exposition, 3 juin-30 juin 1976",Yosl Bergner,1,,1976,Galerie Hardy,,0,,,5,TITLE_EQUALS_AUTHOR | SHORT_ART_CATALOGUE_TITLE
/books/OL22926359M,Amedeo Modigliani,,Amedeo Modigliani,1,,1958,Edizioni del Milione,Arts | Biographie | Jeunesse,0,,,4,TWO_WORD_TITLE_NO_SUBTITLE | TITLE_EQUALS_AUTHOR
/books/OL44485904M,David Claerbout,,David Claerbout,1,9782907672191,2015,FRAC Auvergne,Arts,0,,,4,TWO_WORD_TITLE_NO_SUBTITLE | TITLE_EQUALS_AUTHOR
/books/OL22473395M,Eugène Atget,,Eugène Atget,1,,1984,Union des Editions modernes,,0,,,4,TWO_WORD_TITLE_NO_SUBTITLE | TITLE_EQUALS_AUTHOR
/books/OL34394675M,Germaine Richier,,Germaine Richier,1,9780986060601,2016,Lévy Gorvy,Arts | Philosophie,0,,,4,TWO_WORD_TITLE_NO_SUBTITLE | TITLE_EQUALS_AUTHOR
/books/OL22817037M,Magritte,,Jacques Dopagne,1,9782908901924,2003,Galerie nationale du Jeu de Paume,,0,,,4,ONE_WORD_TITLE_NO_SUBTITLE | SHORT_ART_CATALOGUE_TITLE
/books/OL20452221M,Robert Frost,,Robert Frost,1,,1964,Seghers,Politique,0,,,4,TWO_WORD_TITLE_NO_SUBTITLE | TITLE_EQUALS_AUTHOR
/books/OL28511974M,Annette Messager,Les Tortures Volontaires,Annette Messager,1,9783775736862,2013,Hatje Cantz Verlag GmbH & Co KG,,0,,,3,TITLE_EQUALS_AUTHOR
/books/OL22481366M,Antoni Tàpies,o l'escarnidor de diademes,Antoni Tàpies,1,,1971,Ediciones Polígrafa,Arts | Philosophie,0,,,3,TITLE_EQUALS_AUTHOR
/books/OL20157169M,Federico García Lorca,,Caridad Svich | Federico García Lorca,2,,1962,Seghers,Théâtre,0,,,3,TITLE_EQUALS_AUTHOR
/books/OL16474067M,Clarice Lispector,rencontres brésiliennes,Clarice Lispector,1,9782890316089,2007,Triptyque,Biographie,0,,,3,TITLE_EQUALS_AUTHOR
/books/OL6322587M,Facundo,,Domingo Faustino Sarmiento | Domingo Faustino Sarmiento | Domingo F. Sarmiento | 12,4,,1934,Institut international de coopération intellectuelle,Biographie | Histoire | Voyage,0,,,3,ONE_WORD_TITLE_NO_SUBTITLE | AUTHOR_COUNT_4
/books/OL3748564M,Henri Lefebvre,key writings,Henri Lefebvre,1,9780826466457,2003,Continuum,Philosophie | Sciences sociales,0,,,3,TITLE_EQUALS_AUTHOR
/books/OL21811537M,Jasper Johns,"l'oeuvre graphique de 1960 à 1985 : 17 mai-30 juin, Fondation Maeght, Saint-Paul.",Jasper Johns,1,9782900923092,1986,La Fondation,,0,,,3,TITLE_EQUALS_AUTHOR
/books/OL43836280M,Malick Sidibé,retrats : 17 setembre-8 novembre 2009,Manthia Diawara | Gunilla Knape | Malick Sidibé,3,9788495267207,2009,Ajuntament de Palma,,0,,,3,TITLE_EQUALS_AUTHOR
/books/OL17238170M,Rodolphe Töpffer,the complete comic strips,Rodolphe Töpffer,1,9781578069460,2007,University Press of Mississippi,,0,,,3,TITLE_EQUALS_AUTHOR
/books/OL8836961M,Théophile Gautier,"Romans, contes et nouvelles, tome 2",Théophile Gautier,1,9782070106721,2002,Gallimard,,0,,,3,TITLE_EQUALS_AUTHOR
/books/OL12392071M,Victor Hugo,"Théatre complet, tome 1",Victor Hugo,1,9782070102655,1964,Gallimard,Voyage,0,,,3,TITLE_EQUALS_AUTHOR
