source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL12805868M,"La +Vita; E I +Miracoli; Di Libanos Aeth. 106, V.",,A. Bausi,1,9789042911611,2003,Not Avail,,0,,
/books/OL25326597M,Gli Eredi di Gilgamesh,Dai sumeri alla civiltà democratica,Abdullah Öcalan | Klaus Happel,2,9788883511486,2011,Punto Rosso,Histoire,0,,
/books/OL7174822M,Contemporary social problems,a course delivered at the University of Padua,Achille Loria,1,,1911,Swan,Sciences sociales,0,,
/books/OL55242657M,Mein Kampf,,Adolf Hitler,1,9781523324538,2016,CreateSpace Independent Publishing Platform,Biographie | Histoire | Politique,0,,
/books/OL17496380M,Diario della guerra del maiale,,Adolfo Bioy Casares,1,9788885419407,1997,Giunti,,0,,
/books/OL59568075M,Oresteia,,Aeschylus,1,9788811810520,2017,Garzanti,Théâtre,0,,
/books/OL26397147M,Alien Nation,,Alan Dean Foster,1,9788845402302,1989,Sonzogno,,0,,
/books/OL62359422M,Filogenesi,,Alan Dean Foster,1,,2002,Nord,Fiction | Science-fiction,0,,
/books/OL62359808M,Flinx nella terra di mezzo,,Alan Dean Foster,1,,1995,Editrice Nord,Fiction | Science-fiction,0,,
/books/OL62359805M,For Love of Mother-Not,,Alan Dean Foster,1,,1984,Editrice Nord,Fiction | Science-fiction,0,,
/books/OL62359748M,Incontri pericolosi,,Alan Dean Foster,1,,2003,Editrice Nord,Fiction | Science-fiction,0,,
/books/OL62359815M,Krull,,Alan Dean Foster,1,,1984,Urania,Fantasy | Science-fiction,0,,
/books/OL62359803M,La fine della vicenda,,Alan Dean Foster,1,,1982,Editrice Nord,Fiction,0,,
/books/OL62359797M,Stella orfana,,Alan Dean Foster,1,,1979,Editrice Nord,Fiction | Science-fiction,0,,
/books/OL62359759M,Terra di Mezzo,,Alan Dean Foster,1,,1977,Editrice Nord,Fiction,0,,
/books/OL13430429M,Le Muse a Los Angeles,,Alberto Arbasino,1,9788845915116,2000,Adelphi,Arts,0,,
/books/OL20000805M,Orologi da polso,,Alberto Uglietti,1,9788871795492,2007,F. Motta,Histoire,0,,
/books/OL12648442M,La réception des ecrits italiens en France a la renaissance,,Alfredo Perifano,1,9782900478233,1981,Ctre Rech. Renaissance,Histoire,0,,
