source_key,title,subtitle,authors,publication_year,isbn,publisher,genres,review_group,decision,reason
/books/OL62359805M,For Love of Mother-Not,,Alan Dean Foster,1984,,Editrice Nord,Fiction | Science-fiction,FIRST_PASS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL12648442M,La réception des ecrits italiens en France a la renaissance,,Alfredo Perifano,1981,9782900478233,Ctre Rech. Renaissance,Histoire,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL4423974M,The discourses.,,Alissa Ardito | Henry Neville | Niccolò Machiavelli | Nathan Tarcov | Harvey C. Mansfield | Ninian Hill Thomson,1970,9780140400144,Penguin Books,Histoire | Philosophie | Politique | Sciences sociales,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL14021472M,Manuale di storia dell'arte,,Anton Heinrich Springer,1916,,Istituto italiano d'arti grafiche,Arts | Histoire,FIRST_PASS,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL6504811M,...Politics and morals,,Benedetto Croce,1946,,G. Allen & Unwin ltd.,Politique,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL13434626M,I Colori del Divino,,Biblioteca Riccardiana,2001,9788883042881,Polistampa,,FIRST_PASS,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL22348590M,"Told in confidence, and other stories",,Cesare Pavese,1971,9780720603903,Owen,Fiction,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL4991727M,"Domenico Bollani, Bishop of Brescia",devotion to church and state in the republic of Venice in the sixteenth century,Christopher Cairns,1976,9789060043462,De Graaf,Biographie,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL15539218M,Giacomo Leopardi e il pensiero scientifico,,"Convegno ""Leopardi e il pensiero scientifico"" (1998 Rome, Italy)",2001,9788886095624,Fahrenheit 451,,FIRST_PASS,KEEP_CORE,Socle italien validé lors de la revue éditoriale IT.
/books/OL20483648M,Le Paradis du Dante,,Dante Alighieri,1860,,M. Lévy frères,,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL1010134M,The complete lyric poems of Dante Alighieri,,Dante Alighieri,1997,9780773486942,Edwin Mellen Press,Religion,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL901136M,Henry Moore,gli ultimi 10 anni.,Herbert Edward Read | J. Hedgecoe | David Sylvester | Alan Bowness | Henry Moore | Ann Garrould,1995,9788881180127,Skira,Arts | Biographie,FIRST_PASS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
/books/OL22772638M,Veinte mil leguas de viaje submarino,,Jules Verne,1971,,Editorial Bruguera,Fiction | Jeunes adultes | Jeunesse | Science-fiction | Thriller,FIRST_PASS,REPLACE,"Notice à remplacer: édition étrangère, classement linguistique inadéquat ou qualité bibliographique insuffisante pour le socle IT."
/books/OL12849729M,"Studia Patristica. Vol. XIX -- Historica, Theologica, Gnostica, Biblica et Apocrypha.",,Livingstone E.A.,1989,9789068312317,Peeters,Histoire,FIRST_PASS,REVIEW,"Notice conservée en revue: langue, édition, attribution, doublon ou qualité bibliographique restant à confirmer."
