source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,matched_authors
/books/OL26397147M,Alien Nation,,Alan Dean Foster,1,9788845402302,1989,Sonzogno,,0,,,Alan Dean Foster
/books/OL62359422M,Filogenesi,,Alan Dean Foster,1,,2002,Nord,Fiction | Science-fiction,0,,,Alan Dean Foster
/books/OL62359808M,Flinx nella terra di mezzo,,Alan Dean Foster,1,,1995,Editrice Nord,Fiction | Science-fiction,0,,,Alan Dean Foster
/books/OL62359748M,Incontri pericolosi,,Alan Dean Foster,1,,2003,Editrice Nord,Fiction | Science-fiction,0,,,Alan Dean Foster
/books/OL62359815M,Krull,,Alan Dean Foster,1,,1984,Urania,Fantasy | Science-fiction,0,,,Alan Dean Foster
/books/OL62359803M,La fine della vicenda,,Alan Dean Foster,1,,1982,Editrice Nord,Fiction,0,,,Alan Dean Foster
/books/OL62359797M,Stella orfana,,Alan Dean Foster,1,,1979,Editrice Nord,Fiction | Science-fiction,0,,,Alan Dean Foster
/books/OL62359759M,Terra di Mezzo,,Alan Dean Foster,1,,1977,Editrice Nord,Fiction,0,,,Alan Dean Foster
/books/OL20203259M,Il cromosoma Calcutta,,Amitav Ghosh,1,9788806156107,,Einaudi,Fiction,0,,,Amitav Ghosh
/books/OL23942462M,Mare di Papaveri,,Amitav Ghosh,1,9788854502208,2009,Neri Pozza,Fiction | Histoire,0,,,Amitav Ghosh
/books/OL39813735M,Gli anni,,Annie Ernaux,1,9788898038169,2015,L'orma,Biographie | Histoire,0,,,Annie Ernaux
/books/OL32132773M,Il posto,,Annie Ernaux,1,9788898038152,2014,L'orma,Fiction,0,,,Annie Ernaux
/books/OL47519662M,La vergogna,,Annie Ernaux,1,9788899793593,2018,L'orma,Biographie,0,,,Annie Ernaux
/books/OL13430352M,Il Piccolo Principe,,Antoine de Saint-Exupéry,1,9788845230455,2002,Distribooks Inc,Fantasy | Fiction | Philosophie | Théâtre,0,,,Antoine de Saint-Exupéry
/books/OL47938633M,Pilota di guerra,,Antoine de Saint-Exupéry,1,,1944,Casa editrice Partenia,Biographie,0,,,Antoine de Saint-Exupéry
/books/OL38212484M,Volo di notte,,Antoine de Saint-Exupéry,1,9788804347002,1991,Mondadori,Biographie | Fiction,0,,,Antoine de Saint-Exupéry
/books/OL16522151M,Autorità e individuo.,,Bertrand Russell,1,,1971,Longanesi,Philosophie | Politique,0,,,Bertrand Russell
/books/OL15457632M,L' ABC della relatività.,,Bertrand Russell,1,,1976,Longanesi,Sciences,0,,,Bertrand Russell
/books/OL16197094M,L' analisi della materia.,,Bertrand Russell,1,,1964,Longanesi,Philosophie,0,,,Bertrand Russell
/books/OL35719243M,1984,,George Orwell,1,9788804627821,2013,Mondadori,Fantasy | Fiction | Politique | Science-fiction | Théâtre,0,,,George Orwell
/books/OL27068301M,La fattoria degli animali,,George Orwell,1,9788804492528,2007,Mondadori,Fiction | Politique,0,,,George Orwell
/books/OL36691977M,L'uomo che credeva di non avere più tempo,,Guillaume Musso,1,9788848603393,2006,Sonzogno,,0,,,Guillaume Musso
/books/OL27083962M,Quando si ama non scende mai la notte,,Guillaume Musso,1,9788817019989,2008,Rizzoli,Fiction,0,,,Guillaume Musso
/books/OL25562053M,Sulla violenza,,Hannah Arendt,1,9788882463885,2002,U. Guanda,Philosophie | Politique,0,,,Hannah Arendt
/books/OL16607252M,Vita activa,la condizione umana,Hannah Arendt,1,,1991,Bompiani,Philosophie | Politique | Sciences sociales | Technologie | Économie et entreprise,0,,,Hannah Arendt
/books/OL13851630M,Betsy,,Harold Robbins,1,,1976,Club Italiano dei Lettori,,0,,,Harold Robbins
/books/OL13852935M,I mercanti di sogni,,Harold Robbins,1,,1984,Arnoldo Mondadori Editore,,0,,,Harold Robbins
/books/OL31955606M,Bartleby lo scrivano,una storia di Wall Street,Herman Melville,1,9788817067997,2013,Rizzoli,Biographie | Fiction,0,,,Herman Melville
/books/OL25264802M,Billy Budd il marinaio,,Herman Melville,1,9788879832007,1993,Newton,Fiction,0,,,Herman Melville
/books/OL24591549M,"Moby-Dick, la balena bianca (italian edition)",la balena bianca,Herman Melville,1,,2010,luca pecchini,Fiction | Histoire | Théâtre,0,,,Herman Melville
/books/OL27108351M,Taipi,(sguardo alla vita Polinesiana),Herman Melville,1,,1951,A. Mondadori,Biographie | Fiction | Voyage,0,,,Herman Melville
/books/OL26888514M,Finzioni,,Jorge Luis Borges,1,,1988,Einaudi,Fiction,0,,,Jorge Luis Borges
/books/OL36636673M,Il manoscritto di Brodie,,Jorge Luis Borges,1,9788845914492,2010,Adelphi,,0,,,Jorge Luis Borges
/books/OL32051018M,Il giro del mondo in ottanta giorni,,Jules Verne,1,9788861753020,2008,JoyBook,Fantasy | Fiction | Science-fiction | Sciences | Thriller | Voyage,0,,,Jules Verne
/books/OL22929920M,Viaggio al centro della terra,,Jules Verne,1,9788806114688,1989,Einaudi,Fiction | Science-fiction | Thriller,0,,,Jules Verne
/books/OL35237180M,alienista,,Machado de Assis,1,9798456055965,2021,Independently Published,Fiction | Histoire,0,,,Machado de Assis
/books/OL6378236M,Dom Casmurro.,,Machado de Assis,1,,1937,W. M. Jackson inc.,Fiction,0,,,Machado de Assis
/books/OL6378235M,Helena.,,Helen Caldwell | Machado de Assis,2,,1937,"W. M. Jackson, inc.",,0,,,Machado de Assis
/books/OL18597409M,Amori ridicoli.,,Milan Kundera,1,9788845910784,1994,Adelphi Edizioni,Fiction,0,,,Milan Kundera
/books/OL32351351M,Lo scherzo,,Milan Kundera,1,9788845908033,1991,Adelphi,Fiction | Politique,0,,,Milan Kundera
