source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,audit_flags
/books/OL62359805M,For Love of Mother-Not,,Alan Dean Foster,1,,1984,Editrice Nord,Fiction | Science-fiction,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL12648442M,La réception des ecrits italiens en France a la renaissance,,Alfredo Perifano,1,9782900478233,1981,Ctre Rech. Renaissance,Histoire,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL4423974M,The discourses.,,Alissa Ardito | Henry Neville | Niccolò Machiavelli | Nathan Tarcov | Harvey C. Mansfield | Ninian Hill Thomson,6,9780140400144,1970,Penguin Books,Histoire | Philosophie | Politique | Sciences sociales,0,,,MULTI_AUTHOR_6 | TITLE_LANGUAGE_SUSPECT
/books/OL14021472M,Manuale di storia dell'arte,,Anton Heinrich Springer,1,,1916,Istituto italiano d'arti grafiche,Arts | Histoire,0,,,SPECIALIZED_CONTENT
/books/OL6504811M,...Politics and morals,,Benedetto Croce,1,,1946,G. Allen & Unwin ltd.,Politique,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL13434626M,I Colori del Divino,,Biblioteca Riccardiana,1,9788883042881,2001,Polistampa,,0,,,AUTHOR_ENTITY_SUSPECT
/books/OL22348590M,"Told in confidence, and other stories",,Cesare Pavese,1,9780720603903,1971,Owen,Fiction,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL4991727M,"Domenico Bollani, Bishop of Brescia",devotion to church and state in the republic of Venice in the sixteenth century,Christopher Cairns,1,9789060043462,1976,De Graaf,Biographie,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL15539218M,Giacomo Leopardi e il pensiero scientifico,,"Convegno ""Leopardi e il pensiero scientifico"" (1998 Rome, Italy)",1,9788886095624,2001,Fahrenheit 451,,0,,,AUTHOR_ENTITY_SUSPECT
/books/OL20483648M,Le Paradis du Dante,,Dante Alighieri,1,,1860,M. Lévy frères,,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL1010134M,The complete lyric poems of Dante Alighieri,,Dante Alighieri,1,9780773486942,1997,Edwin Mellen Press,Religion,0,,,TITLE_LANGUAGE_SUSPECT
/books/OL901136M,Henry Moore,gli ultimi 10 anni.,Herbert Edward Read | J. Hedgecoe | David Sylvester | Alan Bowness | Henry Moore | Ann Garrould,6,9788881180127,1995,Skira,Arts | Biographie,0,,,MULTI_AUTHOR_6
/books/OL22772638M,Veinte mil leguas de viaje submarino,,Jules Verne,1,,1971,Editorial Bruguera,Fiction | Jeunes adultes | Jeunesse | Science-fiction | Thriller,0,,,TITLE_LANGUAGE_SUSPECT
