source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,dominant_authors,dominant_author_counts
/books/OL59621741M,De mens in opstand,,Albert Camus,1,9789046708040,2023,Olympus,Philosophie,0,,,Albert Camus,Albert Camus=4
/books/OL59692847M,De pest,,Albert Camus,1,9789023428756,2013,De Bezige Bij,Fiction,0,,,Albert Camus,Albert Camus=4
/books/OL24395394M,De val,,Albert Camus,1,,1964,De Bezige Bij,Fiction | Philosophie,0,,,Albert Camus,Albert Camus=4
/books/OL58804230M,De Vreemdeling,,Albert Camus,1,,1958,,Fiction | Histoire,0,,,Albert Camus,Albert Camus=4
/books/OL45825056M,Bergen (Dossier aarde),,Anita Ganeri,1,9789054833277,2002,NBD/Biblion,Jeunesse,0,,,Anita Ganeri,Anita Ganeri=3
/books/OL47848910M,De Koran en de islam (Heilige teksten),,Anita Ganeri,1,9789054956822,2003,Ars Scribendi,Jeunesse,0,,,Anita Ganeri,Anita Ganeri=3
/books/OL35333469M,Mexico,,Anita Ganeri,1,9789055661299,2006,Corona,Histoire | Jeunesse,0,,,Anita Ganeri,Anita Ganeri=3
/books/OL35655788M,In schemerland,,Astrid Lindgren,1,9789045105789,2007,Querido,Fiction,0,,,Astrid Lindgren,Astrid Lindgren=4
/books/OL35134920M,Lotta uit de Kabaalstraat,,Astrid Lindgren,1,9789021615851,2009,Ploegsma,Fiction,0,,,Astrid Lindgren,Astrid Lindgren=4
/books/OL24756163M,Rasmus en de landloper,,Astrid Lindgren,1,9789021600376,1978,Uitgeverij Ploegsma,Fiction,0,,,Astrid Lindgren,Astrid Lindgren=4
/books/OL26948981M,Ronja de roversdochter,,Astrid Lindgren,1,9789021674902,2017,,Fiction,0,,,Astrid Lindgren,Astrid Lindgren=4
/books/OL42077091M,De Behekste Man of de Gesloten Koop,,John Tenniel | Charles Dickens | Frank Stone,3,,2010,LibriVox,Fiction,0,,,Charles Dickens,Charles Dickens=17
/books/OL42087177M,De Gevaren van Sommige Engelse Gevangenen,,Wilkie Collins | Charles Dickens,2,,2011,LibriVox,Fiction,0,,,Charles Dickens,Charles Dickens=17
/books/OL43771265M,De Klok van Meester Humphrey,,Charles Dickens,1,,2012,LibriVox,Fiction | Histoire | Jeunesse,0,,,Charles Dickens,Charles Dickens=17
/books/OL42068330M,De Krekel achter de Haardplaat,,Charles Dickens,1,,2010,LibriVox,Fiction,0,,,Charles Dickens,Charles Dickens=17
/books/OL42075698M,De Strijd des Levens,,Shahid Akram | Charles Dickens | Edward Stirling,3,,2010,LibriVox,Fiction,0,,,Charles Dickens,Charles Dickens=17
/books/OL43774805M,Dombey en Zoon,,Charles Dickens,1,,2013,LibriVox,Fiction,0,,,Charles Dickens,Charles Dickens=17
/books/OL43777386M,"Een reiziger, die geen handel drijft",,Charles Dickens | Pedro Tena,2,,2013,LibriVox,Fiction | Histoire,0,,,Charles Dickens,Charles Dickens=17
/books/OL43779240M,Het Verlaten Huis,,Charles Dickens,1,,2013,LibriVox,Fiction | Histoire,0,,,Charles Dickens,Charles Dickens=17
/books/OL40789568M,Kleine Dorrit,,Charles Dickens | Mary Sebag-Montefiore | Adam Leverton,3,,2010,LibriVox,Fiction | Romance,0,,,Charles Dickens,Charles Dickens=17
