source_key,title,authors,publication_year,isbn,publisher,genres,decision,reason,language,subtitle,author_count,duplicate_like_count,review_group
/books/OL54799817M,Hospes Draculae - Dracula's Guest,"A. J. Alexander | Alex Stewart | Andrew Struthers | Anna Gasol Trullols | Anne Collins | Arthur Conan Doyle | B. Stoker | BRAM STOCKER - E. NOBATI | BRAM STOKER | Bi Classics | Bram BRAM STOKER | Bram Bram | Bram Bram Stoker | Bram Stocker | Bram Stoker | Bram Stoker | Bram Stoker (Auteur) | Bram Stolker | Bram Storker | Bram stoker | BramStoker | Braum Stoker | Bryan Hunt | Christina Widmann | Classic Collections | Classical Comics | Collectifs | D. P. Stevens Edition | Esis Nem | Fernando Fernández | Gustavo Aguilera | Heinz Widtmann | HellBound Books Publishing LLC | Hutchinson Emily | Julio Rodríguez Puértolas | M. Bram Stocker | M. Philippe Ballin | Maisha Books | Margaret Tarner | Mary Shelley | Matthew Corrigan | Moon Dragon | Mr Bram Stoker | Mrs Eve Paul-Margueritte in 1920 | Nik Maguire | Paper Mill Press Bram Stoker | Period Time Publishing | Robert Louis Stevenson | Si tuo ke | Stoker | Stoker, Bram, Hughs, William | Tabib Haider | Tor, Books, and Stoker, Bram | Warren Publishing Company | Yordi Abreu | bram stoker | bram stroker",2017,9781977863126,CreateSpace Independent Publishing Platform,Fiction,REPLACE,Notice auteur gravement polluée; traduction latine potentielle mais édition inutilisable comme socle.,LA,,,,
/books/OL60767024M,Balthasaris Castilionis comitis,"A. J. Boscan | A. P. Castiglione | Antonio Ciccarelli | Baldassare Castiglione | Baldassarre Castiglione | Baldesar Castilgione | Bartholomew Clerke | Bernardino Baldi | Bernardino Marliani | Carlo Baudi Di Vesme Baldessar Castiglione | Conte Baldassarre Castiglione | G. Rigutini | Ghino Ghinassi | Giulio (ed.) Carnazzi | Giulio Preti | Giuseppe Rigutini | Guillaume de L'Isle | Henry Denham | Hoby, Thomas Sir | Janet E. Ashbee | Lodovico Dolce | Richard Field | Riviere & Son | Thomas Adams | Vittorio Cian | Vittorio Cian | William Seres",1612,,Typis R. Field] ex officina Thomae Adams,Histoire,REVIEW,Titre latin ancien intéressant mais notice auteur fortement polluée; nettoyage bibliographique requis.,LA,,,,
/books/OL23323799M,"Orestea, Agamemnon, Choephori, Eumenides.",Aeschylus,1845,,Apud J. et J.J. Deighton,Théâtre,REVIEW,Eschyle est grec; vérifier si cette édition contient réellement du latin ou seulement un titre/appareil latinisé.,LA,,,,
/books/OL17025590M,Æsopi Phrygis Fabulæ,Aesop,1759,,"typis H. Woodfall, impensis Societatis Stationariorum",Fiction,KEEP_TRANSLATION,Fables d'Ésope dans une tradition éditoriale latine historique pertinente.,LA,,,,
/books/OL21650948M,Aesopi Phrygis fabulatoris celeberrimi lepidissimae fabulae Graecè & Latinè,Aesop | Joseph Jacobs | Percy J. Billinghurst | Roger L'Estrange,1709,,Antonius Bortolius,Fiction | Histoire | Jeunesse,KEEP_TRANSLATION,Édition explicitement grecque-latine des fables d'Ésope.,LA,,,,
/books/OL6935713M,Corinne,Albertine-Adrienne Necker de Saussure | Arthur Manderley | Charles Augustin Sainte-Beuve | Creative Commons | Germaine de Staël | Isabel Hill | Isabel Hill | L. E. L. | Necker de Saussure,1870,,W. I. Pooley & co.,Arts | Fiction | Romance | Voyage,REPLACE,Œuvre française et notice contributeurs polluée; aucune preuve suffisante d'une édition réellement latine.,LA,,,,
/books/OL7332414M,A Song of War,Alexander G. McKay,2003,9780130534507,Pearson Prentice Hall,,REVIEW,Titre anglais et métadonnées insuffisantes pour confirmer la langue latine.,LA,,,,
/books/OL26897665M,Regulus,Antoine de Saint-Exupéry,1985,9780156763004,Hartcourt Brace & Company,,REVIEW,Autre édition de Regulus; vérifier doublon éditorial et retenir l'édition la plus pertinente.,LA,,,,
/books/OL6777822M,Regulus,Antoine de Saint-Exupéry,2001,9780156014045,Harcourt,Fantasy | Fiction | Philosophie | Théâtre,KEEP_TRANSLATION,Regulus est une traduction latine du Petit Prince; latin moderne pertinent.,LA,,,,
/books/OL13509642M,Acharnenses.,Aristophanes,1901,,A.W. Sijthoff,Biographie | Histoire | Théâtre,REVIEW,Aristophane est grec; langue réelle de l'édition à confirmer.,LA,,,,
