source_key,work_key,cover_id,cover_file,title,subtitle,language,isbn,publication_year,publisher,page_count,summary,cover_image_url,cover_width,cover_height,cover_bytes
/books/OL3260294M,/works/OL1063355W,4240436,ol-cover-4240436.jpg,"Alpes, de la Haute-Savoie à la Suisse",,FR,9782726600641,1983,Entente,,,,128,226,3178
/books/OL23277136M,/works/OL1063363W,7170666,ol-cover-7170666.jpg,"Angelo, tyrant of Padua",drama in five acts.,FR,,1905,Rullman,,,,322,500,30175
/books/OL3951036M,/works/OL1063382W,4343445,ol-cover-4343445.jpg,A bilingual edition of the major epics of Victor Hugo,,FR,9780773472396,2002,Edwin Mellen Press,,,,128,188,4548
/books/OL62527967M,/works/OL1063384W,770426,ol-cover-770426.jpg,Bug-Jargal,,FR,9782073019783,2017,Gallimard,,"""Set in 1791, during the first months of a slave revolt that would eventually lead to the creation of the black republic of Haiti in 1804, Bug-Jargal is a tale of interracial friendship and rivalry, an account of the ties that bind a young Frenchman to one of the rebel leaders and the tragic misunderstandings that threaten to sever those ties completely."" ""This Broadview edition contains a critical introduction and a broad selection of appendices, including Hugo's never-before-translated 1820 short story ""Bug-Jargal,"" contemporary reviews of the novel, documents pertaining to the young Hugo's poetics and politics, and selections from his source materials about the Haitian Revolution.""--BOOK JACKET.",,330,500,34176
/books/OL12396209M,/works/OL1063393W,3077600,ol-cover-3077600.jpg,Chanson Pour Faire Danser En Rond Les Petits Enfants,,FR,9782070539147,2002,Gallimard,,,/covers/catalogue/ol-cover-3077600.jpg,407,475,49158
/books/OL14002098M,/works/OL1063419W,5780333,ol-cover-5780333.jpg,Correspondance entre Victor Hugo et Paul Meurice.,Préf. de Jules Claretie.,FR,,1909,E. Fasquelle,,,,288,500,25689
/books/OL24188240M,/works/OL1063428W,6366611,ol-cover-6366611.jpg,De la jeunesse,"Petit Paul, Les pauvres gens, La légende du beau Pécopin, L'épopée du lion",FR,,1890,C. Marpon et E. Flammarion,,,,328,500,15057
/books/OL6945557M,/works/OL1063435W,5867707,ol-cover-5867707.jpg,The destroyer of the second republic,being Napoleon the Little.,FR,,1870,Sheldon,,,,319,500,14057
/books/OL8301814M,/works/OL1063444W,650994,ol-cover-650994.jpg,"The Distance, the Shadows (Poetica)",,FR,9780856463457,2003,Anvil Press,,,,318,500,22435
/books/OL12506399M,/works/OL1063448W,3104272,ol-cover-3104272.jpg,Ecrits politiques,,FR,9782253905875,2002,LGF,,,/covers/catalogue/ol-cover-3104272.jpg,291,475,20812
/books/OL24188223M,/works/OL1063457W,6366584,ol-cover-6366584.jpg,Extraits,,FR,,1885,Hetzel-Quantin,,,,292,500,14920
/books/OL2601650M,/works/OL1063467W,13086093,ol-cover-13086093.jpg,Grand album Victor Hugo,,FR,9782010102851,1984,Hachette,,,,307,500,56731
/books/OL24165924M,/works/OL1063512W,8237835,ol-cover-8237835.jpg,Les misérables.,Part fourth: The Idyll and the Epic,FR,,1892,"Little, Brown",,,,330,500,48469
/books/OL6980871M,/works/OL1063517W,9678021,ol-cover-9678021.jpg,Jargal,a novel,FR,,1866,Carleton,,,,340,500,25045
/books/OL24194932M,/works/OL1063528W,6373655,ol-cover-6373655.jpg,Esmeralda,Ruy Blas ; Les Burgraves.,FR,,1844,Furne,,,,295,500,16482
/books/OL16887637M,/works/OL1063544W,13275453,ol-cover-13275453.jpg,L' Archipel de la Mancha,The Channel Islands,FR,9780861200122,1985,Haule Books,,,,275,500,45544
/books/OL22178755M,/works/OL1063547W,118812,ol-cover-118812.jpg,Dernier jour d'un condamné,,FR,9782761609708,1999,Beauchemin,,,,295,475,21927
/books/OL178068M,/works/OL1063553W,6372395,ol-cover-6372395.jpg,La voix de Victor Hugo dans la guerre mondiale et ses prophéties,,FR,,1920,Librairie Delagrave,,,,314,500,19628
/books/OL17959112M,/works/OL1063554W,5793549,ol-cover-5793549.jpg,Le Conservateur littéraire. Edition critique publiée par Jules Marsan.,,FR,,1922,Droz [etc.],,,,290,500,23178
/books/OL3645440M,/works/OL1063568W,2168856,ol-cover-2168856.jpg,Le Hugo,,FR,9782740413272,2001,Mango jeunesse,,,,435,500,43402
/books/OL8837430M,/works/OL1063579W,966691,ol-cover-966691.jpg,Les Chants Du Crepuscule (Collection Poesie),,FR,9782070322336,1998,Editions Flammarion,,,,285,475,16531
/books/OL8839754M,/works/OL1063580W,969030,ol-cover-969030.jpg,Les Chants du crépuscule - Les Voix intérieures - Les Rayons et les Ombres,,FR,9782070424153,2002,Gallimard,,,,287,475,16675
/books/OL24194436M,/works/OL1063582W,6523921,ol-cover-6523921.jpg,enfants (Le livre des mères),,FR,,1862,J. Hetzel,,,,299,500,19693
/books/OL24165870M,/works/OL1063583W,6343947,ol-cover-6343947.jpg,feuilees d'automne.,,FR,,1889,J. Hetzel,,,,288,500,15665
