source_key,language,title,publication_year,publisher,isbn,author_count,authors,duplicate_like_groups,suspicious_entity_names,decision,reason
/books/OL38188977M,FR,Dracula Annoté,2022,Independently Published,9798419282575,57,"Bram BRAM STOKER | Classic Collections | Bram Stolker | Bram Stoker | Tabib Haider | Period Time Publishing | Bram Bram Stoker | bram stroker | D. P. Stevens Edition | Bram Bram | Bram Stoker (Auteur) | Esis Nem | Braum Stoker | BramStoker | Warren Publishing Company | Heinz Widtmann | Stoker, Bram, Hughs, William | Mr Bram Stoker | Paper Mill Press Bram Stoker | Tor, Books, and Stoker, Bram | BRAM STOKER | Gustavo Aguilera | Christina Widmann | Bram stoker | bram stoker | Arthur Conan Doyle | Alex Stewart | Mary Shelley | Robert Louis Stevenson | Margaret Tarner | Stoker | Anne Collins | Bram Stocker | Bram Stoker | B. Stoker | Bryan Hunt | Fernando Fernández | A. J. Alexander | Matthew Corrigan | Anna Gasol Trullols | Classical Comics | Si tuo ke | Collectifs | Hutchinson Emily | Yordi Abreu | Andrew Struthers | Maisha Books | M. Philippe Ballin | Bram Storker | M. Bram Stocker | Mrs Eve Paul-Margueritte in 1920 | Nik Maguire | Moon Dragon | HellBound Books Publishing LLC | Bi Classics | Julio Rodríguez Puértolas | BRAM STOCKER - E. NOBATI",Bram BRAM STOKER | Bram Bram Stoker || Bram Stoker | BRAM STOKER | Bram stoker | bram stoker | Bram Stoker,"Classic Collections | Period Time Publishing | D. P. Stevens Edition | Warren Publishing Company | Paper Mill Press Bram Stoker | Tor, Books, and Stoker, Bram | Maisha Books | HellBound Books Publishing LLC",,
/books/OL54799817M,LA,Hospes Draculae - Dracula's Guest,2017,CreateSpace Independent Publishing Platform,9781977863126,57,"Bram BRAM STOKER | Classic Collections | Bram Stolker | Bram Stoker | Tabib Haider | Period Time Publishing | Bram Bram Stoker | bram stroker | D. P. Stevens Edition | Bram Bram | Bram Stoker (Auteur) | Esis Nem | Braum Stoker | BramStoker | Warren Publishing Company | Heinz Widtmann | Stoker, Bram, Hughs, William | Mr Bram Stoker | Paper Mill Press Bram Stoker | Tor, Books, and Stoker, Bram | BRAM STOKER | Gustavo Aguilera | Christina Widmann | Bram stoker | bram stoker | Arthur Conan Doyle | Alex Stewart | Mary Shelley | Robert Louis Stevenson | Margaret Tarner | Stoker | Anne Collins | Bram Stocker | Bram Stoker | B. Stoker | Bryan Hunt | Fernando Fernández | A. J. Alexander | Matthew Corrigan | Anna Gasol Trullols | Classical Comics | Si tuo ke | Collectifs | Hutchinson Emily | Yordi Abreu | Andrew Struthers | Maisha Books | M. Philippe Ballin | Bram Storker | M. Bram Stocker | Mrs Eve Paul-Margueritte in 1920 | Nik Maguire | Moon Dragon | HellBound Books Publishing LLC | Bi Classics | Julio Rodríguez Puértolas | BRAM STOCKER - E. NOBATI",Bram BRAM STOKER | Bram Bram Stoker || Bram Stoker | BRAM STOKER | Bram stoker | bram stoker | Bram Stoker,"Classic Collections | Period Time Publishing | D. P. Stevens Edition | Warren Publishing Company | Paper Mill Press Bram Stoker | Tor, Books, and Stoker, Bram | Maisha Books | HellBound Books Publishing LLC",,
/books/OL60767024M,LA,Balthasaris Castilionis comitis,1612,Typis R. Field] ex officina Thomae Adams,,27,"G. Rigutini | Lodovico Dolce | Giulio (ed.) Carnazzi | Conte Baldassarre Castiglione | Riviere & Son | Janet E. Ashbee | Carlo Baudi Di Vesme Baldessar Castiglione | Baldassarre Castiglione | Baldassare Castiglione | Antonio Ciccarelli | Guillaume de L'Isle | Henry Denham | Richard Field | A. P. Castiglione | William Seres | Bernardino Marliani | A. J. Boscan | Giuseppe Rigutini | Baldesar Castilgione | Vittorio Cian | Bernardino Baldi | Hoby, Thomas Sir | Vittorio Cian | Ghino Ghinassi | Bartholomew Clerke | Thomas Adams | Giulio Preti",Vittorio Cian | Vittorio Cian,,,
/books/OL1086639M,EN,A Treasury of Christmas classics.,1994,H. Shaw Publishers,9780877888192,18,John Donne | O. Henry | Harriet Beecher Stowe | George MacDonald | Charles Dickens | John Henry Hopkins | Hans Christian Andersen | Madeleine L'Engle | Henry van Dyke | Alfred Lord Tennyson | Henry Wadsworth Longfellow | Christina Georgina Rosetti | Charles Jennens | St Matthew the Apostle | John Milton | Saint Ephraem Syrus | William Shakespeare | Charles Wesley,,,,
/books/OL22136498M,FR,Olafur Eliasson.,2002,Musées de la ville de Paris,9782879007007,17,Rodney Cotterill | Jakob Jakobsen | Frederic Brown | Adam Szymczyk | Sheena Wagstaff | Jill Medvedow | Olafur Eliasson | Ingo Niermann | Karl Holmquist | Vanessa Hirsch | Thomas Worm | Frida Bjork Ingvarsdottir | Anders Munch | Gitte yrskou | Andrzej Przywara | Svend Åge Madsen | Israel Rosenfield,,,,
/books/OL8892146M,EN,The Best of Ray Bradbury,2003,IBooks Graphic Novel,9781596878167,14,Matt Wagner | Ray Bradbury | Mike Mignola | Jon J. Muth | Richard Corben | Mark Chiarello | Kent Williams | John Van Fleet | Daniel Torres | Wayne Douglas Barlowe | Michael Lark | Dave Gibbons | P. Craig Russell | Harvey Kurtzman,,,,
/books/OL42086277M,NL,Een Huis te Huur,2011,LibriVox,,14,"Elizabeth Cleghorn Gaskell | Adelaide Anne Proctor | Adelaide Anne Procter | Adelaide Ann Procter | Adelaide Procter | Dickens, Gaskell, and Procter, Collins | Adelaide Anne Adelaide Anne Procter | Procter, Collins, Dickens, Gaskell, and | Adelaide Anne Procter | Wilkie Collins | Charles Dickens | Collins | Procter | Gaskell",Adelaide Anne Procter | Adelaide Anne Procter,,,
/books/OL17462887M,NL,Edvard Munch,1970,Gemeentedrukkerij],,13,Gerd Woll | Carla Lathe | Reinhold Heller | Dieter Buchhart | Frank Hoifodt | Iris Müller-Westermann | Albrecht Schröder | Albertina Wien | Christoph Asendorf | Edvard Munch | Arne Eggum | Marian Bisanz-Prakken | Antonia Hoerschelmann,,,,
/books/OL17914101M,FR,Gabriel Orozco,1998,Paris Musées,9782879004044,11,Shirin Neshat | Benjamin Buchloh | Mia Fineman | Gabriel Orozco | Jean-Pierre Criqui | Phyllis Rosenzweig | Angeline Scherf | Gabriel Orozco | Briony Fer | Ann Temkin | Molly Nesbit,Gabriel Orozco | Gabriel Orozco,,,
/books/OL47740076M,FR,Les rois des sables,2007,J'ai Lu,9782290356197,9,Raquel Marqués García | Virginia Sáenz Fernández | Marco Antonio Fernández Lago | Enrique Jimenez Corominas | Salvador Tintoré Fernández | George R. R. Martin | Alejo Cuervo Rieger | Cristina Macía Orío | Teresa Jarrín Rodríguez,,,,
