source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason,decision,reason
/books/OL23083343M,Le mura di Adrianopoli,,Guido Cervo,1,9788838476280,2006,Piemme,Fiction,0,,,,
/books/OL23042421M,Ritorno a casa,romanzo,Hamilton Basso,1,,1955,Garzanti,Fiction,0,,,,
/books/OL14633008M,Pisa,,Igino Benvenuto Supino,1,,1905,Istituto italiano d'arti grafiche,Arts | Voyage,0,,,,
/books/OL33095174M,"Dell'azione del caso nelle invenzioni, e dell'influsso, degli astri ne' corpi terrestri dissertazioni due",,Jacopo Belgrado,1,,1757,Nella Stamperia del Seminario. Appresso G. Manfrè,Sciences,0,,,,
/books/OL21684124M,Magritte,la storia centrale,Jacques Dopagne,1,9788881188949,2001,Skira,,0,,,,
/books/OL3526012M,Ensor,"dipinti, disegni, incisioni.",James Ensor,1,,1981,Electa,Biographie,0,,,,
/books/OL13771463M,James Ensor,,Joachim Heusinger von Waldegg | Rudolf Schmitz | Xavier Tricot | James Ensor,4,,1966,Fratelli Fabbri Editori,Arts | Biographie,0,,,,
/books/OL17209185M,I vigili del fuoco,,Joanne Barkan,1,9780859536462,1990,Child's Play,Fiction,0,,,,
/books/OL25254908M,Milagro,o la guerra del campo di fagioli,John Treadwell Nichols,1,,1988,Euroclub,Fiction,0,,,,
/books/OL45687309M,Ombre bruciate,,Kamila Shamsie,1,9788862200356,2010,Ponte alle Grazie,Fiction | Histoire,0,,,,
/books/OL61038323M,Candido,"ovvero, Un sogno fatto in Sicilia",Leonardo Sciascia,1,9788845919619,2005,Adelphi,,0,,,,
/books/OL20944428M,One way or another,,Leonardo Sciascia,1,9780060138042,1977,Harper & Row,Fiction,0,,,,
/books/OL18450183M,Boccaccio in Francia nel Cinquecento,,Lionello Sozzi,1,9782051017022,1971,Slatkine,,0,,,,
/books/OL15570283M,Dafni e Cloe,,Longus,1,9788817006095,2005,RCS,Fiction,0,,,,
/books/OL20094983M,Il cammino di madonna Oretta,studi di letteratura italiana dal Due al Novecento,Luca Badini Confalonieri,1,9788876947476,2004,Edizioni dell'Orso,,0,,,,
/books/OL6742910M,L' umorismo,saggio,Luigi Pirandello,1,,1920,L. Battistelli,,0,,,,
/books/OL24433301M,L'Esclusa,romanzo,Luigi Pirandello,1,,1919,Treves,,0,,,,
/books/OL18671520M,"Uno, nessuno e centomila",,Luigi Pirandello,1,9788809204676,1994,Giunti,Fiction,0,,,,
/books/OL57376857M,"Alexis, o, Il trattato della lotta vana",romanzo,Marguerite Yourcenar,1,9788807050022,1983,Feltrinelli,Fiction,0,,,,
/books/OL13430753M,Tigri e teoremi,Scrivere teatro e scienza (I blu),Maria Rosa Menzio,1,9788847006416,2007,Springer,Sciences | Éducation,0,,,,
/books/OL13430476M,"La Biennale Di Venezia, Documenta Di Kassel","Esposizione, Vendita, Pubblicizzazione Dell'arte Contemporanea",Marilena Vecco,1,9788846434609,2002,F. Angeli,Arts | Histoire,0,,,,
/books/OL33162833M,Estetica,lezioni sul bello,Mario Pilo,1,,1921,U. Hoepli,Arts,0,,,,
/books/OL19177853M,Capolavori della pittura italiana,'800 e '900 nelle collezioni della Galleria nazionale d'arte moderna,Mario Ursino,1,9788879930772,1999,Viviani,,0,,,,
/books/OL20090890M,Uomini,,Marisa Volpi,1,9788804520634,2004,Mondadori,Biographie,0,,,,
/books/OL4671855M,Defensor pacis,,Marsilius of Padua,1,,1976,Minerva italica,Histoire | Politique,0,,,,
/books/OL19306105M,Anelli tutti di una sola catena,i santi nei mosaici del Duomo di Monreale : tavole cromolitografiche ...,Massimo Naro,1,9788890250507,2006,Fondazione Leonardo Sciascia,,0,,,,
/books/OL13430679M,Matematica e cultura in Europa,,Mirella Manaresi,1,9788847003460,2005,Springer,,0,,,,
/books/OL22603526M,Il mirabile e l'artificio,creature animate e semoventi nel mito e nella tecnica degli antichi,Monica Pugliara,1,9788882651954,2002,L'Erma di Bretschneider,Arts | Histoire | Technologie,0,,,,
