language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason
NL,TWENTIETH_CENTURY,Hella S. Haasse,1,10,15,/works/OL1348404W,Zwanen schieten,Hella S. Haasse,1.0000,1997,/books/OL405829M,Zwanen schieten,,dut,1.0000,9021464713,Querido,1997,,3743578,VALID_COVER,128,205,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL405829M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL719946W,Een deerne in lokkend postuur,Maarten 't Hart,1.0000,2000,/books/OL6839890M,Een deerne in lokkend postuur,persoonlijke kroniek 1999,dut,1.0000,9029521724,Arbeiderspers,2000,,6275782,VALID_COVER,149,250,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL6839890M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL719947W,Een havik onder Delft,Maarten 't Hart,1.0000,1992,/books/OL1306769M,Een havik onder Delft,polemische paukeslagen en andere kritische beschouwingen,dut,1.0000,9029520469,De Arbeiderspers,1992,,6275836,VALID_COVER,264,419,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL1306769M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL719962W,Een vlucht regenwulpen,Maarten 't Hart,1.0000,1978,/books/OL24922333M,Een vlucht regenwulpen,,dut,1.0000,9789029518215,De Arbeiderspers,1981,,6868785,VALID_COVER,314,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24922333M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL17687739W,Het dovemansorendieet,Maarten 't Hart,1.0000,2007,/books/OL35325466M,Het dovemansorendieet,over zin en onzin van gewichtsverlies,dut,1.0000,9789029565813,De Arbeiderspers,2007,,12141201,VALID_COVER,297,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL35325466M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL719949W,Het eeuwige moment,Maarten 't Hart,1.0000,1983,/books/OL3268164M,Het  eeuwige moment,essays,dut,1.0000,9029518200,De Arbeiderspers,1983,,6275794,VALID_COVER,145,234,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL3268164M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL719950W,Het psalmenoproer,Maarten 't Hart,1.0000,2006,/books/OL16292541M,Het psalmenoproer,roman,dut,1.0000,9029564083,De Arbeiderspers,2006,,6276696,VALID_COVER,312,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL16292541M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL14904319W,Het roer kan nog zesmaal om,Maarten 't Hart,1.0000,1984,/books/OL2955405M,Het roer kan nog zesmaal om,,dut,1.0000,9029518197,De Arbeiderspers,1984,,6452318,VALID_COVER,303,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL2955405M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL719953W,Het vrome volk,Maarten 't Hart,1.0000,1974,/books/OL4834348M,Het vrome volk,verhalen,dut,1.0000,9029518731,De Arbeiderspers,1974,,6452297,VALID_COVER,317,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL4834348M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15,/works/OL719963W,Het woeden der gehele wereld,Maarten 't Hart,1.0000,1993,/books/OL1155826M,Het woeden der gehele wereld,roman,dut,1.0000,9029520248,Uitgeverij De Arbeiderspers,1993,,12651972,VALID_COVER,312,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL1155826M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE,VALIDATED_AUTO_ACCEPT_NOT_NEEDED
