source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,decision,reason
/books/OL2596210M,Geschiedenis van de seksuele normen,"oudheid, middeleeuwen, 17de eeuw",C. van Emde Boas,1,9789028909410,1985,Nederlandsche Boekhandel,Histoire,0,,
/books/OL32708344M,Sterk en zwak,,Camilla De la Bédoyère,1,9789461750341,2013,Ars Scribendi Uitgeverij,Jeunesse,0,,
/books/OL35330146M,Van ei tot haai,,Camilla De la Bédoyère,1,9789461750266,2013,Ars Scribendi,Jeunesse,0,,
/books/OL49652284M,CARRIES DAGBOEKEN,,Candace Bushnell,1,9789044614695,2010,Prometheus,Fiction,0,,
/books/OL35327447M,Zomer & de City,het nieuwe dagboek van Carrie,Candace Bushnell,1,9789044614701,2011,Prometheus,Fiction,0,,
/books/OL16988480M,Op het kruispunt van de politiek,links en rechts in Vlaanderen,Carl Devos,1,9789038209920,2006,Academia Press,Politique,0,,
/books/OL27004395M,Pinocchio,het verhaal van een pop,Carlo Collodi,1,,1883,,Biographie | Fantasy | Fiction | Jeunesse,0,,
/books/OL26948966M,Kek iz tak?,,Carson Ellis | Maria Afonso,2,9789025870522,2016,,Jeunesse,0,,
/books/OL24235574M,Het hart is een havik,,Carson McCullers,1,,1960,De Arbeiderspers,Fiction | Romance,0,,
/books/OL33221172M,Stad van gevallen engelen,,Cassandra Clare,1,9789044333954,2012,The House of Books,Fantasy | Fiction,0,,
/books/OL25651840M,Stad van glas,,Cassandra Clare,1,9789044342529,2013,Moon,Fantasy | Fiction | Histoire | Jeunes adultes | Romance,0,,
/books/OL45924984M,"Ja, ja, ja",,Cecily von Ziegesar,1,9789022559130,2011,Boekerij,Fiction,0,,
/books/OL5288651M,The blessings of liberty.,,"Chafee, Zechariah",1,9780837165363,1973,Greenwood Press,Arts,0,,
/books/OL24680029M,De bloemen van het Kwaad,Les Fleurs du Mal,Charles Baudelaire,1,9789028250345,1995,G.A. van Oorschot,Arts | Biographie | Histoire | Poésie,0,,
/books/OL5030750M,Onechte paradijzen,Opium en hasjiesj.,Charles Baudelaire,1,9789029001311,1971,"Meulenhoff, [Nederland",Fiction,0,,
/books/OL12848597M,De ontdekking van het onschuldige criminele kind,Bestraffing en opvoeding van criminele kinderen in jeugdgevangenis en opvoedingsgesticht 1833-1886,Chris Leonards,1,9789065505187,1995,Verloren,Histoire,0,,
/books/OL35341372M,Het computertijdperk,,Chris Oxlade,1,9789054953838,2001,Corona,Histoire | Jeunesse | Technologie,0,,
/books/OL18461252M,Oeuvres complètes de Christiaan Huygens,,Christiaan Huygens,1,,1888,Nijhoff,Biographie | Sciences,0,,
/books/OL35333551M,Mijn naam is Bud,,Christopher Paul Curtis | Alberto Jimenez Rioja | aa | Reginald André Jackson,4,9789020943009,2001,Lannoo,Fiction | Histoire | Théâtre,0,,
/books/OL1195244M,"Tegen Piso, voor Plancius, voor Rabirius, voor Milo",,Cicero,1,9789026312526,1993,Ambo,Histoire | Politique,0,,
/books/OL2730481M,Star children,,Clara Asscher-Pinkhof,1,9780814318461,1986,Wayne State University Press,Fiction,0,,
/books/OL5591010M,Sterrekinderen.,,Clara Asscher-Pinkhof,1,,1967,H.P. Leopold,Fiction,0,,
/books/OL35333399M,Clara's oorlog,Het waargebeurde verhaal van een jong meisje over haar wonderbaarlijke overleving tijdens de bezetting van de nazi's,Clara Kramer | Stephen Glantz,2,9789029572224,2010,De Arbeiderspers,Biographie | Fiction | Histoire,0,,
/books/OL12846151M,Xtra Strong/Light Composites (Lieven Gavaert Series 4),,Clem Van Himbeeck,1,9789058675620,2006,Not Avail,,0,,
/books/OL35325944M,Badminton,,Clive Gifford,1,9789055664061,2008,Ars Scribendi,Jeunesse,0,,
/books/OL35331091M,Karate,,Clive Gifford,1,9789055667321,2010,Ars Scribendi Uitgeverij,Jeunesse,0,,
/books/OL4165822M,De opbouw van de wetenschap,een inleiding in de wetenschapsleer,Cornelis Anthonie van Peursen,1,9789060094563,1980,Boom,Philosophie | Sciences,0,,
/books/OL21218815M,Phenomenology and analytical philosophy,,Cornelis Anthonie van Peursen,1,9780820701394,1972,Duquesne University Press,,0,,
/books/OL22882221M,Historisch verhael en politique bedeckingen aengaende de bestieringe van staet-en oorloghs-saken,voor-gevallen onder de bedieningen van de Heeren Cornelis en Johan de Witt.,Cornelis de Witt,1,,1677,J. H. B.,Histoire,0,,
/books/OL25588163M,De nederlandsche scheeps-bouw-konst open gestelt,"vertoonende naar wat regel, of evenredenheyd, in Nederland meest alle scheepen werden gebouwd : mitsgaders masten, zeylen, ankers, en touwen, enz. daar aan gepast : soo suit de schriften van ouder, als jonger bouw-meesters, als ook by eygen ondervindinge, tot nut van alle jonge bouw-meesters en knechten, als ook uitreeders en liefhebbers van scheepen",Cornelis van Eyk,1,,1697,Gedrukt by Andries Voorstad tot Delft voor Jan ten Hoorn,Histoire,0,,
