language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL45868702W,Alles voor de reis,Adriaan van Dis,1.0000,2026,/books/OL62415677M,Alles voor de reis,,dut,1.0000,9789025478612,Atlas Contact,2026,,15244233,VALID_COVER,303,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL62415677M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415113W,Dubbelliefde,Adriaan van Dis,1.0000,1999,/books/OL23028715M,Dubbelliefde,geschiedenis van een jongeman : roman,dut,1.0000,9029057521,Meulenhoff,1999,,13010303,VALID_COVER,342,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL23028715M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL27973632W,Een barbaar in China,Adriaan van Dis,1.0000,2007,/books/OL38244448M,Een barbaar in China,een reis door Centraal-Azië,dut,1.0000,9789045701066,Augustus,2007,,12789314,VALID_COVER,283,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL38244448M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL22752239W,Enge dingen,Adriaan van Dis | Mineke te Hennepe | Maartje de Haan,1.0000,2011,/books/OL30728760M,Enge dingen,het aangetaste lichaam,dut | eng,1.0000,9789089103024,WBOOKS,2011,,13527187,VALID_COVER,323,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL30728760M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415116W,Familieziek,Adriaan van Dis,1.0000,2002,/books/OL23007114M,Familieziek,een roman in taferelen,dut,1.0000,9045700417,Augustus,2002,,11430498,VALID_COVER,318,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL23007114M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL22917051W,Ik kom terug,Adriaan van Dis,1.0000,2014,/books/OL30825890M,Ik kom terug,roman,dut,1.0000,9789025444532,Uitgeverij Augustus,2014,,13527204,VALID_COVER,333,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL30825890M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415118W,In Afrika,Adriaan van Dis,1.0000,1991,/books/OL1648226M,In Afrika,,dut,1.0000,9029026642,Meulenhoff,1991,,9854640,VALID_COVER,315,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL1648226M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL27736668W,Indische duinen,Adriaan van Dis,1.0000,1996,/books/OL37864854M,Indische duinen,roman,dut,1.0000,9789029051675,Meulenhoff,1996,,12737476,VALID_COVER,311,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL37864854M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415129W,Nathan Sid,Adriaan van Dis,1.0000,1984,/books/OL2939589M,Nathan Sid,,dut,1.0000,9029019859,Meulenhoff,1984,,11684242,VALID_COVER,299,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL2939589M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL24422639W,Onder het zink,Adriaan van Dis,1.0000,2004,/books/OL32348790M,Onder het zink,un abécédaire de Paris,dut,1.0000,9789059650015,Stichting Collectieve Propaganda van het Nederlandse Boek,2004,,10977336,VALID_COVER,291,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL32348790M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415123W,Op oorlogspad in Japan,Adriaan van Dis,1.0000,2000,/books/OL3988012M,Op oorlogspad in Japan,,dut,1.0000,9029068027,Meulenhoff,2000,,4349748,VALID_COVER,128,209,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL3988012M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415125W,Palmwijn,Adriaan van Dis,1.0000,1996,/books/OL556977M,Palmwijn,,dut,1.0000,9074336256,Meulenhoff,1996,,13527259,VALID_COVER,136,225,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL556977M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL22368131W,Tikkop,Adriaan van Dis,1.0000,2010,/books/OL30452584M,Tikkop,roman,dut,1.0000,9789045702445,Augustus,2010,,12624006,VALID_COVER,330,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL30452584M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415126W,Tropen jaren,Adriaan van Dis,1.0000,1986,/books/OL2292705M,Tropen jaren,,dut,1.0000,9020424939,Veen,1986,,4107352,VALID_COVER,128,207,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL2292705M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415128W,"Zilver, of, Het verlies van de onschuld",Adriaan van Dis,1.0000,1988,/books/OL2236422M,"Zilver, of, Het verlies van de onschuld",,dut,1.0000,9029039396,Meulenhoff,1988,,12161369,VALID_COVER,300,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL2236422M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL34877484W,Contrapunt,Anna Enquist,1.0000,2008,/books/OL47233050M,Contrapunt,,dut,1.0000,9789029566759,Arbeiderspers,2008,,13674305,VALID_COVER,314,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL47233050M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL29993607W,Daer een seigneur zijn handen wast,Anna Enquist,1.0000,2017,/books/OL41233671M,Daer een seigneur zijn handen wast,,dut,1.0000,9789085164760,B for Books,2017,,13009207,VALID_COVER,329,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL41233671M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817059W,De ijsdragers,Anna Enquist,1.0000,2002,/books/OL9112842M,De ijsdragers,,dut,1.0000,9789074336703,Stichting Collectieve Propaganda van het Nederlandse Boek,2002,,6460449,VALID_COVER,305,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL9112842M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,
