language,category,author,tier,max_selected,max_total
NL,DUTCH_FLEMISH_CANON,Joost van den Vondel,1,8,12
NL,DUTCH_FLEMISH_CANON,Multatuli,1,8,12
NL,DUTCH_FLEMISH_CANON,Louis Couperus,1,10,15
NL,DUTCH_FLEMISH_CANON,Piet Paaltjens,2,4,6
NL,DUTCH_FLEMISH_CANON,Hildebrand,2,4,6
NL,DUTCH_FLEMISH_CANON,Jacob van Lennep,2,6,9
NL,DUTCH_FLEMISH_CANON,Eduard Douwes Dekker,1,6,9
NL,DUTCH_FLEMISH_CANON,Stijn Streuvels,1,8,12
NL,DUTCH_FLEMISH_CANON,Cyriel Buysse,1,8,12
NL,DUTCH_FLEMISH_CANON,Felix Timmermans,1,8,12
NL,DUTCH_FLEMISH_CANON,Herman Teirlinck,1,7,10
NL,DUTCH_FLEMISH_CANON,Willem Elsschot,1,8,12
NL,DUTCH_FLEMISH_CANON,Nescio,1,5,7
NL,DUTCH_FLEMISH_CANON,Arthur van Schendel,2,6,9
NL,DUTCH_FLEMISH_CANON,Frederik van Eeden,1,6,9
NL,DUTCH_FLEMISH_CANON,Marcellus Emants,1,5,8
NL,DUTCH_FLEMISH_CANON,Top Naeff,2,5,8
NL,DUTCH_FLEMISH_CANON,Carry van Bruggen,1,6,9
NL,DUTCH_FLEMISH_CANON,Menno ter Braak,1,5,8
NL,DUTCH_FLEMISH_CANON,E. du Perron,1,5,8
NL,DUTCH_FLEMISH_CANON,Simon Vestdijk,1,10,15
NL,DUTCH_FLEMISH_CANON,Maurice Gilliams,1,5,8
NL,DUTCH_FLEMISH_CANON,Marnix Gijsen,2,5,8
NL,DUTCH_FLEMISH_CANON,Richard Minne,2,4,6
NL,TWENTIETH_CENTURY,Harry Mulisch,1,12,18
NL,TWENTIETH_CENTURY,W.F. Hermans,1,12,18
NL,TWENTIETH_CENTURY,Gerard Reve,1,10,15
NL,TWENTIETH_CENTURY,Hugo Claus,1,12,18
NL,TWENTIETH_CENTURY,Hella S. Haasse,1,10,15
NL,TWENTIETH_CENTURY,Marga Minco,1,7,10
NL,TWENTIETH_CENTURY,Jan Wolkers,1,10,15
NL,TWENTIETH_CENTURY,Remco Campert,1,8,12
NL,TWENTIETH_CENTURY,Simon Carmiggelt,2,8,12
NL,TWENTIETH_CENTURY,Cees Nooteboom,1,10,15
NL,TWENTIETH_CENTURY,Jeroen Brouwers,1,9,13
NL,TWENTIETH_CENTURY,Maarten 't Hart,1,10,15
NL,TWENTIETH_CENTURY,A.F.Th. van der Heijden,1,10,15
NL,TWENTIETH_CENTURY,F. Springer,2,6,9
NL,TWENTIETH_CENTURY,Oek de Jong,1,7,10
NL,TWENTIETH_CENTURY,Ward Ruyslinck,2,7,10
NL,TWENTIETH_CENTURY,Louis Paul Boon,1,10,15
NL,TWENTIETH_CENTURY,Hubert Lampo,2,7,10
NL,TWENTIETH_CENTURY,Ivo Michiels,2,5,8
NL,TWENTIETH_CENTURY,Jef Geeraerts,2,7,10
NL,TWENTIETH_CENTURY,Kristien Hemmerechts,2,7,10
NL,TWENTIETH_CENTURY,Monika van Paemel,2,6,9
NL,TWENTIETH_CENTURY,Renate Dorrestein,1,8,12
NL,TWENTIETH_CENTURY,Andreas Burnier,2,5,8
NL,TWENTIETH_CENTURY,Mensje van Keulen,2,6,9
NL,CONTEMPORARY,Arnon Grunberg,1,10,15
NL,CONTEMPORARY,Tommy Wieringa,1,8,12
NL,CONTEMPORARY,Ilja Leonard Pfeijffer,1,8,12
NL,CONTEMPORARY,Marieke Lucas Rijneveld,1,5,8
NL,CONTEMPORARY,Herman Koch,1,8,12
NL,CONTEMPORARY,Connie Palmen,1,7,10
NL,CONTEMPORARY,Adriaan van Dis,1,8,12
NL,CONTEMPORARY,Anna Enquist,1,7,10
NL,CONTEMPORARY,Arthur Japin,1,8,12
NL,CONTEMPORARY,Kader Abdolah,1,8,12
NL,CONTEMPORARY,Esther Gerritsen,2,6,9
NL,CONTEMPORARY,Niña Weijers,2,5,8
NL,CONTEMPORARY,Manon Uphoff,2,6,9
NL,CONTEMPORARY,Marente de Moor,2,6,9
NL,CONTEMPORARY,Gerbrand Bakker,1,6,9
NL,CONTEMPORARY,Peter Buwalda,1,5,8
NL,CONTEMPORARY,Saskia Noort,2,7,10
NL,CONTEMPORARY,Simone van der Vlugt,2,8,12
NL,CONTEMPORARY,Thomas Rosenboom,1,7,10
NL,CONTEMPORARY,P.F. Thomése,1,7,10
NL,CONTEMPORARY,Griet Op de Beeck,2,6,9
NL,CONTEMPORARY,Dimitri Verhulst,1,8,12
NL,CONTEMPORARY,Stefan Hertmans,1,7,10
NL,CONTEMPORARY,Erwin Mortier,1,7,10
NL,CONTEMPORARY,Peter Terrin,2,6,9
NL,CONTEMPORARY,Lize Spit,2,5,8
NL,CONTEMPORARY,Annelies Verbeke,2,6,9
NL,CONTEMPORARY,Tom Lanoye,1,9,13
NL,CONTEMPORARY,Bart Moeyaert,1,7,10
NL,CONTEMPORARY,David Van Reybrouck,1,6,9
NL,YOUTH,Annie M.G. Schmidt,1,12,18
NL,YOUTH,Tonke Dragt,1,10,15
NL,YOUTH,Thea Beckman,1,10,15
NL,YOUTH,Paul van Loon,1,10,15
NL,YOUTH,Guus Kuijer,1,10,15
NL,YOUTH,Jan Terlouw,1,10,15
NL,YOUTH,Jacques Vriens,2,8,12
NL,YOUTH,Carry Slee,2,8,12
NL,YOUTH,Dolf Verroen,2,6,9
NL,YOUTH,Els Pelgrom,1,7,10
NL,YOUTH,Joke van Leeuwen,1,8,12
NL,YOUTH,Edward van de Vendel,2,7,10
NL,YOUTH,Anna Woltz,2,7,10
NL,YOUTH,Benny Lindelauf,2,6,9
NL,YOUTH,Marc de Bel,2,8,12
NL,YOUTH,Bart Moeyaert,1,7,10
NL,HISTORY_SOCIETY,Geert Mak,1,10,15
NL,HISTORY_SOCIETY,David Van Reybrouck,1,8,12
NL,HISTORY_SOCIETY,Johan Huizinga,1,8,12
NL,HISTORY_SOCIETY,Lou de Jong,1,10,15
NL,HISTORY_SOCIETY,Anne Frank,1,4,6
NL,HISTORY_SOCIETY,Jacques Presser,1,6,9
NL,HISTORY_SOCIETY,Chris van der Heijden,2,6,9
NL,HISTORY_SOCIETY,Piet de Rooy,2,6,9
NL,HISTORY_SOCIETY,James Kennedy,2,6,9
NL,HISTORY_SOCIETY,Loe de Jong,1,8,12
NL,HISTORY_SOCIETY,Herman Pleij,2,6,9
