language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
NL,CONTEMPORARY,Arthur Japin,1,8,12,/works/OL660523W,De overgave,Arthur Japin,1.0000,2007,/books/OL17057532M,De overgave,roman,dut,1.0000,9789029565295,De Arbeiderspers,2007,,6279629,IMAGE_TOO_SMALL,118,193,JPEG,,NO,NO,167.0000,176.0000,REJECT,Physical cover validation failed: IMAGE_TOO_SMALL,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415112W,Casablanca,Adriaan van Dis,1.0000,1986,/books/OL2322163M,Casablanca,schetsen en verhalen,dut,1.0000,9029022647,Meulenhoff,1986,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL43819007W,De verliefde dichter. A.C.W. Staring 1767-2017,Peter van Zonneveld | Adriaan van Dis,1.0000,2017,/books/OL59734603M,De verliefde dichter. A.C.W. Staring 1767-2017,,dut,1.0000,9789492348050,Het Huis Met De Drie Gedichten,2017,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL43954301W,De Zuid-Afrika boeken,Adriaan van Dis,1.0000,2017,/books/OL59944621M,De Zuid-Afrika boeken,,dut,1.0000,9789025449292,Uitgeverij Augustus Atlas Contact,2017,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415117W,Het beloofde land,Adriaan van Dis,1.0000,1990,/books/OL1610867M,Het beloofde land,een reis door de Karoo,dut,1.0000,9029025069,Meulenhoff,1990,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL18986772W,Het Land der letteren,Adriaan van Dis,1.0000,1982,/books/OL3199262M,Het Land der letteren,Nederland,dut,1.0000,9029013982,Meulenhoff,1982,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL42868728W,In het buitengebied,Adriaan van Dis,1.0000,2017,/books/OL58404396M,In het buitengebied,roman in verhalen,dut,1.0000,9789025449278,"Uitgeverij Augustus, Atlas Contact",2017,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL43861237W,KliFi,Adriaan van Dis,1.0000,2021,/books/OL59794499M,KliFi,woede in de republiek Nederland : roman,dut,1.0000,9789025470869,Uitgeverij Augustus,2021,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415121W,Leeftocht,Adriaan van Dis,1.0000,2007,/books/OL16979882M,Leeftocht,veertig jaar onderweg,dut,1.0000,9789045700670,Augustus,2007,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL9960463W,Palmwyn,Adriaan Van Dis,1.0000,1900,/books/OL11202536M,Palmwyn,,afr | dut,1.0000,9780798141598,Human & Rousseau (Pty) Ltd,"January 1, 1900",,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL44333860W,"Rode wijn, witte wijn of water?",Adriaan van Dis,1.0000,2014,/books/OL60582178M,"Rode wijn, witte wijn of water?",het beste uit 'Hier is... Adriaan van Dis',dut,1.0000,9789047615972,Rubinstein BV,2014,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL23260336W,Stadsliefde,Adriaan van Dis,1.0000,2012,/books/OL31099903M,Stadsliefde,scènes in Parijs,dut,1.0000,9789045705163,Uitgeverij Augustus,2012,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL22406980W,Verre werelden,Adriaan van Dis,1.0000,2009,/books/OL30494699M,Verre werelden,de verzameling van Hans Warren,dut,1.0000,9789074038201,Zeeuws Museum,2009,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL43490760W,Vijf vrolijke verhalen,Adriaan van Dis,1.0000,2021,/books/OL59274259M,Vijf vrolijke verhalen,,dut,1.0000,9789025472368,Atlas Contact,2021,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415127W,Waar twee olifanten vechten,Adriaan van Dis,1.0000,1992,/books/OL1312126M,Waar twee olifanten vechten,Mozambique in oorlog,dut,1.0000,9029026243,Meulenhoff,1992,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL41049721W,Wonder,Wieke Leenstra | Peter H. Toxopeus | H. C. ten Berge | Adriaan van Dis | Franck Gribling | Youp van 't Hek | Sandra Jongenelen | Pamela Koevoets | Johan Kramer | Jhim Lamoree | Lucas Ligtenberg | Ger Nijman | Colette Noël | Cyrille Offermans | Bob Polak | Thomas Swinkels | Kees Wieringa | Frits David Zeiler | Joost Zwagerman,1.0000,2013,/books/OL55772166M,Wonder,"de magie van kunstenaarsdorp Bergen : met Adriaan van Dis, Youp van 't Hek, Joost Zwagerman over Simeon ten Holt, Lucebert, Constant",dut,1.0000,9789491196621,Uitgeverij de Kunst,2013,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL33395184W,Zuid-Afrika,Adriaan van Dis,1.0000,2010,/books/OL45303261M,Zuid-Afrika,reisverhalen,dut,1.0000,9789046702796,Pandora,2010,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL24018821W,Alle gedichten,Anna Enquist,1.0000,2005,/books/OL31716703M,Alle gedichten,,dut,1.0000,9029563095,De Arbeiderspers,2005,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL43584041W,Berichten van het front,Anna Enquist,1.0000,2020,/books/OL59410846M,Berichten van het front,gedichten,dut,1.0000,9789029542227,Uitgeverij De Arbeiderspers,2020,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL16457520W,De gedichten,Anna Enquist,1.0000,2000,/books/OL6839887M,De gedichten,1991-2000,dut,1.0000,9029515066,Arbeiderspers,2000,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL23956656W,De tussentijd,Anna Enquist,1.0000,2004,/books/OL31658135M,De tussentijd,gedichten,dut,1.0000,9029522585,De Arbeiderspers,2004,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817047W,De tweede helft,Anna Enquist,1.0000,2000,/books/OL3991947M,De tweede helft,gedichten,dut,1.0000,9029515120,Arbeiderspers,2000,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817051W,Een nieuw afscheid,Anna Enquist,1.0000,1994,/books/OL1209069M,Een nieuw afscheid,gedichten,dut,1.0000,9029515341,Arbeiderspers,1994,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL39407458W,Gedichten 1991-2012,Anna Enquist,1.0000,2013,/books/OL53628914M,Gedichten 1991-2012,,dut,1.0000,9789029587709,Uitgeverij De Arbeiderspers,2013,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL44750198W,Hoor de stad,Anna Enquist,1.0000,2015,/books/OL61103777M,Hoor de stad,gedichten,dut,1.0000,9789029505093,Uitgeverij De Arbeiderspers,2015,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817056W,Jachtscènes,Anna Enquist,1.0000,1992,/books/OL1456749M,Jachtscènes,gedichten,dut,1.0000,902951535X,Arbeiderspers,1992,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817057W,Klaarlichte dag,Anna Enquist,1.0000,1996,/books/OL571974M,Klaarlichte dag,,dut,1.0000,902951549X,Arbeiderspers,1996,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817058W,Soldatenliederen,Anna Enquist,1.0000,1991,/books/OL1305176M,Soldatenliederen,gedichten,dut,1.0000,9029515392,Arbeiderspers,1991,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL33283943W,Struisvogels op de Coolsingel,Anna Enquist,1.0000,2009,/books/OL45180247M,Struisvogels op de Coolsingel,7 monologen,dut,1.0000,9789072247209,Uitgeverij Douane,2009,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL43311528W,Tegenwind,Anna Enquist,1.0000,2020,/books/OL58994287M,Tegenwind,Essays en beschouwingen,dut,1.0000,9789029542241,Arbeiderspers,2020,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL16021827W,Twaalf keer tucht,Anna Enquist,1.0000,2011,/books/OL24925470M,Twaalf keer tucht,monologen en portretten,dut,1.0000,9789029575126,Arbeiderspers,2011,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL23983570W,Want de avond,Anna Enquist,1.0000,2018,/books/OL31685008M,Want de avond,,dut,1.0000,9789029525695,De Arbeidspers,2018,,,NOT_PROBED,,,,,NO,NO,155.0000,164.0000,REJECT,No cover candidate.,
