language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415129W,Nathan Sid,Adriaan van Dis,1.0000,1984,/books/OL2939589M,Nathan Sid,,dut,1.0000,9029019859,Meulenhoff,1984,,11684242,VALID_COVER,299,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL2939589M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL24422639W,Onder het zink,Adriaan van Dis,1.0000,2004,/books/OL32348790M,Onder het zink,un abécédaire de Paris,dut,1.0000,9789059650015,Stichting Collectieve Propaganda van het Nederlandse Boek,2004,,10977336,VALID_COVER,291,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL32348790M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415123W,Op oorlogspad in Japan,Adriaan van Dis,1.0000,2000,/books/OL3988012M,Op oorlogspad in Japan,,dut,1.0000,9029068027,Meulenhoff,2000,,4349748,VALID_COVER,128,209,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL3988012M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Adriaan van Dis,1,8,12,/works/OL2415125W,Palmwijn,Adriaan van Dis,1.0000,1996,/books/OL556977M,Palmwijn,,dut,1.0000,9074336256,Meulenhoff,1996,,13527259,VALID_COVER,136,225,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL556977M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL817062W,Het meesterstuk,Anna Enquist,1.0000,1994,/books/OL828960M,Het meesterstuk,roman,dut,1.0000,9029515473,De Arbeiderspers,1994,,6463033,VALID_COVER,318,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL828960M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL23231079W,Kool!,Anna Enquist,1.0000,2012,/books/OL31067214M,Kool!,alles over voetbal,dut,1.0000,9789029586085,De Arbeiderspers,2012,,11484336,VALID_COVER,292,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL31067214M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Anna Enquist,1,7,10,/works/OL15575109W,Nieuws van nergens,Anna Enquist,1.0000,2010,/books/OL24527628M,Nieuws van nergens,gedichten,dut,1.0000,9789029572149,De Arbeiderspers,2010,,12141497,VALID_COVER,317,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24527628M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL27961149W,Liefde is business,Arnon Grunberg,1.0000,2002,/books/OL38216098M,Liefde is business,gedichten,dut,1.0000,9789038827001,Nijgh & Van Ditmar,2002,,12765713,VALID_COVER,285,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL38216098M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL34825811W,Moedervlekken,Arnon Grunberg,1.0000,2016,/books/OL47179626M,Moedervlekken,,dut,1.0000,9789048819133,Lebowski Publishers,2016,,13596171,VALID_COVER,321,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL47179626M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL28151965W,Nee / Je weet hoe vossen zijn,Arnon Grunberg | Nationaal Comité 4 en 5 mei | Stichting voor de Collectieve Propaganda van het Nederlandse Boek,1.0000,2020,/books/OL38538519M,Nee / Je weet hoe vossen zijn,,dut,1.0000,9789059655263,Nationaal Comité 4 en 5 mei,2020,,12794883,VALID_COVER,305,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL38538519M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Stefan Hertmans,1,7,10,/works/OL15866461W,Melksteen,Stefan Hertmans,1.0000,1986,/books/OL24775096M,Melksteen,,dut,1.0000,9789070968137,Poëziecentrum,1986,,6829029,VALID_COVER,320,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24775096M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Stefan Hertmans,1,7,10,/works/OL974321W,Oorverdovende steen,Stefan Hertmans,1.0000,1988,/books/OL2236435M,Oorverdovende steen,essays over literatuur,dut,1.0000,9022311317,Manteau,1988,,4099775,VALID_COVER,128,200,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL2236435M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Stefan Hertmans,1,7,10,/works/OL974322W,Ruimte,Stefan Hertmans,1.0000,1981,/books/OL3083714M,Ruimte,,dut,1.0000,9789064875236,E. van Hyfte,1981,,6828726,VALID_COVER,311,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL3083714M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL15169001W,"De advocaat, de leerlooier en de forellen",Arnon Grunberg,1.0000,1994,/books/OL24300732M,"De advocaat, de leerlooier en de forellen",,dut,1.0000,,Boekhandel Lankamp & Brinkman,1994,,6426468,VALID_COVER,283,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24300732M.jpeg,NO,NO,161.0000,190.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Saskia Noort,2,7,10,/works/OL19964029W,Koorts,Saskia Noort,1.0000,2011,/books/OL27144248M,Koorts,,dut,1.0000,9789041417664,Anthos,11-11-2011,,14841240,VALID_COVER,316,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL27144248M.jpeg,NO,NO,147.0000,181.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Saskia Noort,2,7,10,/works/OL8937618W,Nieuwe buren,Saskia Noort,1.0000,2006,/books/OL9099501M,Nieuwe buren,,dut,1.0000,9041409696,Anthos,2006,,7358749,VALID_COVER,315,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL9099501M.jpeg,NO,NO,147.0000,181.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
NL,CONTEMPORARY,Saskia Noort,2,7,10,/works/OL24302287W,Terug naar de kust,Saskia Noort,1.0000,2004,/books/OL35638728M,Terug naar de kust,,dut,1.0000,9789041413475,Anthos,2008,,12345761,VALID_COVER,304,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL35638728M.jpeg,NO,NO,147.0000,181.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,RESERVE
