language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state
NL,DUTCH_FLEMISH_CANON,Cyriel Buysse,1,8,12,/works/OL6871320W,Verzameld werk,Cyriel Buysse,1.0000,1974,/books/OL4824074M,Verzameld werk,,dut,1.0000,9022304469,Manteau,1974,,4446485,NOT_PROBED,,,,,YES,NO,147.0000,156.0000,REVIEW,Collected/omnibus work requires review.,
NL,DUTCH_FLEMISH_CANON,Willem Elsschot,1,8,12,/works/OL1232223W,Verzameld werk,Willem Elsschot,1.0000,1957,/books/OL24636286M,Verzameld werk,,dut,1.0000,9021415631,Querido,1976,,6731127,NOT_PROBED,,,,,YES,NO,147.0000,156.0000,REVIEW,Collected/omnibus work requires review.,
NL,DUTCH_FLEMISH_CANON,Multatuli,1,8,12,/works/OL17019506W,Verzamelde werken,Multatuli,1.0000,1916,/books/OL25591089M,Verzamelde werken,,dut,1.0000,,Elsevier,1916,,9701753,NOT_PROBED,,,,,YES,NO,141.0000,145.0000,REVIEW,Collected/omnibus work requires review.,
NL,DUTCH_FLEMISH_CANON,Joost van den Vondel,1,8,12,/works/OL36241989W,De Complete Werken Van Joost Van Vondel,Joost van den Vondel,1.0000,2021,/books/OL48974231M,De Complete Werken Van Joost Van Vondel,,dut,1.0000,9798715216434,Independently Published,2021,,,NOT_PROBED,,,,,YES,NO,135.0000,144.0000,REVIEW,Collected/omnibus work requires review.,
NL,DUTCH_FLEMISH_CANON,Nescio,1,5,7,/works/OL2795319W,Verzameld werk,Nescio,1.0000,1996,/books/OL721956M,Verzameld werk,,dut,1.0000,9038854919,Nijgh & Van Ditmar,1996,,,NOT_PROBED,,,,,YES,NO,135.0000,144.0000,REVIEW,Collected/omnibus work requires review.,
NL,DUTCH_FLEMISH_CANON,Cyriel Buysse,1,8,12,/works/OL1441372W,Derde Cyriel Buysse omnibus,Cyriel Buysse,1.0000,1968,/books/OL4617189M,Derde Cyriel Buysse omnibus.,Het leven van Rozeke van Dalen; Het hofje; Het advertentiebriefje; De terugkomst; De operatie.,dut,1.0000,,D.A.P. [De Arbeiderspers] Reinaert Uitg.,1968,,,NOT_PROBED,,,,,YES,NO,129.0000,133.0000,REVIEW,Collected/omnibus work requires review.,
NL,DUTCH_FLEMISH_CANON,E. du Perron,1,5,8,/works/OL38719984W,Verzameld werk,E. du Perron,1.0000,1948,/books/OL59914131M,Verzameld werk,,dut,1.0000,,G.A. van Oorschot,1954,,,NOT_PROBED,,,,,YES,NO,129.0000,133.0000,REVIEW,Collected/omnibus work requires review.,
NL,DUTCH_FLEMISH_CANON,Herman Teirlinck,1,7,10,/works/OL1458691W,Verzameld werk,Herman Teirlinck,1.0000,1960,/books/OL5672450M,Verzameld werk.,,dut,1.0000,,A. Manteau,1960,,,NOT_PROBED,,,,,YES,NO,129.0000,133.0000,REVIEW,Collected/omnibus work requires review.,
NL,DUTCH_FLEMISH_CANON,Menno ter Braak,1,5,8,/works/OL1320445W,Verzameld werk,Menno ter Braak,1.0000,1949,/books/OL19947004M,Verzameld werk.,,dut,1.0000,,G.A. van Oorschot,1950,,,NOT_PROBED,,,,,YES,NO,129.0000,133.0000,REVIEW,Collected/omnibus work requires review.,
NL,DUTCH_FLEMISH_CANON,Multatuli,1,8,12,/works/OL38621882W,Verzamelde werken van Multatuli,Multatuli,1.0000,1900,/books/OL52562336M,Verzamelde werken van Multatuli,,dut,1.0000,,"Uitgevers-Maatschappy ""Elsevier""",1900,,,NOT_PROBED,,,,,YES,NO,129.0000,133.0000,REVIEW,Collected/omnibus work requires review.,
