language,policy_author,work_title,edition_key,edition_languages,isbn,publisher,publish_date,page_count_state,error
NL,Anna Enquist,Daer een seigneur zijn handen wast,/books/OL41233671M,dut,9789085164760,B for Books,2017,NO_PAGE_COUNT,
NL,Anna Enquist,De ijsdragers,/books/OL9112842M,dut,9789074336703,Stichting Collectieve Propaganda van het Nederlandse Boek,2002,NO_PAGE_COUNT,
NL,Arnon Grunberg,Nee / Je weet hoe vossen zijn,/books/OL38538519M,dut,9789059655263,Nationaal Comité 4 en 5 mei,2020,NO_PAGE_COUNT,
NL,Arthur Japin,De grote wereld,/books/OL24332406M,dut,9059650271,Stichting Collectieve Propaganda van het Nederlandse Boek,2006,NO_PAGE_COUNT,
NL,Arthur Japin,"Geluk, een geheimtaal",/books/OL62360071M,dut,978 90 295 4051 3,De Arbeiderspers (singeluitgeverijen),2019 1126,NO_PAGE_COUNT,
NL,Arthur Japin,Heksenmonument,/books/OL48571887M,dut,9789048869244,Lebowski,2023,NO_PAGE_COUNT,
NL,Ilja Leonard Pfeijffer,Monterosso mon amour,/books/OL41239896M,dut,9789059658783,Stichting Collectieve Propaganda van het Nederlandse Boek,[2022],NO_PAGE_COUNT,
NL,Peter Buwalda,Bonita Avenue,/books/OL25426615M,dut,9789023457299,De Bezige Bij,2010,NO_PAGE_COUNT,
NL,Thomas Rosenboom,De mensen thuis,/books/OL25735273M,dut,9041300325,Singel Pockets,2001,NO_PAGE_COUNT,
NL,Tommy Wieringa,Nirwana,/books/OL59690511M,dut,9789403128658,De Bezige Bij,2023,NO_PAGE_COUNT,
NL,Herman Koch,Over de lengte van een gang,/books/OL25432000M,dut,9789085161615,B for Books,,NO_PAGE_COUNT,
NL,Anna Enquist,Grieks voetbal,/books/OL25420220M,dut,9789085161936,B for Books,,NO_PAGE_COUNT,
NL,Arnon Grunberg,"De advocaat, de leerlooier en de forellen",/books/OL24300732M,dut,,Boekhandel Lankamp & Brinkman,1994,NO_PAGE_COUNT,
NL,Herman Koch,"Red ons, Maria Montanelli",/books/OL25938087M,dut,,De Volkskrant,2011,NO_PAGE_COUNT,
NL,Kader Abdolah,De man,/books/OL25677889M,dut,,Wolters-Noordhoff,,NO_PAGE_COUNT,
NL,Saskia Noort,Afgunst,/books/OL25775413M,dut,9789059650497,Stichting Collectieve Propaganda van het Nederlandse Boek,2007,NO_PAGE_COUNT,
NL,Saskia Noort,De verbouwing,/books/OL25945566M,dut,9789041409713,Anthos,[2009],NO_PAGE_COUNT,
NL,Simone van der Vlugt,Aan niemand vertellen,/books/OL25422848M,dut,9789041423474,Anthos,2012,NO_PAGE_COUNT,
NL,Simone van der Vlugt,Herfstlied,/books/OL32104800M,dut,9789041415929,Anthos,2010,NO_PAGE_COUNT,
NL,Simone van der Vlugt,Schaduwzuster,/books/OL25930318M,dut,9789041420343,Anthos,2011,NO_PAGE_COUNT,
NL,Simone van der Vlugt,Wij zijn de Bickers,/books/OL28315453M,dut,9789044637598,Prometheus,2019,NO_PAGE_COUNT,
NL,Frederik van Eeden,Sirius en Siderius,/books/OL24627095M,dut,9063251378,Servire,1980,NO_PAGE_COUNT,
NL,Marcellus Emants,Drie novellen,/books/OL24334744M,dut,9027410860,Het Spectrum,1981,NO_PAGE_COUNT,
NL,Marcellus Emants,Een nagelaten bekentenis,/books/OL24334742M,dut,9021495902,Querido,1984,NO_PAGE_COUNT,
