language,source_stage,target_index,category,target_author,target_work,work_key,edition_key,edition_title,edition_languages,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_local_path,page_count_state,page_count_source
DE,INITIAL,5,GERMAN_LANGUAGE_CANON,Friedrich Schiller,Die Räuber,/works/OL207633W,/books/OL16368186M,Die Räuber,ger,0631018506,B. Blackwell,1972,122,12651476,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-005-OL16368186M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,6,GERMAN_LANGUAGE_CANON,Friedrich Schiller,Wilhelm Tell,/works/OL207638W,/books/OL23403781M,Schillers Wilhelm Tell,eng | ger,,D. C. Heath & co.,1900,333,8974155,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-006-OL23403781M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,8,GERMAN_LANGUAGE_CANON,Gotthold Ephraim Lessing,Nathan der Weise,/works/OL34604237W,/books/OL46922653M,Nathan der Weise,ger,9781507824771,,1904,116,15120920,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-008-OL46922653M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,9,GERMAN_LANGUAGE_CANON,Gotthold Ephraim Lessing,Emilia Galotti,/works/OL25280813W,/books/OL50648202M,Emilia Galotti,ger,9783112638774,"de Gruyter GmbH, Walter",1842,65,14704575,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-009-OL50648202M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:pagination
DE,INITIAL,10,GERMAN_LANGUAGE_CANON,Heinrich von Kleist,Michael Kohlhaas,/works/OL1451547W,/books/OL5546874M,Michael Kohlhaas.,ger | eng,,Oxford University Press,1967,180,8259240,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-010-OL5546874M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,11,GERMAN_LANGUAGE_CANON,Heinrich von Kleist,Der zerbrochne Krug,/works/OL1451535W,/books/OL22202430M,Der zerbrochne Krug,ger,387877334X,Stroemfeld/Roter Stern,1995,448,5483180,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-011-OL22202430M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,12,GERMAN_LANGUAGE_CANON,E. T. A. Hoffmann,Der Sandmann,/works/OL969770W,/books/OL1965318M,Der Sandmann,ger,3458326340,Insel,1986,83,1010629,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-012-OL1965318M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,13,GERMAN_LANGUAGE_CANON,E. T. A. Hoffmann,Die Elixiere des Teufels,/works/OL969620W,/books/OL9849862M,Die Elixiere des Teufels / Lebens- Ansichten des Katers Murr.,ger,9783538053922,Artemis & Winkler,"October 1, 1997",766,2216659,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-013-OL9849862M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,14,GERMAN_LANGUAGE_CANON,Georg Büchner,Woyzeck,/works/OL771125W,/books/OL4029320M,Woyzeck,eng | ger,0413388204,Eyre Methuen,1979,40,261247,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-014-OL4029320M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,15,GERMAN_LANGUAGE_CANON,Georg Büchner,Dantons Tod,/works/OL771124W,/books/OL23412378M,Dantons Tod,ger,,Insel-Verlag,1920,79,5762446,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-015-OL23412378M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,16,GERMAN_LANGUAGE_CANON,Heinrich Heine,Buch der Lieder,/works/OL26440415W,/books/OL39807809M,Buch der Lieder,ger,9783822411452,Manfred-Pawlak-Taschenbuch Verlagsgesellschaft,1984,298,12924376,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-016-OL39807809M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
