language,source_stage,target_author,target_work,edition_key,isbn,publisher,publish_date,state,error
LA,INITIAL,Lucain,Pharsalia,/books/OL24872182M,,Sijthoff,1896,NO_PAGE_COUNT,
LA,INITIAL,Martial,Epigrammata,/books/OL23297764M,,[Didot],1825,NO_PAGE_COUNT,
LA,INITIAL,Cicéron,De Oratore,/books/OL16337448M,0674993829,Harvard University Press,1942,NO_PAGE_COUNT,
LA,INITIAL,Quintilien,Institutio Oratoria,/books/OL7149233M,0674991389,Harvard University Press,1920,NO_PAGE_COUNT,
LA,INITIAL,Tite-Live,Ab Urbe Condita,/books/OL28754886M,,E Typographeo Clarendoniano,1964,NO_PAGE_COUNT,
LA,INITIAL,Tacite,Historiae,/books/OL15574919M,2251013415,Les Belles Lettres,1989,NO_PAGE_COUNT,
LA,INITIAL,Jules César,De Bello Gallico,/books/OL24396658M,,University Press,1901,NO_PAGE_COUNT,
LA,RECOVERY,Properce,Elegiae,/books/OL26222651M,,University Press,1907,NO_PAGE_COUNT,
IT,INITIAL,Ludovico Ariosto,Orlando furioso,/books/OL24614367M,,Bohn,1872,NO_PAGE_COUNT,
IT,INITIAL,Francesco Guicciardini,Storia d'Italia,/books/OL6931703M,,"Cantone Ticino, Tip. Elvetica",1836,NO_PAGE_COUNT,
IT,INITIAL,Giambattista Marino,Adone,/books/OL39490055M,,Sine nomine,1680,NO_PAGE_COUNT,
IT,INITIAL,Giuseppe Parini,Il giorno,/books/OL89460M,8877468165,Fondazione Pietro Bembo,1996,NO_PAGE_COUNT,
IT,INITIAL,Elio Vittorini,Uomini e no,/books/OL22827787M,8804330937,Arnoldo Mondadori,1990,NO_PAGE_COUNT,
IT,INITIAL,Beppe Fenoglio,Una questione privata,/books/OL9176409M,9788806117856,Einaudi,"December 31, 1998",NO_PAGE_COUNT,
IT,INITIAL,Carlo Emilio Gadda,Quer pasticciaccio brutto de via Merulana,/books/OL17381557M,8811667011,Garzanti,1987,NO_PAGE_COUNT,
IT,INITIAL,Dino Buzzati,Sessanta racconti,/books/OL37923621M,9788852039669,Mondadori,2014,NO_PAGE_COUNT,
IT,INITIAL,Alberto Moravia,La romana,/books/OL22215528M,8845207064,Bompiani,1993,NO_PAGE_COUNT,
IT,INITIAL,Elio Vittorini,Le donne di Messina,/books/OL20088585M,8804297638,Arnoldo Mondadori Editore,1987,NO_PAGE_COUNT,
IT,INITIAL,Niccolò Ammaniti,Io non ho paura,/books/OL9347320M,9788806188672,Einaudi,July 2007,NO_PAGE_COUNT,
IT,INITIAL,Giambattista Vico,Principi di scienza nuova,/books/OL23367530M,,G. Silvestri,1816,NO_PAGE_COUNT,
IT,RECOVERY,Benvenuto Cellini,Vita,/books/OL24436338M,,Tip. all'insegna di Dante,1832,NO_PAGE_COUNT,
IT,REPLACEMENT,Leonardo Sciascia,Porte aperte,/books/OL9188439M,9788845902628,Adelphi,"January 1, 1993",NO_PAGE_COUNT,
IT,REPLACEMENT,Torquato Tasso,Rime,/books/OL24435179M,,Romagnoli,1898,NO_PAGE_COUNT,
IT,FINAL_GAP,Italo Calvino,Fiabe italiane,/books/OL13428900M,9788828600930,"Einaudi Scuola, Elemond Divisione Scuola",,NO_PAGE_COUNT,
ES,INITIAL,Miguel de Cervantes,Novelas ejemplares,/books/OL9118235M,9788423905676,Espasa-Calpe,1983,NO_PAGE_COUNT,
ES,INITIAL,Lope de Vega,Fuenteovejuna,/books/OL13193330M,9788420726335,Continental Book Company,June 1998,NO_PAGE_COUNT,
ES,INITIAL,Pedro Calderón de la Barca,El alcalde de Zalamea,/books/OL22158214M,8420727776,Anaya,1987,NO_PAGE_COUNT,
ES,INITIAL,Fernando de Rojas,La Celestina,/books/OL13234064M,9788432069802,"Espasa Calpe Mexicana, S.A.",September 1995,NO_PAGE_COUNT,
ES,INITIAL,Leandro Fernández de Moratín,El sí de las niñas,/books/OL13056777M,9789561313767,Andres Bello,September 1998,NO_PAGE_COUNT,
ES,INITIAL,Benito Pérez Galdós,Misericordia,/books/OL9149202M,9789561311824,Edicomunicacion,February 1998,NO_PAGE_COUNT,
ES,INITIAL,Vicente Blasco Ibáñez,Cañas y barro,/books/OL18444312M,8481302600,Bibliotex,2011,NO_PAGE_COUNT,
ES,INITIAL,Gabriel García Márquez,El amor en los tiempos del cólera,/books/OL39225070M,9972402323,Peisa,2002,NO_PAGE_COUNT,
ES,INITIAL,Alejo Carpentier,El reino de este mundo,/books/OL26283381M,,Edhasa,1979,NO_PAGE_COUNT,
ES,INITIAL,Miguel Ángel Asturias,Hombres de maíz,/books/OL26318832M,9788492589975,Leer-e,2010,NO_PAGE_COUNT,
ES,INITIAL,Rómulo Gallegos,Doña Bárbara,/books/OL17101420M,9780307472304,Random House,2008,NO_PAGE_COUNT,
ES,INITIAL,Octavio Paz,El laberinto de la soledad,/books/OL13241483M,9788437501789,Lectorum Pubns Inc (J),June 1983,NO_PAGE_COUNT,
ES,INITIAL,Ernesto Sábato,El túnel,/books/OL43384183M,8432224197,Seix Barral,1985,NO_PAGE_COUNT,
ES,INITIAL,Juan Goytisolo,Señas de identidad,/books/OL9381001M,9788439701088,Mondadori (IT),November 1998,NO_PAGE_COUNT,
ES,INITIAL,Javier Marías,Corazón tan blanco,/books/OL25376798M,9780307951380,Vintage Español,2012,NO_PAGE_COUNT,
ES,INITIAL,Antonio Muñoz Molina,El jinete polaco,/books/OL9116186M,9788408040347,Planeta,2003,NO_PAGE_COUNT,
ES,INITIAL,Elena Poniatowska,Hasta no verte Jesús mío,/books/OL13191683M,9788420631332,Alianza Editorial,June 1994,NO_PAGE_COUNT,
ES,INITIAL,Cristina Rivera Garza,Nadie me verá llorar,/books/OL9144163M,9788483102480,TusQuets,"September 1, 2004",NO_PAGE_COUNT,
ES,INITIAL,Jorge Luis Borges,Otras inquisiciones,/books/OL26320969M,9788499089546,Debolsillo,2013-07,NO_PAGE_COUNT,
ES,INITIAL,José Carlos Mariátegui,Siete ensayos de interpretación de la realidad peruana,/books/OL13198757M,9789872238438,Ediciones El Andariego,August 2006,NO_PAGE_COUNT,
ES,REPLACEMENT,Eduardo Galeano,Memoria del fuego,/books/OL26366696M,9789876291125,Siglo Veintiuno Argentina Editores,2010,NO_PAGE_COUNT,
ES,REPLACEMENT,Juan Gabriel Vásquez,Los informantes,/books/OL25890460M,9788420467153,Alfaguara,2014,NO_PAGE_COUNT,
ES,REPLACEMENT,Mariana Enríquez,Nuestra parte de noche,/books/OL45187611M,9786075574585,Editorial Anagrama,2021,NO_PAGE_COUNT,
DE,INITIAL,Heinrich Böll,Die verlorene Ehre der Katharina Blum,/books/OL14972544M,0245535470,Harrap,1980,NO_PAGE_COUNT,
DE,INITIAL,Günter Grass,Katz und Maus,/books/OL9043263M,9783472611486,Luchterhand,1982,NO_PAGE_COUNT,
DE,INITIAL,Friedrich Dürrenmatt,Der Richter und sein Henker,/books/OL14972899M,0245574360,Harrap,1962,NO_PAGE_COUNT,
DE,INITIAL,Wolfgang Borchert,Draußen vor der Tür,/books/OL22243563M,0174445822,Nelson,1984,NO_PAGE_COUNT,
DE,INITIAL,Peter Handke,Die Angst des Tormanns beim Elfmeter,/books/OL21838300M,3518065270,Suhrkamp,1970,NO_PAGE_COUNT,
DE,INITIAL,Saša Stanišić,Herkunft,/books/OL35390159M,9783844533026,der Hörverlag,"Mar 18, 2019",NO_PAGE_COUNT,
DE,INITIAL,Robert Seethaler,Ein ganzes Leben,/books/OL27475074M,9783446246454,Hanser Berlin,"Sep 30, 2015",NO_PAGE_COUNT,
DE,INITIAL,Arthur Schopenhauer,Die Welt als Wille und Vorstellung,/books/OL9015137M,9783895082658,Konemann,February 1998,NO_PAGE_COUNT,
DE,INITIAL,Hannah Arendt,Elemente und Ursprünge totaler Herrschaft,/books/OL21843653M,3548131824,Ullstein,1975,NO_PAGE_COUNT,
DE,INITIAL,Golo Mann,Deutsche Geschichte des 19. und 20. Jahrhunderts,/books/OL15250052M,3103479018,S. Fischer,1971,NO_PAGE_COUNT,
DE,INITIAL,Alexander von Humboldt,Kosmos,/books/OL13568056M,,Cotta,1845,NO_PAGE_COUNT,
DE,RECOVERY,Thomas Mann,Der Zauberberg,/books/OL12985146M,9783895848131,HÖR Verlag,"November 30, 2000",NO_PAGE_COUNT,
DE,RECOVERY,Bertolt Brecht,Mutter Courage und ihre Kinder,/books/OL9042726M,9783464614587,Cornelsen,"January 1, 2001",NO_PAGE_COUNT,
DE,REPLACEMENT,Heinrich August Winkler,Der lange Weg nach Westen,/books/OL16477283M,3893314636,Bundeszentrale für Politische Bildung,2002,NO_PAGE_COUNT,
