target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL15116693W,Goethe's Werke,Johann Wolfgang von Goethe,/books/OL10502194M,Goethes Werke,Band VII. Wilhelm Meisters Lehrjahre,ger,9780543842589,Adamant Media Corporation,"April 4, 2002",,2476300,0.95,1.0,0.9590000000000001,VALID_COVER,318,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-003-OL10502194M.jpeg,USABLE_CANDIDATE,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL52539W,Wilhelm Meisters Lehrjahre: Ein Roman,Johann Wolfgang von Goethe,/books/OL23545858M,Wilhelm Meisters Lehrjahre: Ein Roman,,ger,,Sine nomine,1800,,6238809,0.95,1.0,0.929,VALID_COVER,293,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-003-OL23545858M.jpeg,USABLE_CANDIDATE,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_ONLY,/works/OL26671769W,Wilhelm Meisters Lehrjahre,Johann von,/books/OL36112582M,Wilhelm Meisters Lehrjahre,,ger,9798545831715,Independently Published,2021,,,1.0,0.5555555555555556,0.8144444444444445,NOT_PROBED,,,,,REJECTED_CANDIDATE,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL27000610W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL36922310M,Wilhelm Meisters Lehrjahre,Band 3,ger,9798656120265,Independently Published,2020,,,1.0,1.0,0.93,NOT_PROBED,,,,,REJECTED_CANDIDATE,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL32816671W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL44656235M,Wilhelm Meisters Lehrjahre,,ger,,J.G. Cotta,1883,,,1.0,1.0,0.9,NOT_PROBED,,,,,REJECTED_CANDIDATE,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL35852120W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL49164219M,Wilhelm Meisters Lehrjahre,Band 1,ger,9798455284960,Independently Published,2021,,,1.0,1.0,0.93,NOT_PROBED,,,,,REJECTED_CANDIDATE,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_ONLY,/works/OL41296960W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL56095615M,Wilhelm Meisters Lehrjahre,Roman,ger,9781494970338,CreateSpace Independent Publishing Platform,2014,,,1.0,1.0,0.93,NOT_PROBED,,,,,REJECTED_CANDIDATE,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL44908183W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL61286973M,Wilhelm Meisters Lehrjahre,Ein Roman,ger,,J.F. Unger,1795,,,1.0,1.0,0.9,NOT_PROBED,,,,,REJECTED_CANDIDATE,
4,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wahlverwandtschaften,TITLE_AUTHOR,/works/OL15116693W,Goethe's Werke,Johann Wolfgang von Goethe,/books/OL10502195M,Goethes Werke,"Band VI. Die Leiden des jungen Werthers. Briefe aus der Schweiz. Brief des Pastors zu *** an den neuen Pastor zu ***. Zwo wichtige, bisher ... Biblische Fragen. Die Wahlverwandtschaften",ger,9780543842626,Adamant Media Corporation,"April 4, 2002",,2476301,0.95,1.0,0.9590000000000001,VALID_COVER,318,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-004-OL10502195M.jpeg,USABLE_CANDIDATE,
4,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wahlverwandtschaften,TITLE_ONLY,/works/OL29710471W,Die Wahlverwandtschaften (illustriert),Marcus Stone | Wilhelm von Kaulbach | Johann Wolfgang von Goethe,/books/OL40927417M,Die Wahlverwandtschaften (Illustriert),,ger,9781980420262,Independently Published,2018,,,0.95,1.0,0.904,NOT_PROBED,,,,,REJECTED_CANDIDATE,
