target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL15116693W,Goethe's Werke,Johann Wolfgang von Goethe,/books/OL10502194M,Goethes Werke,Band VII. Wilhelm Meisters Lehrjahre,ger,9780543842589,Adamant Media Corporation,"April 4, 2002",,2476300,0.95,1.0,0.9590000000000001,VALID_COVER,318,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-003-OL10502194M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
4,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wahlverwandtschaften,TITLE_AUTHOR,/works/OL15116693W,Goethe's Werke,Johann Wolfgang von Goethe,/books/OL10502195M,Goethes Werke,"Band VI. Die Leiden des jungen Werthers. Briefe aus der Schweiz. Brief des Pastors zu *** an den neuen Pastor zu ***. Zwo wichtige, bisher ... Biblische Fragen. Die Wahlverwandtschaften",ger,9780543842626,Adamant Media Corporation,"April 4, 2002",,2476301,0.95,1.0,0.9590000000000001,VALID_COVER,318,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-004-OL10502195M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
5,DE,GERMAN_LANGUAGE_CANON,1,Friedrich Schiller,Die Räuber,TITLE_AUTHOR,/works/OL207633W,Die Räuber,Friedrich Schiller,/books/OL16368186M,Die Räuber,ein Trauerspiel,ger,0631018506,B. Blackwell,1972,,12651476,1.0,1.0,0.9850000000000001,VALID_COVER,319,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-005-OL16368186M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
6,DE,GERMAN_LANGUAGE_CANON,1,Friedrich Schiller,Wilhelm Tell,TITLE_AUTHOR,/works/OL207638W,Wilhelm Tell,Friedrich Schiller,/books/OL23403781M,Schillers Wilhelm Tell,,eng | ger,,D. C. Heath & co.,1900,,8974155,1.0,1.0,0.9550000000000001,VALID_COVER,240,414,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-006-OL23403781M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
7,DE,GERMAN_LANGUAGE_CANON,1,Friedrich Schiller,Maria Stuart,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
8,DE,GERMAN_LANGUAGE_CANON,1,Gotthold Ephraim Lessing,Nathan der Weise,TITLE_AUTHOR,/works/OL34604237W,Nathan der Weise,Gotthold Ephraim Lessing,/books/OL46922653M,Nathan der Weise,,ger,9781507824771,,1904,,15120920,1.0,1.0,0.9600000000000001,VALID_COVER,323,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-008-OL46922653M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
9,DE,GERMAN_LANGUAGE_CANON,1,Gotthold Ephraim Lessing,Emilia Galotti,TITLE_ONLY,/works/OL25280813W,Emilia Galotti,Gotth. Ephr Lessing,/books/OL50648202M,Emilia Galotti,Ein Trauerspiel in Fünf Aufzügen,ger,9783112638774,"de Gruyter GmbH, Walter",1842,,14704575,1.0,0.8571428571428571,0.947857142857143,VALID_COVER,233,400,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-009-OL50648202M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
10,DE,GERMAN_LANGUAGE_CANON,1,Heinrich von Kleist,Michael Kohlhaas,TITLE_AUTHOR,/works/OL1451547W,Michael Kohlhaas,Heinrich von Kleist,/books/OL5546874M,Michael Kohlhaas.,,ger | eng,,Oxford University Press,1967,,8259240,1.0,1.0,0.9550000000000001,VALID_COVER,324,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-010-OL5546874M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
11,DE,GERMAN_LANGUAGE_CANON,1,Heinrich von Kleist,Der zerbrochne Krug,TITLE_AUTHOR,/works/OL1451535W,Der zerbrochne Krug,Heinrich von Kleist,/books/OL22202430M,Der zerbrochne Krug,,ger,387877334X,Stroemfeld/Roter Stern,1995,,5483180,1.0,1.0,0.9850000000000001,VALID_COVER,128,198,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-011-OL22202430M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
12,DE,GERMAN_LANGUAGE_CANON,1,E. T. A. Hoffmann,Der Sandmann,TITLE_AUTHOR,/works/OL969770W,Der Sandmann,E. T. A. Hoffmann,/books/OL1965318M,Der Sandmann,,ger,3458326340,Insel,1986,,1010629,1.0,1.0,0.9850000000000001,VALID_COVER,284,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-012-OL1965318M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
13,DE,GERMAN_LANGUAGE_CANON,1,E. T. A. Hoffmann,Die Elixiere des Teufels,TITLE_AUTHOR,/works/OL969620W,Die Elixiere des Teufels / Lebens-Ansichten des Katers Murr,E. T. A. Hoffmann,/books/OL9849862M,Die Elixiere des Teufels / Lebens- Ansichten des Katers Murr.,,ger,9783538053922,Artemis & Winkler,"October 1, 1997",,2216659,0.95,1.0,0.9590000000000001,VALID_COVER,292,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-013-OL9849862M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
14,DE,GERMAN_LANGUAGE_CANON,1,Georg Büchner,Woyzeck,TITLE_AUTHOR,/works/OL771125W,Woyzeck,Georg Büchner,/books/OL4029320M,Woyzeck,,eng | ger,0413388204,Eyre Methuen,1979,,261247,1.0,1.0,0.9850000000000001,VALID_COVER,300,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-014-OL4029320M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
15,DE,GERMAN_LANGUAGE_CANON,1,Georg Büchner,Dantons Tod,BROAD,/works/OL771124W,Dantons Tod,Georg Büchner,/books/OL23412378M,Dantons Tod,ein Drama.,ger,,Insel-Verlag,1920,,5762446,1.0,1.0,0.9550000000000001,VALID_COVER,306,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-015-OL23412378M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
