target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,recovery_state
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL52655W,Berliner Ausgabe,Johann Wolfgang von Goethe,/books/OL17895097M,Berliner Ausgabe.,Wilhelm Meisters Lehrjahre.,ger,,Aufbau-Verlag,1976,,,0.95,1.0,0.8885,NOT_PROBED,,,,,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL52539W,Wilhelm Meisters Lehrjahre: Ein Roman,Johann Wolfgang von Goethe,/books/OL23545858M,Wilhelm Meisters Lehrjahre: Ein Roman,,ger,,Sine nomine,1800,,6238809,0.95,1.0,0.9385,VALID_COVER,293,500,JPEG,data/audit/reconstruction-DE-recovery-covers/DE-recovery-003-OL23545858M.jpeg,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL16466051W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL25174521M,Wilhelm Meisters Lehrjahre,,ger,,Deutscher Taschenbuch,1969,,8346634,1.0,1.0,0.9650000000000001,VALID_COVER,295,500,JPEG,data/audit/reconstruction-DE-recovery-covers/DE-recovery-003-OL25174521M.jpeg,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL17738171W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL26337499M,Wilhelm Meisters Lehrjahre,,ger,9783458321750,Insel,1982,,8017915,1.0,1.0,0.9900000000000001,VALID_COVER,292,500,JPEG,data/audit/reconstruction-DE-recovery-covers/DE-recovery-003-OL26337499M.jpeg,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL27000610W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL36922310M,Wilhelm Meisters Lehrjahre,Band 3,ger,9798656120265,Independently Published,2020,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_ONLY,/works/OL28431970W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe | Paul Thumann,/books/OL38941292M,Wilhelm Meisters Lehrjahre,,ger,9780270497182,"Creative Media Partners, LLC",2018,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL28460136W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL38983833M,Wilhelm Meisters Lehrjahre,"Ein Roman, Zwenter Band",ger,9780270707045,"Creative Media Partners, LLC",2018,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL29764158W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL40938316M,Wilhelm Meisters Lehrjahre,,ger,9781731009388,Independently Published,2018,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL31184564W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL42839835M,Wilhelm Meisters Lehrjahre,"Ein Roman, Vierter Band",ger,9780270942606,"Creative Media Partners, LLC",2018,,,1.0,1.0,0.9400000000000001,NOT_PROBED,,,,,
3,DE,GERMAN_LANGUAGE_CANON,1,Johann Wolfgang von Goethe,Wilhelm Meisters Lehrjahre,TITLE_AUTHOR,/works/OL32816671W,Wilhelm Meisters Lehrjahre,Johann Wolfgang von Goethe,/books/OL44656235M,Wilhelm Meisters Lehrjahre,,ger,,J.G. Cotta,1883,,,1.0,1.0,0.915,NOT_PROBED,,,,,
